rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
147,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
146,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
145,100,400,8,8,,clustered,0.8;-0.3,10,11,3,7,0,3,0,3,3,0,0,edgeCount
144,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
143,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
142,100,400,8,8,,clustered,0.8;-0.3,4,18,4,0,0,14,10,14,16,10,0,edgeCount
141,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
140,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
139,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
138,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
137,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
136,100,400,8,8,,clustered,0.8;-0.3,15,5,3,12,0,5,2,3,3,0,0,edgeCount
135,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
134,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
133,100,400,8,8,,clustered,0.8;-0.3,4,54,3,1,0,16,13,16,22,13,0,edgeCount
132,100,400,8,8,,clustered,0.8;-0.3,108,38,5,103,0,-1,-6,-1,-1,-6,0,edgeCount
131,100,400,8,8,,clustered,0.8;-0.3,23,93,4,19,0,-1,-5,-1,-1,-5,0,edgeCount
130,100,400,8,8,,clustered,0.8;-0.3,38,14,4,34,0,-1,-5,-1,-1,-5,0,edgeCount
129,100,400,8,8,,clustered,0.8;-0.3,14,92,4,10,0,20,16,22,22,18,0,edgeCount
128,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
127,100,400,8,8,,clustered,0.8;-0.3,3,13,3,0,0,3,0,3,3,0,0,edgeCount
126,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
125,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
124,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
123,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
122,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
121,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
120,100,400,8,8,,clustered,0.8;-0.3,16,46,4,12,0,14,10,10,10,6,0,edgeCount
119,100,400,8,8,,clustered,0.8;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
118,100,400,8,8,,clustered,0.8;-0.3,71,73,5,66,0,-1,-6,-1,-1,-6,0,edgeCount
117,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
116,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
115,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
114,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
113,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
112,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
111,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
110,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
109,100,400,8,8,,clustered,0.8;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
108,100,400,8,8,,clustered,0.8;-0.3,21,35,3,18,0,-1,-4,-1,-1,-4,0,edgeCount
107,100,400,8,8,,clustered,0.8;-0.3,18,40,4,14,0,8,4,10,10,6,0,edgeCount
106,100,400,8,8,,clustered,0.8;-0.3,17,11,4,13,0,8,4,8,8,4,0,edgeCount
105,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
104,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
103,100,400,8,8,,clustered,0.8;-0.3,26,96,5,21,0,-1,-6,-1,-1,-6,0,edgeCount
102,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
101,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
100,100,400,8,8,,clustered,0.8;-0.3,48,8,6,42,0,-1,-7,-1,-1,-7,0,edgeCount
99,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
98,100,400,8,8,,clustered,0.8;-0.3,24,26,2,22,0,2,0,8,2,6,0,edgeCount
97,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
96,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
95,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
94,100,400,8,8,,clustered,0.8;-0.3,25,7,3,22,0,3,0,3,3,0,0,edgeCount
93,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
92,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
91,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
90,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
