rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,400,8,8,,clustered,0.6;-0.3,4,23,4,0,0,14,10,14,14,10,0,edgeCount
199,100,400,8,8,,clustered,0.6;-0.3,20,5,3,17,0,3,0,3,3,0,0,edgeCount
198,100,400,8,8,,clustered,0.6;-0.3,15,24,2,13,0,2,0,6,2,4,0,edgeCount
197,100,400,8,8,,clustered,0.6;-0.3,9,21,2,7,0,2,0,19,2,17,0,edgeCount
196,100,400,8,8,,clustered,0.6;-0.3,37,13,4,33,0,-1,-5,-1,-1,-5,0,edgeCount
195,100,400,8,8,,clustered,0.6;-0.3,4,9,4,0,0,14,10,10,10,6,0,edgeCount
194,100,400,8,8,,clustered,0.6;-0.3,35,22,3,32,0,5,2,5,5,2,0,edgeCount
193,100,400,8,8,,clustered,0.6;-0.3,58,24,4,54,0,-1,-5,-1,-1,-5,0,edgeCount
192,100,400,8,8,,clustered,0.6;-0.3,11,8,2,9,0,2,0,8,2,6,0,edgeCount
191,100,400,8,8,,clustered,0.6;-0.3,15,12,4,11,0,37,33,37,37,33,0,edgeCount
190,100,400,8,8,,clustered,0.6;-0.3,60,35,3,57,0,7,4,7,7,4,0,edgeCount
189,100,400,8,8,,clustered,0.6;-0.3,27,3,2,25,0,6,4,3,6,1,0,edgeCount
188,100,400,8,8,,clustered,0.6;-0.3,10,12,4,6,0,24,20,24,24,20,0,edgeCount
187,100,400,8,8,,clustered,0.6;-0.3,5,6,3,2,0,11,8,11,11,8,0,edgeCount
186,100,400,8,8,,clustered,0.6;-0.3,44,40,2,42,0,4,2,8,4,6,0,edgeCount
185,100,400,8,8,,clustered,0.6;-0.3,4,5,3,1,0,5,2,5,5,2,0,edgeCount
184,100,400,8,8,,clustered,0.6;-0.3,15,42,4,11,0,16,12,22,22,18,0,edgeCount
183,100,400,8,8,,clustered,0.6;-0.3,10,19,3,7,0,7,4,9,9,6,0,edgeCount
182,100,400,8,8,,clustered,0.6;-0.3,10,4,4,6,0,26,22,26,26,22,0,edgeCount
181,100,400,8,8,,clustered,0.6;-0.3,4,6,3,1,0,12,9,12,12,9,0,edgeCount
180,100,400,8,8,,clustered,0.6;-0.3,42,4,4,38,0,-1,-5,-1,-1,-5,0,edgeCount
179,100,400,8,8,,clustered,0.6;-0.3,13,15,3,10,0,5,2,5,9,2,0,edgeCount
178,100,400,8,8,,clustered,0.6;-0.3,20,13,3,17,0,5,2,7,9,4,0,edgeCount
177,100,400,8,8,,clustered,0.6;-0.3,10,3,3,7,0,5,2,3,5,0,0,edgeCount
176,100,400,8,8,,clustered,0.6;-0.3,4,21,4,0,0,10,6,10,10,6,0,edgeCount
175,100,400,8,8,,clustered,0.6;-0.3,4,10,2,2,0,2,0,2,2,0,0,edgeCount
174,100,400,8,8,,clustered,0.6;-0.3,10,3,3,7,0,7,4,7,11,4,0,edgeCount
173,100,400,8,8,,clustered,0.6;-0.3,3,7,2,1,0,4,2,7,4,5,0,edgeCount
172,100,400,8,8,,clustered,0.6;-0.3,4,11,4,0,0,12,8,12,12,8,0,edgeCount
171,100,400,8,8,,clustered,0.6;-0.3,24,39,4,20,0,12,8,30,30,26,0,edgeCount
170,100,400,8,8,,clustered,0.6;-0.3,39,3,3,36,0,9,6,7,11,4,0,edgeCount
169,100,400,8,8,,clustered,0.6;-0.3,15,19,4,11,0,27,23,33,33,29,0,edgeCount
168,100,400,8,8,,clustered,0.6;-0.3,8,5,3,5,0,5,2,9,9,6,0,edgeCount
167,100,400,8,8,,clustered,0.6;-0.3,11,5,3,8,0,20,17,20,20,17,0,edgeCount
166,100,400,8,8,,clustered,0.6;-0.3,4,4,4,0,0,22,18,16,16,12,0,edgeCount
165,100,400,8,8,,clustered,0.6;-0.3,4,5,3,1,0,7,4,7,7,4,0,edgeCount
164,100,400,8,8,,clustered,0.6;-0.3,59,25,3,56,0,9,6,7,9,4,0,edgeCount
163,100,400,8,8,,clustered,0.6;-0.3,10,9,4,6,0,30,26,30,30,26,0,edgeCount
162,100,400,8,8,,clustered,0.6;-0.3,4,6,4,0,0,18,14,18,18,14,0,edgeCount
161,100,400,8,8,,clustered,0.6;-0.3,4,4,3,1,0,15,12,3,3,0,0,edgeCount
160,100,400,8,8,,clustered,0.6;-0.3,4,11,3,1,0,14,11,14,14,11,0,edgeCount
159,100,400,8,8,,clustered,0.6;-0.3,15,12,3,12,0,7,4,3,3,0,0,edgeCount
158,100,400,8,8,,clustered,0.6;-0.3,15,21,3,12,0,7,4,5,7,2,0,edgeCount
157,100,400,8,8,,clustered,0.6;-0.3,8,26,3,5,0,9,6,7,9,4,0,edgeCount
156,100,400,8,8,,clustered,0.6;-0.3,15,6,3,12,0,3,0,3,3,0,0,edgeCount
155,100,400,8,8,,clustered,0.6;-0.3,8,18,3,5,0,14,11,18,18,15,0,edgeCount
154,100,400,8,8,,clustered,0.6;-0.3,20,8,4,16,0,26,22,10,10,6,0,edgeCount
153,100,400,8,8,,clustered,0.6;-0.3,8,19,3,5,0,22,19,22,22,19,0,edgeCount
152,100,400,8,8,,clustered,0.6;-0.3,4,9,2,2,0,2,0,3,2,1,0,edgeCount
151,100,400,8,8,,clustered,0.6;-0.3,10,9,3,7,0,5,2,5,5,2,0,edgeCount
150,100,400,8,8,,clustered,0.6;-0.3,4,5,4,0,0,12,8,12,12,8,0,edgeCount
149,100,400,8,8,,clustered,0.6;-0.3,17,19,3,14,0,39,36,39,39,36,0,edgeCount
148,100,400,8,8,,clustered,0.6;-0.3,8,2,2,6,0,2,0,2,2,0,0,edgeCount
147,100,400,8,8,,clustered,0.6;-0.3,4,12,4,0,0,16,12,16,16,12,0,edgeCount
146,100,400,8,8,,clustered,0.6;-0.3,38,68,2,36,0,2,0,2,2,0,0,edgeCount
145,100,400,8,8,,clustered,0.6;-0.3,4,9,4,0,0,20,16,14,14,10,0,edgeCount
144,100,400,8,8,,clustered,0.6;-0.3,19,14,3,16,0,7,4,7,7,4,0,edgeCount
143,100,400,8,8,,clustered,0.6;-0.3,17,10,3,14,0,7,4,5,7,2,0,edgeCount
142,100,400,8,8,,clustered,0.6;-0.3,4,3,3,1,0,7,4,5,7,2,0,edgeCount
141,100,400,8,8,,clustered,0.6;-0.3,45,3,3,42,0,5,2,7,7,4,0,edgeCount
140,100,400,8,8,,clustered,0.6;-0.3,8,17,4,4,0,24,20,24,24,20,0,edgeCount
139,100,400,8,8,,clustered,0.6;-0.3,24,17,3,21,0,3,0,3,3,0,0,edgeCount
138,100,400,8,8,,clustered,0.6;-0.3,90,76,2,88,0,2,0,2,2,0,0,edgeCount
137,100,400,8,8,,clustered,0.6;-0.3,4,4,3,1,0,5,2,5,5,2,0,edgeCount
136,100,400,8,8,,clustered,0.6;-0.3,8,19,3,5,0,22,19,22,22,19,0,edgeCount
135,100,400,8,8,,clustered,0.6;-0.3,27,24,2,25,0,2,0,2,2,0,0,edgeCount
134,100,400,8,8,,clustered,0.6;-0.3,4,28,4,0,0,10,6,10,14,6,0,edgeCount
133,100,400,8,8,,clustered,0.6;-0.3,24,22,3,21,0,22,19,22,22,19,0,edgeCount
132,100,400,8,8,,clustered,0.6;-0.3,4,5,4,0,0,12,8,12,12,8,0,edgeCount
131,100,400,8,8,,clustered,0.6;-0.3,5,5,4,1,0,18,14,12,12,8,0,edgeCount
130,100,400,8,8,,clustered,0.6;-0.3,20,5,4,16,0,24,20,24,24,20,0,edgeCount
129,100,400,8,8,,clustered,0.6;-0.3,10,5,4,6,0,28,24,28,28,24,0,edgeCount
128,100,400,8,8,,clustered,0.6;-0.3,4,7,3,1,0,5,2,7,9,4,0,edgeCount
127,100,400,8,8,,clustered,0.6;-0.3,71,23,4,67,0,-1,-5,-1,-1,-5,0,edgeCount
126,100,400,8,8,,clustered,0.6;-0.3,17,17,4,13,0,14,10,26,26,22,0,edgeCount
125,100,400,8,8,,clustered,0.6;-0.3,10,39,2,8,0,2,0,6,2,4,0,edgeCount
124,100,400,8,8,,clustered,0.6;-0.3,19,3,3,16,0,9,6,7,7,4,0,edgeCount
123,100,400,8,8,,clustered,0.6;-0.3,3,43,3,0,0,11,8,11,11,8,0,edgeCount
122,100,400,8,8,,clustered,0.6;-0.3,14,45,3,11,0,9,6,9,9,6,0,edgeCount
121,100,400,8,8,,clustered,0.6;-0.3,34,33,4,30,0,-1,-5,-1,-1,-5,0,edgeCount
120,100,400,8,8,,clustered,0.6;-0.3,10,9,4,6,0,26,22,22,22,18,0,edgeCount
119,100,400,8,8,,clustered,0.6;-0.3,10,4,4,6,0,6,2,6,6,2,0,edgeCount
118,100,400,8,8,,clustered,0.6;-0.3,72,67,4,68,0,-1,-5,-1,-1,-5,0,edgeCount
117,100,400,8,8,,clustered,0.6;-0.3,43,5,3,40,0,3,0,5,5,2,0,edgeCount
116,100,400,8,8,,clustered,0.6;-0.3,25,7,3,22,0,3,0,3,3,0,0,edgeCount
115,100,400,8,8,,clustered,0.6;-0.3,4,7,3,1,0,7,4,7,7,4,0,edgeCount
114,100,400,8,8,,clustered,0.6;-0.3,22,9,4,18,0,24,20,18,18,14,0,edgeCount
113,100,400,8,8,,clustered,0.6;-0.3,6,20,4,2,0,16,12,16,16,12,0,edgeCount
112,100,400,8,8,,clustered,0.6;-0.3,4,6,3,1,0,5,2,3,5,0,0,edgeCount
111,100,400,8,8,,clustered,0.6;-0.3,5,15,2,3,0,2,0,2,2,0,0,edgeCount
110,100,400,8,8,,clustered,0.6;-0.3,16,33,3,13,0,16,13,28,28,25,0,edgeCount
109,100,400,8,8,,clustered,0.6;-0.3,4,26,4,0,0,30,26,12,12,8,0,edgeCount
108,100,400,8,8,,clustered,0.6;-0.3,4,15,3,1,0,5,2,5,5,2,0,edgeCount
107,100,400,8,8,,clustered,0.6;-0.3,30,5,3,27,0,11,8,3,3,0,0,edgeCount
106,100,400,8,8,,clustered,0.6;-0.3,22,6,3,19,0,5,2,3,5,0,0,edgeCount
105,100,400,8,8,,clustered,0.6;-0.3,8,11,2,6,0,2,0,2,2,0,0,edgeCount
104,100,400,8,8,,clustered,0.6;-0.3,20,6,3,17,0,3,0,5,5,2,0,edgeCount
103,100,400,8,8,,clustered,0.6;-0.3,8,7,3,5,0,3,0,3,3,0,0,edgeCount
102,100,400,8,8,,clustered,0.6;-0.3,27,4,3,24,0,11,8,11,11,8,0,edgeCount
101,100,400,8,8,,clustered,0.6;-0.3,31,14,3,28,0,7,4,11,11,8,0,edgeCount
100,100,400,8,8,,clustered,0.6;-0.3,45,17,3,42,0,5,2,5,5,2,0,edgeCount
99,100,400,8,8,,clustered,0.6;-0.3,27,33,3,24,0,3,0,3,3,0,0,edgeCount
98,100,400,8,8,,clustered,0.6;-0.3,22,33,3,19,0,7,4,7,7,4,0,edgeCount
97,100,400,8,8,,clustered,0.6;-0.3,15,19,2,13,0,4,2,6,4,4,0,edgeCount
96,100,400,8,8,,clustered,0.6;-0.3,4,9,3,1,0,5,2,5,5,2,0,edgeCount
95,100,400,8,8,,clustered,0.6;-0.3,4,13,3,1,0,5,2,3,5,0,0,edgeCount
94,100,400,8,8,,clustered,0.6;-0.3,20,16,4,16,0,12,8,22,22,18,0,edgeCount
93,100,400,8,8,,clustered,0.6;-0.3,4,9,4,0,0,18,14,18,18,14,0,edgeCount
92,100,400,8,8,,clustered,0.6;-0.3,10,12,4,6,0,20,16,20,20,16,0,edgeCount
91,100,400,8,8,,clustered,0.6;-0.3,50,23,4,46,0,16,12,22,22,18,0,edgeCount
90,100,400,8,8,,clustered,0.6;-0.3,28,6,3,25,0,3,0,3,3,0,0,edgeCount
