rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
500,197,243,graphml/Cogentco.graphml,2,11,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
499,197,243,graphml/Cogentco.graphml,2,11,random,-1,36,36,15,21,0,36,21,36,36,21,0,edgeCount
498,197,243,graphml/Cogentco.graphml,2,11,random,-1,17,12,10,7,2,12,2,12,12,2,2,edgeCount
497,197,243,graphml/Cogentco.graphml,1,0,random,-1,13,13,13,0,0,13,0,13,13,0,0,edgeCount
496,197,243,graphml/Cogentco.graphml,2,11,random,-1,18,18,18,0,0,18,0,18,18,0,0,edgeCount
495,197,243,graphml/Cogentco.graphml,1,0,random,-1,16,16,16,0,2,16,0,16,16,0,2,edgeCount
494,197,243,graphml/Cogentco.graphml,2,11,random,-1,15,15,15,0,2,17,2,15,15,0,2,edgeCount
493,197,243,graphml/Cogentco.graphml,2,11,random,-1,22,22,9,13,2,22,13,22,22,13,2,edgeCount
492,197,243,graphml/Cogentco.graphml,2,11,random,-1,-1,-1,21,-22,2,-1,-22,-1,-1,-22,2,edgeCount
491,197,243,graphml/Cogentco.graphml,2,11,random,-1,-1,-1,22,-23,0,-1,-23,-1,-1,-23,0,edgeCount
490,197,243,graphml/Cogentco.graphml,2,11,random,-1,26,30,10,16,2,10,0,10,10,0,2,edgeCount
489,197,243,graphml/Cogentco.graphml,1,0,random,-1,8,11,8,0,2,8,0,8,11,0,2,edgeCount
488,197,243,graphml/Cogentco.graphml,2,11,random,-1,42,22,13,29,0,16,3,16,16,3,0,edgeCount
487,197,243,graphml/Cogentco.graphml,1,0,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
486,197,243,graphml/Cogentco.graphml,2,11,random,-1,17,10,10,7,4,10,0,10,10,0,2,edgeCount
485,197,243,graphml/Cogentco.graphml,1,0,random,-1,11,21,11,0,4,11,0,11,21,0,4,edgeCount
484,197,243,graphml/Cogentco.graphml,2,11,random,-1,17,17,17,0,0,17,0,17,17,0,0,edgeCount
483,197,243,graphml/Cogentco.graphml,2,11,random,-1,37,37,16,21,0,37,21,37,37,21,0,edgeCount
482,197,243,graphml/Cogentco.graphml,1,0,random,-1,11,13,11,0,16,11,0,11,13,0,16,edgeCount
481,197,243,graphml/Cogentco.graphml,1,0,random,-1,12,12,12,0,0,12,0,12,12,0,0,edgeCount
480,197,243,graphml/Cogentco.graphml,1,0,random,-1,15,15,15,0,0,15,0,15,15,0,0,edgeCount
479,197,243,graphml/Cogentco.graphml,1,0,random,-1,11,11,11,0,0,11,0,11,11,0,0,edgeCount
478,197,243,graphml/Cogentco.graphml,1,0,random,-1,15,15,15,0,0,15,0,15,15,0,0,edgeCount
477,197,243,graphml/Cogentco.graphml,1,0,random,-1,11,11,11,0,2,11,0,11,11,0,2,edgeCount
476,197,243,graphml/Cogentco.graphml,2,11,random,-1,11,6,6,5,0,6,0,6,6,0,0,edgeCount
475,197,243,graphml/Cogentco.graphml,2,11,random,-1,-1,-1,15,-16,0,-1,-16,-1,-1,-16,0,edgeCount
474,197,243,graphml/Cogentco.graphml,1,0,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
473,197,243,graphml/Cogentco.graphml,1,0,random,-1,6,14,6,0,4,6,0,6,14,0,4,edgeCount
472,197,243,graphml/Cogentco.graphml,2,11,random,-1,16,10,10,6,2,10,0,16,10,6,2,edgeCount
471,197,243,graphml/Cogentco.graphml,2,11,random,-1,-1,-1,19,-20,0,-1,-20,-1,-1,-20,0,edgeCount
470,197,243,graphml/Cogentco.graphml,2,11,random,-1,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
469,197,243,graphml/Cogentco.graphml,1,0,random,-1,6,10,6,0,4,6,0,6,10,0,4,edgeCount
468,197,243,graphml/Cogentco.graphml,1,0,random,-1,15,26,15,0,4,15,0,15,26,0,4,edgeCount
467,197,243,graphml/Cogentco.graphml,1,0,random,-1,15,15,15,0,2,15,0,15,15,0,2,edgeCount
466,197,243,graphml/Cogentco.graphml,2,11,random,-1,-1,-1,23,-24,0,-1,-24,-1,-1,-24,0,edgeCount
465,197,243,graphml/Cogentco.graphml,1,0,random,-1,17,17,17,0,0,17,0,17,17,0,0,edgeCount
464,197,243,graphml/Cogentco.graphml,1,0,random,-1,22,22,22,0,0,22,0,22,22,0,0,edgeCount
463,197,243,graphml/Cogentco.graphml,3,22,random,-1,17,22,4,13,0,10,6,10,10,6,0,edgeCount
462,197,243,graphml/Cogentco.graphml,2,11,random,-1,6,14,5,1,4,12,7,12,15,7,4,edgeCount
