rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
500,197,243,graphml/Cogentco.graphml,2,3,random,-1,21,21,20,1,0,21,1,21,21,1,0,edgeCount
499,197,243,graphml/Cogentco.graphml,1,0,random,-1,19,19,19,0,0,19,0,19,19,0,0,edgeCount
498,197,243,graphml/Cogentco.graphml,2,3,random,-1,10,10,10,0,0,10,0,10,10,0,0,edgeCount
497,197,243,graphml/Cogentco.graphml,2,3,random,-1,22,22,17,5,0,22,5,22,22,5,0,edgeCount
496,197,243,graphml/Cogentco.graphml,1,0,random,-1,19,19,19,0,4,19,0,19,19,0,4,edgeCount
495,197,243,graphml/Cogentco.graphml,2,3,random,-1,10,10,8,2,0,10,2,10,10,2,0,edgeCount
494,197,243,graphml/Cogentco.graphml,1,0,random,-1,14,14,14,0,0,14,0,14,14,0,0,edgeCount
493,197,243,graphml/Cogentco.graphml,2,3,random,-1,17,17,17,0,0,17,0,17,17,0,0,edgeCount
492,197,243,graphml/Cogentco.graphml,2,3,random,-1,6,6,6,0,0,6,0,6,6,0,0,edgeCount
491,197,243,graphml/Cogentco.graphml,1,0,random,-1,9,11,9,0,2,9,0,9,11,0,2,edgeCount
490,197,243,graphml/Cogentco.graphml,2,3,random,-1,24,21,18,6,2,21,3,24,21,6,2,edgeCount
489,197,243,graphml/Cogentco.graphml,2,3,random,-1,10,9,6,4,10,6,0,6,6,0,10,edgeCount
488,197,243,graphml/Cogentco.graphml,2,3,random,-1,5,3,3,2,0,3,0,3,3,0,0,edgeCount
487,197,243,graphml/Cogentco.graphml,1,0,random,-1,16,16,16,0,6,16,0,16,16,0,6,edgeCount
486,197,243,graphml/Cogentco.graphml,2,3,random,-1,19,19,16,3,0,19,3,19,19,3,0,edgeCount
485,197,243,graphml/Cogentco.graphml,1,0,random,-1,18,18,18,0,2,18,0,18,18,0,2,edgeCount
484,197,243,graphml/Cogentco.graphml,2,3,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
483,197,243,graphml/Cogentco.graphml,2,3,random,-1,10,10,7,3,0,10,3,10,10,3,0,edgeCount
482,197,243,graphml/Cogentco.graphml,1,0,random,-1,9,9,9,0,2,9,0,9,9,0,2,edgeCount
481,197,243,graphml/Cogentco.graphml,2,3,random,-1,11,11,11,0,0,11,0,11,11,0,0,edgeCount
480,197,243,graphml/Cogentco.graphml,2,3,random,-1,13,13,13,0,2,13,0,13,13,0,2,edgeCount
479,197,243,graphml/Cogentco.graphml,2,3,random,-1,6,9,6,0,0,9,3,9,9,3,0,edgeCount
478,197,243,graphml/Cogentco.graphml,1,0,random,-1,20,20,20,0,0,20,0,20,20,0,0,edgeCount
477,197,243,graphml/Cogentco.graphml,2,3,random,-1,19,19,17,2,2,19,2,19,19,2,2,edgeCount
476,197,243,graphml/Cogentco.graphml,2,3,random,-1,17,17,13,4,0,17,4,17,17,4,0,edgeCount
475,197,243,graphml/Cogentco.graphml,2,3,random,-1,24,17,15,9,2,15,0,15,15,0,2,edgeCount
474,197,243,graphml/Cogentco.graphml,2,3,random,-1,21,20,12,9,0,13,1,13,13,1,0,edgeCount
473,197,243,graphml/Cogentco.graphml,2,3,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
472,197,243,graphml/Cogentco.graphml,2,3,random,-1,17,14,14,3,0,14,0,14,14,0,0,edgeCount
471,197,243,graphml/Cogentco.graphml,2,3,random,-1,18,10,9,9,6,10,1,10,10,1,6,edgeCount
470,197,243,graphml/Cogentco.graphml,2,3,random,-1,25,25,10,15,0,25,15,25,25,15,0,edgeCount
469,197,243,graphml/Cogentco.graphml,1,0,random,-1,11,11,11,0,0,11,0,11,11,0,0,edgeCount
468,197,243,graphml/Cogentco.graphml,2,3,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
467,197,243,graphml/Cogentco.graphml,2,3,random,-1,16,15,10,6,12,10,0,10,10,0,10,edgeCount
466,197,243,graphml/Cogentco.graphml,3,6,random,-1,6,6,6,0,0,6,0,6,6,0,0,edgeCount
465,197,243,graphml/Cogentco.graphml,2,3,random,-1,37,13,13,24,2,13,0,13,13,0,2,edgeCount
464,197,243,graphml/Cogentco.graphml,2,3,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
463,197,243,graphml/Cogentco.graphml,2,3,random,-1,3,3,3,0,2,3,0,3,3,0,2,edgeCount
462,197,243,graphml/Cogentco.graphml,2,3,random,-1,2,2,2,0,0,2,0,2,2,0,0,edgeCount
461,197,243,graphml/Cogentco.graphml,1,0,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
460,197,243,graphml/Cogentco.graphml,3,6,random,-1,8,8,7,1,0,8,1,8,8,1,0,edgeCount
459,197,243,graphml/Cogentco.graphml,1,0,random,-1,22,22,22,0,0,22,0,22,22,0,0,edgeCount
458,197,243,graphml/Cogentco.graphml,2,3,random,-1,25,33,20,5,0,20,0,20,20,0,0,edgeCount
457,197,243,graphml/Cogentco.graphml,2,3,random,-1,10,10,10,0,2,10,0,10,10,0,2,edgeCount
456,197,243,graphml/Cogentco.graphml,2,3,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
455,197,243,graphml/Cogentco.graphml,2,3,random,-1,2,2,2,0,0,2,0,2,2,0,0,edgeCount
454,197,243,graphml/Cogentco.graphml,2,3,random,-1,27,13,13,14,2,13,0,13,13,0,2,edgeCount
453,197,243,graphml/Cogentco.graphml,2,3,random,-1,7,7,7,0,0,7,0,7,7,0,0,edgeCount
452,197,243,graphml/Cogentco.graphml,1,0,random,-1,10,10,10,0,0,10,0,10,10,0,0,edgeCount
451,197,243,graphml/Cogentco.graphml,1,0,random,-1,16,16,16,0,2,16,0,16,16,0,2,edgeCount
450,197,243,graphml/Cogentco.graphml,1,0,random,-1,14,14,14,0,2,14,0,14,14,0,2,edgeCount
449,197,243,graphml/Cogentco.graphml,2,3,random,-1,19,15,14,5,4,15,1,15,15,1,4,edgeCount
448,197,243,graphml/Cogentco.graphml,2,3,random,-1,26,14,14,12,2,14,0,14,14,0,2,edgeCount
447,197,243,graphml/Cogentco.graphml,2,3,random,-1,12,7,7,5,2,7,0,7,7,0,2,edgeCount
446,197,243,graphml/Cogentco.graphml,1,0,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
445,197,243,graphml/Cogentco.graphml,1,0,random,-1,10,10,10,0,4,10,0,10,10,0,4,edgeCount
444,197,243,graphml/Cogentco.graphml,2,3,random,-1,18,17,15,3,0,17,2,17,17,2,0,edgeCount
443,197,243,graphml/Cogentco.graphml,1,0,random,-1,16,16,16,0,4,16,0,16,16,0,4,edgeCount
442,197,243,graphml/Cogentco.graphml,2,3,random,-1,7,12,4,3,2,4,0,4,4,0,2,edgeCount
441,197,243,graphml/Cogentco.graphml,2,3,random,-1,4,4,4,0,0,4,0,4,4,0,0,edgeCount
440,197,243,graphml/Cogentco.graphml,1,0,random,-1,9,9,9,0,0,9,0,9,9,0,0,edgeCount
439,197,243,graphml/Cogentco.graphml,3,6,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
438,197,243,graphml/Cogentco.graphml,2,3,random,-1,13,7,7,6,0,7,0,7,7,0,0,edgeCount
437,197,243,graphml/Cogentco.graphml,2,3,random,-1,16,16,14,2,0,16,2,16,16,2,0,edgeCount
436,197,243,graphml/Cogentco.graphml,1,0,random,-1,14,14,14,0,0,14,0,14,14,0,0,edgeCount
435,197,243,graphml/Cogentco.graphml,1,0,random,-1,4,17,4,0,4,4,0,4,17,0,4,edgeCount
434,197,243,graphml/Cogentco.graphml,1,0,random,-1,6,6,6,0,0,6,0,6,6,0,0,edgeCount
433,197,243,graphml/Cogentco.graphml,1,0,random,-1,14,19,14,0,2,14,0,14,19,0,2,edgeCount
432,197,243,graphml/Cogentco.graphml,2,3,random,-1,10,10,10,0,0,10,0,10,10,0,0,edgeCount
431,197,243,graphml/Cogentco.graphml,1,0,random,-1,4,9,4,0,2,4,0,4,9,0,2,edgeCount
430,197,243,graphml/Cogentco.graphml,1,0,random,-1,17,17,17,0,0,17,0,17,17,0,0,edgeCount
429,197,243,graphml/Cogentco.graphml,1,0,random,-1,14,14,14,0,0,14,0,14,14,0,0,edgeCount
428,197,243,graphml/Cogentco.graphml,2,3,random,-1,14,14,14,0,0,14,0,14,14,0,0,edgeCount
427,197,243,graphml/Cogentco.graphml,2,3,random,-1,5,5,5,0,0,5,0,5,5,0,0,edgeCount
426,197,243,graphml/Cogentco.graphml,1,0,random,-1,9,9,9,0,2,9,0,9,9,0,2,edgeCount
425,197,243,graphml/Cogentco.graphml,2,3,random,-1,8,8,8,0,0,8,0,8,8,0,0,edgeCount
