rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
945,50,176,0.15,2,,clustered,0.6;-0.3,5,5,4,1,0,6,2,6,6,2,0,edgeCount
944,50,182,0.15,7,,clustered,0.6;-0.3,28,14,4,24,16,-1,-5,27,29,23,6,edgeCount
943,50,213,0.15,6,,clustered,0.6;-0.3,11,3,3,8,0,3,0,3,3,0,0,edgeCount
942,50,188,0.15,6,,clustered,0.6;-0.3,9,3,3,6,0,5,2,3,5,0,0,edgeCount
941,50,198,0.15,9,,clustered,0.6;-0.3,12,3,3,9,0,3,0,3,3,0,0,edgeCount
940,50,201,0.15,5,,clustered,0.6;-0.3,9,7,2,7,0,2,0,3,2,1,0,edgeCount
939,50,184,0.15,5,,clustered,0.6;-0.3,16,18,4,12,8,-1,-5,-1,-1,-5,2,edgeCount
938,50,199,0.15,8,,clustered,0.6;-0.3,12,2,2,10,0,2,0,3,2,1,0,edgeCount
937,50,186,0.15,4,,clustered,0.6;-0.3,4,8,3,1,40,16,13,16,16,13,12,edgeCount
936,50,168,0.15,6,,clustered,0.6;-0.3,28,9,4,24,18,-1,-5,31,9,27,6,edgeCount
935,50,188,0.15,6,,clustered,0.6;-0.3,12,3,3,9,0,9,6,3,3,0,0,edgeCount
934,50,196,0.15,9,,clustered,0.6;-0.3,6,6,2,4,14,2,0,2,2,0,4,edgeCount
933,50,191,0.15,3,,clustered,0.6;-0.3,6,12,2,4,0,4,2,8,4,6,0,edgeCount
932,50,176,0.15,6,,clustered,0.6;-0.3,2,2,2,0,48,4,2,4,4,2,16,edgeCount
931,50,194,0.15,5,,clustered,0.6;-0.3,3,3,3,0,0,11,8,3,9,0,0,edgeCount
930,50,186,0.15,8,,clustered,0.6;-0.3,3,8,3,0,0,5,2,3,3,0,0,edgeCount
929,50,161,0.15,3,,clustered,0.6;-0.3,8,34,4,4,24,-1,-5,15,11,11,8,edgeCount
928,50,191,0.15,10,,clustered,0.6;-0.3,32,9,2,30,6,4,2,10,4,8,2,edgeCount
927,50,191,0.15,4,,clustered,0.6;-0.3,22,16,3,19,36,7,4,7,8,4,12,edgeCount
926,50,218,0.15,6,,clustered,0.6;-0.3,22,10,3,19,28,11,8,11,11,8,8,edgeCount
925,50,195,0.15,8,,clustered,0.6;-0.3,40,3,3,37,24,5,2,3,5,0,6,edgeCount
924,50,182,0.15,6,,clustered,0.6;-0.3,6,21,3,3,0,20,17,20,20,17,0,edgeCount
923,50,182,0.15,6,,clustered,0.6;-0.3,17,9,3,14,0,3,0,5,5,2,0,edgeCount
922,50,170,0.15,6,,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
921,50,165,0.15,7,,clustered,0.6;-0.3,8,2,2,6,0,2,0,2,2,0,0,edgeCount
920,50,189,0.15,8,,clustered,0.6;-0.3,8,7,3,5,10,3,0,7,7,4,2,edgeCount
919,50,189,0.15,5,,clustered,0.6;-0.3,16,18,3,13,38,9,6,9,4,6,10,edgeCount
918,50,183,0.15,9,,clustered,0.6;-0.3,8,10,3,5,8,7,4,3,5,0,2,edgeCount
917,50,186,0.15,8,,clustered,0.6;-0.3,6,8,3,3,14,7,4,7,7,4,4,edgeCount
916,50,173,0.15,9,,clustered,0.6;-0.3,8,5,3,5,18,14,11,14,15,11,6,edgeCount
915,50,172,0.15,7,,clustered,0.6;-0.3,3,5,3,0,0,7,4,3,7,0,0,edgeCount
914,50,202,0.15,7,,clustered,0.6;-0.3,22,36,2,20,26,2,0,10,2,8,6,edgeCount
913,50,178,0.15,8,,clustered,0.6;-0.3,59,15,4,55,0,-1,-5,-1,-1,-5,0,edgeCount
912,50,186,0.15,11,,clustered,0.6;-0.3,3,9,3,0,0,13,10,3,7,0,0,edgeCount
911,50,164,0.15,3,,clustered,0.6;-0.3,6,4,4,2,0,8,4,8,8,4,0,edgeCount
910,50,173,0.15,6,,clustered,0.6;-0.3,12,4,3,9,0,16,13,16,16,13,0,edgeCount
909,50,188,0.15,7,,clustered,0.6;-0.3,15,12,3,12,0,9,6,5,7,2,0,edgeCount
908,50,175,0.15,6,,clustered,0.6;-0.3,10,11,4,6,0,10,6,10,10,6,0,edgeCount
907,50,177,0.15,4,,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
906,50,215,0.15,7,,clustered,0.6;-0.3,8,28,3,5,26,5,2,7,7,4,6,edgeCount
905,50,184,0.15,3,,clustered,0.6;-0.3,5,15,4,1,36,6,2,6,12,2,12,edgeCount
904,50,189,0.15,7,,clustered,0.6;-0.3,3,12,2,1,0,2,0,9,2,7,0,edgeCount
903,50,170,0.15,2,,clustered,0.6;-0.3,4,4,2,2,0,2,0,4,2,2,0,edgeCount
902,50,197,0.15,11,,clustered,0.6;-0.3,46,16,2,44,8,4,2,20,4,18,2,edgeCount
