rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
955,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
954,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,53,15,9,44,8,-1,-10,43,43,34,8,edgeCount
953,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,27,7,7,20,4,7,0,7,7,0,4,edgeCount
952,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,41,17,17,24,2,-1,-18,41,17,24,2,edgeCount
951,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,12,-13,4,-1,-13,-1,-1,-13,4,edgeCount
950,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
949,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,83,67,20,63,4,-1,-21,-1,-1,-21,4,edgeCount
948,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,15,-16,4,-1,-16,-1,-1,-16,4,edgeCount
947,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
946,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
945,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
944,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,13,-14,6,-1,-14,-1,-1,-14,6,edgeCount
943,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
942,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
941,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
940,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,58,58,13,45,0,58,45,58,58,45,0,edgeCount
939,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,9,-10,6,-1,-10,-1,-1,-10,4,edgeCount
938,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
937,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
936,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,22,22,8,14,0,22,14,22,22,14,0,edgeCount
935,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
934,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,11,53,10,1,4,-1,-11,25,37,15,2,edgeCount
933,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,11,-12,2,-1,-12,-1,-1,-12,2,edgeCount
932,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
931,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,10,-11,0,-1,-11,-1,-1,-11,0,edgeCount
930,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
929,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
928,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,7,3,3,4,0,3,0,3,3,0,0,edgeCount
927,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,9,-10,10,-1,-10,-1,-1,-10,10,edgeCount
926,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
925,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,10,-11,0,-1,-11,-1,-1,-11,0,edgeCount
924,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,10,8,6,4,0,8,2,8,8,2,0,edgeCount
923,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,17,55,11,6,0,35,24,35,35,24,0,edgeCount
922,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,4,4,4,0,0,-1,-5,4,4,0,0,edgeCount
921,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
920,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
919,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
918,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,9,29,8,1,0,19,11,19,19,11,0,edgeCount
917,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
916,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,12,12,7,5,0,-1,-8,12,12,5,0,edgeCount
915,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
914,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,47,15,15,32,4,15,0,15,15,0,4,edgeCount
913,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
912,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
911,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
910,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
909,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
908,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
907,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
