rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
949,25,57,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
948,25,44,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
947,25,51,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
946,25,51,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
945,25,41,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
944,25,46,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
943,25,48,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
942,25,35,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
941,25,46,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
940,25,32,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
939,25,41,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
938,25,49,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,18,-1,0,-1,-1,0,10,edgeCount
937,25,37,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
936,25,45,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
935,25,49,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
934,25,41,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
933,25,41,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
932,25,50,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
931,25,45,0.15,1,,clustered,0.9;-0.3,4,10,4,0,6,-1,-5,4,10,0,6,edgeCount
930,25,35,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
929,25,46,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
928,25,46,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
927,25,41,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
926,25,53,0.15,3,,clustered,0.9;-0.3,4,4,2,2,14,2,0,2,2,0,6,edgeCount
925,25,58,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
924,25,44,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
923,25,41,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
922,25,48,0.15,2,,clustered,0.9;-0.3,5,5,5,0,0,-1,-6,-1,-1,-6,0,edgeCount
921,25,44,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
920,25,58,0.15,4,,clustered,0.9;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
919,25,45,0.15,1,,clustered,0.9;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
918,25,44,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
917,25,39,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
916,25,56,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,6,edgeCount
915,25,45,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
914,25,52,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
913,25,45,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
912,25,49,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
911,25,49,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,6,edgeCount
910,25,41,0.15,3,,clustered,0.9;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
909,25,58,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
908,25,42,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
907,25,48,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
906,25,39,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
905,25,37,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
904,25,45,0.15,3,,clustered,0.9;-0.3,-1,-1,12,-13,8,-1,-13,-1,-1,-13,4,edgeCount
903,25,55,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,6,edgeCount
902,25,50,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,14,-1,0,-1,-1,0,8,edgeCount
901,25,49,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
900,25,52,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
899,25,42,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,6,edgeCount
898,25,42,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
897,25,46,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
896,25,49,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
895,25,43,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
894,25,43,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
893,25,46,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
892,25,50,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
891,25,52,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
890,25,50,0.15,4,,clustered,0.9;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
889,25,53,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,6,edgeCount
888,25,43,0.15,4,,clustered,0.9;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
887,25,47,0.15,3,,clustered,0.9;-0.3,3,3,3,0,12,3,0,3,3,0,6,edgeCount
886,25,45,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
885,25,48,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
884,25,38,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,8,edgeCount
883,25,49,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
882,25,42,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
881,25,58,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,4,edgeCount
880,25,52,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,6,edgeCount
879,25,51,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
878,25,45,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
877,25,48,0.15,3,,clustered,0.9;-0.3,10,8,4,6,4,6,2,6,6,2,2,edgeCount
876,25,33,0.15,1,,clustered,0.9;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
875,25,38,0.15,1,,clustered,0.9;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
874,25,41,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
873,25,55,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
872,25,43,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
871,25,45,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
870,25,44,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,6,edgeCount
869,25,49,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
868,25,53,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
867,25,42,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
866,25,45,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
865,25,39,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
864,25,45,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
863,25,41,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
862,25,49,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
861,25,45,0.15,6,,clustered,0.9;-0.3,-1,-1,5,-6,2,-1,-6,8,8,3,2,edgeCount
860,25,42,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
859,25,47,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
858,25,45,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
857,25,39,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
856,25,48,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
855,25,39,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
854,25,43,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,6,edgeCount
853,25,47,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,6,edgeCount
852,25,43,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
851,25,42,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
850,25,52,0.15,4,,clustered,0.9;-0.3,8,5,3,5,0,5,2,5,5,2,0,edgeCount
849,25,42,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
848,25,45,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
847,25,45,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
846,25,52,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
845,25,48,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
844,25,52,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
843,25,42,0.15,2,,clustered,0.9;-0.3,4,8,4,0,0,6,2,6,6,2,0,edgeCount
842,25,49,0.15,2,,clustered,0.9;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
841,25,36,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
840,25,40,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
839,25,51,0.15,2,,clustered,0.9;-0.3,3,7,3,0,0,7,4,7,7,4,0,edgeCount
838,25,46,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
837,25,44,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
836,25,48,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
835,25,55,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
834,25,45,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
833,25,45,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
832,25,45,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
831,25,51,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
830,25,44,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
829,25,53,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
828,25,47,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
827,25,47,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
826,25,38,0.15,3,,clustered,0.9;-0.3,7,3,3,4,0,3,0,3,3,0,0,edgeCount
825,25,37,0.15,2,,clustered,0.9;-0.3,6,20,6,0,0,14,8,14,14,8,0,edgeCount
824,25,48,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
823,25,50,0.15,2,,clustered,0.9;-0.3,4,5,4,0,4,-1,-5,9,9,5,2,edgeCount
822,25,46,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
821,25,50,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
820,25,49,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
819,25,44,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
818,25,43,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
817,25,46,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
816,25,41,0.15,2,,clustered,0.9;-0.3,4,6,4,0,6,-1,-5,-1,-1,-5,4,edgeCount
815,25,36,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
814,25,50,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
813,25,46,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
812,25,46,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
811,25,55,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,14,-1,0,-1,-1,0,8,edgeCount
810,25,48,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
809,25,55,0.15,3,,clustered,0.9;-0.3,7,3,3,4,0,3,0,3,3,0,0,edgeCount
808,25,48,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
807,25,40,0.15,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
806,25,61,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,18,-1,0,-1,-1,0,8,edgeCount
805,25,49,0.15,5,,clustered,0.9;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
804,25,51,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
803,25,41,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
802,25,38,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
801,25,47,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
800,25,49,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
799,25,42,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
798,25,44,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
797,25,45,0.15,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
