rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,25,50,4,4,,clustered,0.7;-0.3,3,9,3,0,0,5,2,5,5,2,0,edgeCount
199,25,50,4,4,,clustered,0.7;-0.3,4,11,4,0,0,10,6,10,10,6,0,edgeCount
198,25,50,4,4,,clustered,0.7;-0.3,15,3,3,12,0,5,2,5,5,2,0,edgeCount
197,25,50,4,4,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
196,25,50,4,4,,clustered,0.7;-0.3,5,19,5,0,0,15,10,15,15,10,0,edgeCount
195,25,50,4,4,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
194,25,50,4,4,,clustered,0.7;-0.3,10,10,2,8,0,2,0,2,2,0,0,edgeCount
193,25,50,4,4,,clustered,0.7;-0.3,2,2,2,0,0,4,2,4,4,2,0,edgeCount
192,25,50,4,4,,clustered,0.7;-0.3,4,18,4,0,0,6,2,12,12,8,0,edgeCount
191,25,50,4,4,,clustered,0.7;-0.3,4,22,4,0,0,10,6,10,10,6,0,edgeCount
190,25,50,4,4,,clustered,0.7;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
189,25,50,4,4,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
188,25,50,4,4,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
187,25,50,4,4,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
186,25,50,4,4,,clustered,0.7;-0.3,4,20,4,0,0,6,2,10,10,6,0,edgeCount
185,25,50,4,4,,clustered,0.7;-0.3,11,9,3,8,0,5,2,5,5,2,0,edgeCount
184,25,50,4,4,,clustered,0.7;-0.3,4,18,4,0,0,10,6,6,6,2,0,edgeCount
183,25,50,4,4,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
182,25,50,4,4,,clustered,0.7;-0.3,12,12,5,7,0,14,9,14,14,9,0,edgeCount
181,25,50,4,4,,clustered,0.7;-0.3,4,16,4,0,0,10,6,10,10,6,0,edgeCount
180,25,50,4,4,,clustered,0.7;-0.3,8,30,6,2,0,16,10,16,16,10,0,edgeCount
179,25,50,4,4,,clustered,0.7;-0.3,5,11,5,0,0,7,2,7,7,2,0,edgeCount
178,25,50,4,4,,clustered,0.7;-0.3,15,7,3,12,0,5,2,3,5,0,0,edgeCount
177,25,50,4,4,,clustered,0.7;-0.3,5,17,4,1,0,17,13,9,9,5,0,edgeCount
176,25,50,4,4,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
175,25,50,4,4,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
174,25,50,4,4,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
173,25,50,4,4,,clustered,0.7;-0.3,13,17,4,9,0,15,11,15,15,11,0,edgeCount
172,25,50,4,4,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
171,25,50,4,4,,clustered,0.7;-0.3,14,4,4,10,0,11,7,11,11,7,0,edgeCount
170,25,50,4,4,,clustered,0.7;-0.3,23,3,3,20,0,3,0,3,3,0,0,edgeCount
169,25,50,4,4,,clustered,0.7;-0.3,20,4,2,18,0,2,0,4,2,2,0,edgeCount
168,25,50,4,4,,clustered,0.7;-0.3,4,4,2,2,0,2,0,2,2,0,0,edgeCount
167,25,50,4,4,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
