rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,512,0.1,13,329,random,-1,20,18,2,18,0,2,0,2,2,0,0,edgeCount
199,100,513,0.1,10,247,random,-1,3,5,3,0,36,5,2,3,5,0,8,edgeCount
198,100,527,0.1,7,164,random,-1,6,4,2,4,0,2,0,2,2,0,0,edgeCount
197,100,477,0.1,10,247,random,-1,9,7,2,7,0,2,0,3,2,1,0,edgeCount
196,100,495,0.1,10,247,random,-1,11,3,3,8,6,9,6,3,7,0,2,edgeCount
195,100,536,0.1,12,301,random,-1,6,2,2,4,0,4,2,4,4,2,0,edgeCount
194,100,496,0.1,8,192,random,-1,6,5,3,3,0,9,6,9,9,6,0,edgeCount
193,100,448,0.1,6,137,random,-1,4,13,3,1,0,7,4,7,7,4,0,edgeCount
192,100,514,0.1,8,192,random,-1,3,4,3,0,84,-1,-4,-1,-1,-4,18,edgeCount
191,100,476,0.1,5,110,random,-1,16,15,4,12,0,16,12,16,16,12,0,edgeCount
190,100,496,0.1,9,219,random,-1,14,11,4,10,22,-1,-5,-1,-1,-5,4,edgeCount
189,100,510,0.1,11,274,random,-1,-1,-1,4,-5,18,-1,-5,-1,-1,-5,4,edgeCount
188,100,527,0.1,5,110,random,-1,4,7,3,1,0,5,2,3,3,0,0,edgeCount
187,100,487,0.1,4,82,random,-1,2,5,2,0,38,2,0,3,2,1,10,edgeCount
186,100,504,0.1,9,219,random,-1,6,3,3,3,0,5,2,9,9,6,0,edgeCount
185,100,489,0.1,8,192,random,-1,9,9,3,6,0,5,2,3,5,0,0,edgeCount
184,100,481,0.1,7,164,random,-1,6,17,2,4,0,2,0,5,2,3,0,edgeCount
183,100,484,0.1,8,192,random,-1,3,9,2,1,52,2,0,7,2,5,10,edgeCount
182,100,474,0.1,8,192,random,-1,3,23,3,0,0,3,0,3,9,0,0,edgeCount
181,100,486,0.1,5,110,random,-1,3,9,3,0,0,3,0,3,3,0,0,edgeCount
180,100,536,0.1,9,219,random,-1,9,14,3,6,70,11,8,9,9,6,14,edgeCount
179,100,481,0.1,9,219,random,-1,25,5,3,22,0,7,4,7,7,4,0,edgeCount
178,100,457,0.1,9,219,random,-1,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
177,100,505,0.1,4,82,random,-1,3,5,3,0,0,3,0,3,3,0,0,edgeCount
176,100,475,0.1,7,164,random,-1,4,14,4,0,0,8,4,8,8,4,0,edgeCount
175,100,490,0.1,4,82,random,-1,4,7,3,1,0,5,2,5,5,2,0,edgeCount
174,100,506,0.1,9,219,random,-1,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
173,100,440,0.1,2,27,random,-1,3,3,3,0,0,5,2,5,5,2,0,edgeCount
172,100,495,0.1,7,164,random,-1,4,8,3,1,0,5,2,7,9,4,0,edgeCount
171,100,522,0.1,7,164,random,-1,18,4,3,15,22,3,0,3,3,0,4,edgeCount
170,100,498,0.1,8,192,random,-1,11,6,4,7,0,-1,-5,-1,-1,-5,0,edgeCount
169,100,504,0.1,10,247,random,-1,11,3,2,9,0,2,0,3,2,1,0,edgeCount
168,100,463,0.1,9,219,random,-1,8,9,3,5,0,9,6,13,13,10,0,edgeCount
167,100,501,0.1,5,110,random,-1,3,8,3,0,0,3,0,3,3,0,0,edgeCount
166,100,487,0.1,8,192,random,-1,4,14,4,0,20,12,8,12,12,8,4,edgeCount
165,100,492,0.1,6,137,random,-1,3,3,3,0,34,3,0,3,3,0,6,edgeCount
164,100,489,0.1,6,137,random,-1,2,4,2,0,0,2,0,2,2,0,0,edgeCount
163,100,516,0.1,10,247,random,-1,27,5,4,23,42,-1,-5,-1,-1,-5,8,edgeCount
162,100,492,0.1,11,274,random,-1,3,12,2,1,0,2,0,7,2,5,0,edgeCount
161,100,501,0.1,9,219,random,-1,10,8,3,7,24,3,0,3,3,0,6,edgeCount
160,100,482,0.1,3,55,random,-1,3,3,3,0,28,3,0,3,3,0,10,edgeCount
159,100,487,0.1,7,164,random,-1,6,4,2,4,34,2,0,4,2,2,6,edgeCount
158,100,477,0.1,9,219,random,-1,9,2,2,7,40,2,0,4,2,2,8,edgeCount
157,100,497,0.1,6,137,random,-1,4,3,2,2,76,2,0,2,2,0,16,edgeCount
156,100,485,0.1,9,219,random,-1,4,2,2,2,10,2,0,3,2,1,2,edgeCount
155,100,485,0.1,13,329,random,-1,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
154,100,519,0.1,11,274,random,-1,3,7,3,0,0,3,0,7,7,4,0,edgeCount
153,100,465,0.1,6,137,random,-1,6,8,4,2,30,4,0,4,4,0,6,edgeCount
152,100,520,0.1,8,192,random,-1,5,3,2,3,0,2,0,3,2,1,0,edgeCount
151,100,500,0.1,7,164,random,-1,7,20,3,4,0,3,0,3,3,0,0,edgeCount
150,100,518,0.1,10,247,random,-1,10,5,2,8,10,2,0,5,2,3,2,edgeCount
149,100,504,0.1,10,247,random,-1,25,13,4,21,0,-1,-5,-1,-1,-5,0,edgeCount
148,100,473,0.1,5,110,random,-1,4,3,2,2,0,2,0,3,2,1,0,edgeCount
147,100,500,0.1,10,247,random,-1,15,15,4,11,0,-1,-5,-1,-1,-5,0,edgeCount
146,100,509,0.1,8,192,random,-1,13,7,4,9,0,-1,-5,-1,-1,-5,0,edgeCount
145,100,522,0.1,8,192,random,-1,5,5,2,3,20,2,0,5,2,3,4,edgeCount
144,100,506,0.1,5,110,random,-1,2,7,2,0,78,4,2,3,4,1,16,edgeCount
143,100,505,0.1,9,219,random,-1,10,14,2,8,0,2,0,6,2,4,0,edgeCount
142,100,513,0.1,9,219,random,-1,8,19,3,5,0,5,2,5,5,2,0,edgeCount
141,100,495,0.1,9,219,random,-1,15,3,3,12,0,3,0,3,3,0,0,edgeCount
140,100,529,0.1,10,247,random,-1,11,16,3,8,0,11,8,13,13,10,0,edgeCount
139,100,519,0.1,4,82,random,-1,6,4,3,3,0,8,5,8,8,5,0,edgeCount
138,100,503,0.1,8,192,random,-1,10,3,3,7,0,3,0,3,3,0,0,edgeCount
137,100,469,0.1,6,137,random,-1,2,17,2,0,70,2,0,4,2,2,16,edgeCount
136,100,505,0.1,7,164,random,-1,7,12,2,5,0,2,0,3,2,1,0,edgeCount
135,100,488,0.1,8,192,random,-1,7,6,2,5,40,6,4,6,6,4,10,edgeCount
134,100,494,0.1,11,274,random,-1,8,2,2,6,22,2,0,4,2,2,4,edgeCount
133,100,496,0.1,6,137,random,-1,3,3,3,0,12,5,2,3,5,0,2,edgeCount
132,100,499,0.1,8,192,random,-1,9,5,4,5,0,-1,-5,-1,-1,-5,0,edgeCount
131,100,468,0.1,6,137,random,-1,3,3,3,0,76,3,0,3,3,0,16,edgeCount
130,100,489,0.1,7,164,random,-1,12,2,2,10,12,2,0,6,2,4,4,edgeCount
129,100,497,0.1,9,219,random,-1,19,13,3,16,0,7,4,3,5,0,0,edgeCount
128,100,494,0.1,8,192,random,-1,12,4,3,9,20,5,2,5,5,2,4,edgeCount
127,100,477,0.1,8,192,random,-1,7,15,3,4,30,3,0,3,3,0,6,edgeCount
126,100,484,0.1,6,137,random,-1,5,5,3,2,0,3,0,3,3,0,0,edgeCount
125,100,520,0.1,9,219,random,-1,8,8,2,6,32,2,0,3,2,1,6,edgeCount
124,100,490,0.1,5,110,random,-1,2,2,2,0,32,2,0,2,2,0,8,edgeCount
123,100,482,0.1,9,219,random,-1,21,31,3,18,20,-1,-4,-1,-1,-4,4,edgeCount
122,100,483,0.1,8,192,random,-1,8,4,4,4,0,-1,-5,-1,-1,-5,0,edgeCount
121,100,513,0.1,10,247,random,-1,12,28,3,9,10,16,13,18,18,15,2,edgeCount
120,100,520,0.1,9,219,random,-1,10,7,4,6,0,-1,-5,-1,-1,-5,0,edgeCount
119,100,481,0.1,7,164,random,-1,17,15,3,14,0,-1,-4,-1,-1,-4,0,edgeCount
118,100,498,0.1,10,247,random,-1,21,23,3,18,0,-1,-4,-1,-1,-4,0,edgeCount
