rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
955,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
954,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
953,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,30,8,8,22,0,8,0,8,8,0,0,edgeCount
952,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
951,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,51,23,12,39,2,-1,-13,34,22,22,2,edgeCount
950,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,24,24,10,14,2,20,10,24,24,14,2,edgeCount
949,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
948,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
947,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
946,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,23,7,7,16,0,7,0,7,7,0,0,edgeCount
945,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
944,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
943,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
942,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,32,32,11,21,0,32,21,32,32,21,0,edgeCount
941,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,12,66,10,2,0,22,12,22,22,12,0,edgeCount
940,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
939,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
938,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
937,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
936,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,27,5,0,2,5,0,5,27,0,2,edgeCount
935,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
934,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
933,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
932,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
931,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
930,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
929,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
928,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
927,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
926,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
