rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
953,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
952,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,8,9,8,0,0,9,1,9,9,1,0,edgeCount
951,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,31,9,9,22,6,9,0,9,9,0,6,edgeCount
950,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,9,6,6,3,0,6,0,6,6,0,0,edgeCount
949,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,4,4,4,0,4,4,0,4,4,0,4,edgeCount
948,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
947,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
946,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
945,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
944,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,13,9,0,4,9,0,9,13,0,4,edgeCount
943,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,14,19,6,8,0,6,0,6,6,0,0,edgeCount
942,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
941,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
940,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,11,17,9,2,0,9,0,9,9,0,0,edgeCount
939,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,9,9,0,2,9,0,9,9,0,2,edgeCount
938,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,4,4,3,1,0,4,1,4,4,1,0,edgeCount
937,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
936,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
935,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,9,7,7,2,0,7,0,7,7,0,0,edgeCount
