rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,50,50,2,2,,clustered,0.6;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
199,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
198,50,50,2,2,,clustered,0.6;-0.3,50,50,34,16,0,50,16,50,50,16,0,edgeCount
197,50,50,2,2,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
196,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
195,50,50,2,2,,clustered,0.6;-0.3,62,62,34,28,0,62,28,62,62,28,0,edgeCount
194,50,50,2,2,,clustered,0.6;-0.3,13,13,13,0,0,13,0,13,13,0,0,edgeCount
193,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
192,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
191,50,50,2,2,,clustered,0.6;-0.3,61,61,27,34,0,61,34,61,61,34,0,edgeCount
190,50,50,2,2,,clustered,0.6;-0.3,14,14,14,0,0,14,0,14,14,0,0,edgeCount
189,50,50,2,2,,clustered,0.6;-0.3,46,46,24,22,0,46,22,46,46,22,0,edgeCount
188,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
187,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
186,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
185,50,50,2,2,,clustered,0.6;-0.3,13,13,13,0,0,13,0,13,13,0,0,edgeCount
184,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
183,50,50,2,2,,clustered,0.6;-0.3,52,52,38,14,0,52,14,52,52,14,0,edgeCount
182,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
181,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
180,50,50,2,2,,clustered,0.6;-0.3,37,37,23,14,0,37,14,37,37,14,0,edgeCount
179,50,50,2,2,,clustered,0.6;-0.3,56,56,32,24,0,56,24,56,56,24,0,edgeCount
178,50,50,2,2,,clustered,0.6;-0.3,61,61,27,34,0,61,34,61,61,34,0,edgeCount
177,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
176,50,50,2,2,,clustered,0.6;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
175,50,50,2,2,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
174,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
173,50,50,2,2,,clustered,0.6;-0.3,24,24,10,14,0,24,14,24,24,14,0,edgeCount
172,50,50,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
171,50,50,2,2,,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
