rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,50,50,2,2,,clustered,0.5;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
199,50,50,2,2,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
198,50,50,2,2,,clustered,0.5;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
197,50,50,2,2,,clustered,0.5;-0.3,52,52,26,26,0,52,26,52,52,26,0,edgeCount
196,50,50,2,2,,clustered,0.5;-0.3,53,53,29,24,0,53,24,53,53,24,0,edgeCount
195,50,50,2,2,,clustered,0.5;-0.3,23,23,23,0,0,23,0,23,23,0,0,edgeCount
194,50,50,2,2,,clustered,0.5;-0.3,71,71,27,44,0,71,44,71,71,44,0,edgeCount
193,50,50,2,2,,clustered,0.5;-0.3,62,62,30,32,0,62,32,62,62,32,0,edgeCount
192,50,50,2,2,,clustered,0.5;-0.3,20,20,20,0,0,20,0,20,20,0,0,edgeCount
191,50,50,2,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
190,50,50,2,2,,clustered,0.5;-0.3,22,22,22,0,0,22,0,22,22,0,0,edgeCount
189,50,50,2,2,,clustered,0.5;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
188,50,50,2,2,,clustered,0.5;-0.3,55,55,43,12,0,55,12,55,55,12,0,edgeCount
187,50,50,2,2,,clustered,0.5;-0.3,54,54,34,20,0,54,20,54,54,20,0,edgeCount
186,50,50,2,2,,clustered,0.5;-0.3,64,64,34,30,0,64,30,64,64,30,0,edgeCount
185,50,50,2,2,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
184,50,50,2,2,,clustered,0.5;-0.3,15,15,13,2,0,15,2,15,15,2,0,edgeCount
183,50,50,2,2,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
182,50,50,2,2,,clustered,0.5;-0.3,60,60,38,22,0,60,22,60,60,22,0,edgeCount
181,50,50,2,2,,clustered,0.5;-0.3,16,16,16,0,0,16,0,16,16,0,0,edgeCount
180,50,50,2,2,,clustered,0.5;-0.3,51,51,47,4,0,51,4,51,51,4,0,edgeCount
179,50,50,2,2,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
178,50,50,2,2,,clustered,0.5;-0.3,42,42,26,16,0,42,16,42,42,16,0,edgeCount
177,50,50,2,2,,clustered,0.5;-0.3,51,51,47,4,0,51,4,51,51,4,0,edgeCount
176,50,50,2,2,,clustered,0.5;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
175,50,50,2,2,,clustered,0.5;-0.3,13,13,13,0,0,13,0,13,13,0,0,edgeCount
174,50,50,2,2,,clustered,0.5;-0.3,59,59,39,20,0,59,20,59,59,20,0,edgeCount
173,50,50,2,2,,clustered,0.5;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
172,50,50,2,2,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
171,50,50,2,2,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
170,50,50,2,2,,clustered,0.5;-0.3,56,56,26,30,0,56,30,56,56,30,0,edgeCount
169,50,50,2,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
168,50,50,2,2,,clustered,0.5;-0.3,48,48,36,12,0,48,12,48,48,12,0,edgeCount
167,50,50,2,2,,clustered,0.5;-0.3,55,55,43,12,0,55,12,55,55,12,0,edgeCount
166,50,50,2,2,,clustered,0.5;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
165,50,50,2,2,,clustered,0.5;-0.3,44,44,16,28,0,44,28,44,44,28,0,edgeCount
164,50,50,2,2,,clustered,0.5;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
163,50,50,2,2,,clustered,0.5;-0.3,11,11,5,6,0,11,6,11,11,6,0,edgeCount
162,50,50,2,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
161,50,50,2,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
160,50,50,2,2,,clustered,0.5;-0.3,16,16,16,0,0,16,0,16,16,0,0,edgeCount
159,50,50,2,2,,clustered,0.5;-0.3,26,26,18,8,0,26,8,26,26,8,0,edgeCount
158,50,50,2,2,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
157,50,50,2,2,,clustered,0.5;-0.3,66,66,26,40,0,66,40,66,66,40,0,edgeCount
156,50,50,2,2,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
155,50,50,2,2,,clustered,0.5;-0.3,20,20,20,0,0,20,0,20,20,0,0,edgeCount
154,50,50,2,2,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
153,50,50,2,2,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
152,50,50,2,2,,clustered,0.5;-0.3,30,30,20,10,0,30,10,30,30,10,0,edgeCount
151,50,50,2,2,,clustered,0.5;-0.3,44,44,42,2,0,44,2,44,44,2,0,edgeCount
150,50,50,2,2,,clustered,0.5;-0.3,59,59,39,20,0,59,20,59,59,20,0,edgeCount
149,50,50,2,2,,clustered,0.5;-0.3,24,24,24,0,0,24,0,24,24,0,0,edgeCount
148,50,50,2,2,,clustered,0.5;-0.3,54,54,36,18,0,54,18,54,54,18,0,edgeCount
147,50,50,2,2,,clustered,0.5;-0.3,41,41,39,2,0,41,2,41,41,2,0,edgeCount
146,50,50,2,2,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
145,50,50,2,2,,clustered,0.5;-0.3,26,26,20,6,0,26,6,26,26,6,0,edgeCount
144,50,50,2,2,,clustered,0.5;-0.3,27,27,21,6,0,27,6,27,27,6,0,edgeCount
143,50,50,2,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
142,50,50,2,2,,clustered,0.5;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
141,50,50,2,2,,clustered,0.5;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
140,50,50,2,2,,clustered,0.5;-0.3,64,64,28,36,0,64,36,64,64,36,0,edgeCount
139,50,50,2,2,,clustered,0.5;-0.3,46,46,32,14,0,46,14,46,46,14,0,edgeCount
138,50,50,2,2,,clustered,0.5;-0.3,60,60,24,36,0,60,36,60,60,36,0,edgeCount
137,50,50,2,2,,clustered,0.5;-0.3,42,42,30,12,0,42,12,42,42,12,0,edgeCount
136,50,50,2,2,,clustered,0.5;-0.3,13,13,13,0,0,13,0,13,13,0,0,edgeCount
135,50,50,2,2,,clustered,0.5;-0.3,60,60,38,22,0,60,22,60,60,22,0,edgeCount
134,50,50,2,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
133,50,50,2,2,,clustered,0.5;-0.3,45,45,21,24,0,45,24,45,45,24,0,edgeCount
132,50,50,2,2,,clustered,0.5;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
131,50,50,2,2,,clustered,0.5;-0.3,48,48,44,4,0,48,4,48,48,4,0,edgeCount
130,50,50,2,2,,clustered,0.5;-0.3,16,16,8,8,0,16,8,16,16,8,0,edgeCount
129,50,50,2,2,,clustered,0.5;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
128,50,50,2,2,,clustered,0.5;-0.3,23,23,23,0,0,23,0,23,23,0,0,edgeCount
127,50,50,2,2,,clustered,0.5;-0.3,63,63,35,28,0,63,28,63,63,28,0,edgeCount
126,50,50,2,2,,clustered,0.5;-0.3,14,14,14,0,0,14,0,14,14,0,0,edgeCount
125,50,50,2,2,,clustered,0.5;-0.3,59,59,25,34,0,59,34,59,59,34,0,edgeCount
124,50,50,2,2,,clustered,0.5;-0.3,19,19,19,0,0,19,0,19,19,0,0,edgeCount
123,50,50,2,2,,clustered,0.5;-0.3,34,34,24,10,0,34,10,34,34,10,0,edgeCount
122,50,50,2,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
121,50,50,2,2,,clustered,0.5;-0.3,61,61,37,24,0,61,24,61,61,24,0,edgeCount
120,50,50,2,2,,clustered,0.5;-0.3,50,50,40,10,0,50,10,50,50,10,0,edgeCount
