rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,50,200,8,8,,clustered,0.7;-0.3,37,17,4,33,0,-1,-5,-1,-1,-5,0,edgeCount
199,50,200,8,8,,clustered,0.7;-0.3,28,9,4,24,0,-1,-5,-1,-1,-5,0,edgeCount
198,50,200,8,8,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
197,50,200,8,8,,clustered,0.7;-0.3,12,3,3,9,0,12,9,20,20,17,0,edgeCount
196,50,200,8,8,,clustered,0.7;-0.3,19,25,3,16,0,11,8,11,11,8,0,edgeCount
195,50,200,8,8,,clustered,0.7;-0.3,22,6,3,19,0,5,2,9,9,6,0,edgeCount
194,50,200,8,8,,clustered,0.7;-0.3,10,17,4,6,0,18,14,16,20,12,0,edgeCount
193,50,200,8,8,,clustered,0.7;-0.3,37,19,4,33,0,-1,-5,-1,-1,-5,0,edgeCount
192,50,200,8,8,,clustered,0.7;-0.3,15,11,3,12,0,-1,-4,-1,-1,-4,0,edgeCount
191,50,200,8,8,,clustered,0.7;-0.3,48,4,4,44,0,-1,-5,-1,-1,-5,0,edgeCount
190,50,200,8,8,,clustered,0.7;-0.3,39,17,4,35,0,-1,-5,-1,-1,-5,0,edgeCount
189,50,200,8,8,,clustered,0.7;-0.3,8,31,3,5,0,13,10,13,13,10,0,edgeCount
188,50,200,8,8,,clustered,0.7;-0.3,12,12,3,9,0,10,7,18,18,15,0,edgeCount
187,50,200,8,8,,clustered,0.7;-0.3,17,5,3,14,0,5,2,3,3,0,0,edgeCount
186,50,200,8,8,,clustered,0.7;-0.3,18,2,2,16,0,2,0,10,2,8,0,edgeCount
185,50,200,8,8,,clustered,0.7;-0.3,3,51,3,0,0,17,14,17,17,14,0,edgeCount
184,50,200,8,8,,clustered,0.7;-0.3,24,36,4,20,0,-1,-5,-1,-1,-5,0,edgeCount
183,50,200,8,8,,clustered,0.7;-0.3,24,16,2,22,0,2,0,6,2,4,0,edgeCount
182,50,200,8,8,,clustered,0.7;-0.3,10,21,3,7,0,3,0,3,3,0,0,edgeCount
181,50,200,8,8,,clustered,0.7;-0.3,7,3,3,4,0,9,6,9,9,6,0,edgeCount
180,50,200,8,8,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
179,50,200,8,8,,clustered,0.7;-0.3,4,3,3,1,0,3,0,3,3,0,0,edgeCount
178,50,200,8,8,,clustered,0.7;-0.3,6,9,3,3,0,12,9,12,12,9,0,edgeCount
177,50,200,8,8,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
176,50,200,8,8,,clustered,0.7;-0.3,61,35,5,56,0,-1,-6,-1,-1,-6,0,edgeCount
175,50,200,8,8,,clustered,0.7;-0.3,23,19,3,20,0,-1,-4,-1,-1,-4,0,edgeCount
174,50,200,8,8,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
173,50,200,8,8,,clustered,0.7;-0.3,51,5,3,48,0,-1,-4,-1,-1,-4,0,edgeCount
172,50,200,8,8,,clustered,0.7;-0.3,39,2,2,37,0,7,5,2,2,0,0,edgeCount
171,50,200,8,8,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
170,50,200,8,8,,clustered,0.7;-0.3,25,5,3,22,0,-1,-4,-1,-1,-4,0,edgeCount
169,50,200,8,8,,clustered,0.7;-0.3,40,16,2,38,0,2,0,10,2,8,0,edgeCount
168,50,200,8,8,,clustered,0.7;-0.3,15,3,3,12,0,-1,-4,-1,-1,-4,0,edgeCount
