rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,50,100,4,4,,clustered,0.5;-0.3,18,17,2,16,0,2,0,2,2,0,0,edgeCount
199,50,100,4,4,,clustered,0.5;-0.3,40,12,4,36,0,4,0,4,4,0,0,edgeCount
198,50,100,4,4,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
197,50,100,4,4,,clustered,0.5;-0.3,5,7,5,0,0,17,12,17,17,12,0,edgeCount
196,50,100,4,4,,clustered,0.5;-0.3,4,8,4,0,0,12,8,12,12,8,0,edgeCount
195,50,100,4,4,,clustered,0.5;-0.3,29,3,3,26,0,3,0,3,3,0,0,edgeCount
194,50,100,4,4,,clustered,0.5;-0.3,6,7,5,1,0,18,13,18,18,13,0,edgeCount
193,50,100,4,4,,clustered,0.5;-0.3,17,19,5,12,0,11,6,11,11,6,0,edgeCount
192,50,100,4,4,,clustered,0.5;-0.3,8,3,3,5,0,6,3,6,6,3,0,edgeCount
191,50,100,4,4,,clustered,0.5;-0.3,19,3,3,16,0,3,0,3,3,0,0,edgeCount
190,50,100,4,4,,clustered,0.5;-0.3,5,23,5,0,0,11,6,11,11,6,0,edgeCount
189,50,100,4,4,,clustered,0.5;-0.3,6,24,4,2,0,4,0,4,4,0,0,edgeCount
188,50,100,4,4,,clustered,0.5;-0.3,9,7,5,4,0,19,14,19,19,14,0,edgeCount
187,50,100,4,4,,clustered,0.5;-0.3,3,6,3,0,0,7,4,7,7,4,0,edgeCount
186,50,100,4,4,,clustered,0.5;-0.3,5,16,3,2,0,3,0,3,3,0,0,edgeCount
185,50,100,4,4,,clustered,0.5;-0.3,16,42,6,10,0,14,8,14,14,8,0,edgeCount
184,50,100,4,4,,clustered,0.5;-0.3,4,10,4,0,0,10,6,10,10,6,0,edgeCount
183,50,100,4,4,,clustered,0.5;-0.3,17,7,6,11,0,-1,-7,-1,-1,-7,0,edgeCount
182,50,100,4,4,,clustered,0.5;-0.3,7,3,3,4,0,5,2,3,5,0,0,edgeCount
181,50,100,4,4,,clustered,0.5;-0.3,15,19,7,8,0,27,20,27,27,20,0,edgeCount
180,50,100,4,4,,clustered,0.5;-0.3,17,17,5,12,0,19,14,19,19,14,0,edgeCount
179,50,100,4,4,,clustered,0.5;-0.3,13,8,5,8,0,23,18,23,23,18,0,edgeCount
178,50,100,4,4,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
177,50,100,4,4,,clustered,0.5;-0.3,4,7,4,0,0,14,10,14,14,10,0,edgeCount
176,50,100,4,4,,clustered,0.5;-0.3,23,3,3,20,0,3,0,3,3,0,0,edgeCount
175,50,100,4,4,,clustered,0.5;-0.3,5,12,4,1,0,8,4,8,8,4,0,edgeCount
174,50,100,4,4,,clustered,0.5;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
173,50,100,4,4,,clustered,0.5;-0.3,5,8,5,0,0,17,12,17,17,12,0,edgeCount
172,50,100,4,4,,clustered,0.5;-0.3,14,47,6,8,0,28,22,28,28,22,0,edgeCount
171,50,100,4,4,,clustered,0.5;-0.3,16,66,3,13,0,24,21,24,24,21,0,edgeCount
170,50,100,4,4,,clustered,0.5;-0.3,26,22,4,22,0,4,0,4,4,0,0,edgeCount
169,50,100,4,4,,clustered,0.5;-0.3,39,33,3,36,0,3,0,3,3,0,0,edgeCount
168,50,100,4,4,,clustered,0.5;-0.3,10,14,5,5,0,16,11,16,16,11,0,edgeCount
167,50,100,4,4,,clustered,0.5;-0.3,14,4,4,10,0,6,2,6,6,2,0,edgeCount
