rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,50,100,4,4,,clustered,0.6;-0.3,23,27,5,18,0,7,2,7,7,2,0,edgeCount
199,50,100,4,4,,clustered,0.6;-0.3,32,15,3,29,0,3,0,7,13,4,0,edgeCount
198,50,100,4,4,,clustered,0.6;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
197,50,100,4,4,,clustered,0.6;-0.3,27,23,5,22,0,-1,-6,-1,-1,-6,0,edgeCount
196,50,100,4,4,,clustered,0.6;-0.3,23,7,5,18,0,9,4,9,9,4,0,edgeCount
195,50,100,4,4,,clustered,0.6;-0.3,11,17,5,6,0,19,14,19,19,14,0,edgeCount
194,50,100,4,4,,clustered,0.6;-0.3,40,4,4,36,0,6,2,6,6,2,0,edgeCount
193,50,100,4,4,,clustered,0.6;-0.3,23,43,5,18,0,-1,-6,-1,-1,-6,0,edgeCount
192,50,100,4,4,,clustered,0.6;-0.3,22,3,3,19,0,3,0,3,3,0,0,edgeCount
191,50,100,4,4,,clustered,0.6;-0.3,5,5,3,2,0,3,0,7,7,4,0,edgeCount
190,50,100,4,4,,clustered,0.6;-0.3,6,7,2,4,0,2,0,2,2,0,0,edgeCount
189,50,100,4,4,,clustered,0.6;-0.3,4,11,4,0,0,10,6,10,10,6,0,edgeCount
188,50,100,4,4,,clustered,0.6;-0.3,4,3,3,1,0,5,2,3,5,0,0,edgeCount
187,50,100,4,4,,clustered,0.6;-0.3,23,3,3,20,0,3,0,3,3,0,0,edgeCount
186,50,100,4,4,,clustered,0.6;-0.3,20,14,4,16,0,8,4,8,8,4,0,edgeCount
185,50,100,4,4,,clustered,0.6;-0.3,17,24,6,11,0,29,23,29,29,23,0,edgeCount
184,50,100,4,4,,clustered,0.6;-0.3,4,15,4,0,0,6,2,6,6,2,0,edgeCount
183,50,100,4,4,,clustered,0.6;-0.3,45,13,3,42,0,5,2,5,5,2,0,edgeCount
182,50,100,4,4,,clustered,0.6;-0.3,19,9,3,16,0,3,0,3,3,0,0,edgeCount
181,50,100,4,4,,clustered,0.6;-0.3,20,24,4,16,0,6,2,6,6,2,0,edgeCount
180,50,100,4,4,,clustered,0.6;-0.3,10,5,5,5,0,20,15,20,20,15,0,edgeCount
179,50,100,4,4,,clustered,0.6;-0.3,12,18,5,7,0,26,21,26,26,21,0,edgeCount
178,50,100,4,4,,clustered,0.6;-0.3,7,4,4,3,0,4,0,4,4,0,0,edgeCount
177,50,100,4,4,,clustered,0.6;-0.3,11,11,5,6,0,7,2,13,13,8,0,edgeCount
176,50,100,4,4,,clustered,0.6;-0.3,20,4,4,16,0,4,0,8,8,4,0,edgeCount
175,50,100,4,4,,clustered,0.6;-0.3,11,11,5,6,0,11,6,11,11,6,0,edgeCount
174,50,100,4,4,,clustered,0.6;-0.3,4,10,4,0,0,8,4,8,8,4,0,edgeCount
173,50,100,4,4,,clustered,0.6;-0.3,4,6,4,0,0,14,10,14,14,10,0,edgeCount
172,50,100,4,4,,clustered,0.6;-0.3,5,11,4,1,0,4,0,4,4,0,0,edgeCount
171,50,100,4,4,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
170,50,100,4,4,,clustered,0.6;-0.3,6,19,5,1,0,22,17,22,22,17,0,edgeCount
169,50,100,4,4,,clustered,0.6;-0.3,10,34,4,6,0,14,10,12,14,8,0,edgeCount
168,50,100,4,4,,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
167,50,100,4,4,,clustered,0.6;-0.3,12,18,4,8,0,8,4,8,8,4,0,edgeCount
166,50,100,4,4,,clustered,0.6;-0.3,11,11,5,6,0,11,6,11,11,6,0,edgeCount
165,50,100,4,4,,clustered,0.6;-0.3,19,5,3,16,0,8,5,8,8,5,0,edgeCount
164,50,100,4,4,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
163,50,100,4,4,,clustered,0.6;-0.3,11,26,2,9,0,2,0,2,2,0,0,edgeCount
162,50,100,4,4,,clustered,0.6;-0.3,25,5,5,20,0,27,22,27,27,22,0,edgeCount
161,50,100,4,4,,clustered,0.6;-0.3,4,4,4,0,0,6,2,6,6,2,0,edgeCount
160,50,100,4,4,,clustered,0.6;-0.3,14,4,2,12,0,2,0,2,2,0,0,edgeCount
159,50,100,4,4,,clustered,0.6;-0.3,4,3,3,1,0,3,0,3,3,0,0,edgeCount
158,50,100,4,4,,clustered,0.6;-0.3,4,3,3,1,0,3,0,3,3,0,0,edgeCount
157,50,100,4,4,,clustered,0.6;-0.3,12,13,4,8,0,8,4,8,8,4,0,edgeCount
156,50,100,4,4,,clustered,0.6;-0.3,10,2,2,8,0,2,0,2,2,0,0,edgeCount
155,50,100,4,4,,clustered,0.6;-0.3,11,6,5,6,0,17,12,17,17,12,0,edgeCount
154,50,100,4,4,,clustered,0.6;-0.3,20,40,2,18,0,2,0,2,2,0,0,edgeCount
153,50,100,4,4,,clustered,0.6;-0.3,22,38,4,18,0,6,2,6,6,2,0,edgeCount
152,50,100,4,4,,clustered,0.6;-0.3,30,4,4,26,0,10,6,4,4,0,0,edgeCount
151,50,100,4,4,,clustered,0.6;-0.3,8,7,4,4,0,16,12,16,16,12,0,edgeCount
150,50,100,4,4,,clustered,0.6;-0.3,5,6,5,0,0,25,20,17,17,12,0,edgeCount
149,50,100,4,4,,clustered,0.6;-0.3,35,19,6,29,0,-1,-7,-1,-1,-7,0,edgeCount
148,50,100,4,4,,clustered,0.6;-0.3,11,9,4,7,0,15,11,15,15,11,0,edgeCount
147,50,100,4,4,,clustered,0.6;-0.3,5,5,5,0,0,7,2,7,7,2,0,edgeCount
