rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
199,100,100,2,2,,clustered,0.8;-0.3,22,22,22,0,0,22,0,22,22,0,0,edgeCount
198,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
197,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
196,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
195,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
194,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
193,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
192,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
191,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
190,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
189,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
188,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
187,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
186,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
185,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
184,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
183,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
182,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
181,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
180,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
179,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
178,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
177,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
176,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
175,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
174,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
173,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
172,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
171,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
170,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
169,100,100,2,2,,clustered,0.8;-0.3,110,110,84,26,0,110,26,110,110,26,0,edgeCount
168,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
167,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
166,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
165,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
164,100,100,2,2,,clustered,0.8;-0.3,26,26,26,0,0,26,0,26,26,0,0,edgeCount
163,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
162,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
161,100,100,2,2,,clustered,0.8;-0.3,88,88,72,16,0,88,16,88,88,16,0,edgeCount
160,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
159,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
158,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
157,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
156,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
155,100,100,2,2,,clustered,0.8;-0.3,26,26,26,0,0,26,0,26,26,0,0,edgeCount
154,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
153,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
152,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
151,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
150,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
149,100,100,2,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
