rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,100,2,2,,clustered,0.7;-0.3,39,39,39,0,0,39,0,39,39,0,0,edgeCount
199,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
198,100,100,2,2,,clustered,0.7;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
197,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
196,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
195,100,100,2,2,,clustered,0.7;-0.3,73,73,61,12,0,73,12,73,73,12,0,edgeCount
194,100,100,2,2,,clustered,0.7;-0.3,111,111,67,44,0,111,44,111,111,44,0,edgeCount
193,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
192,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
191,100,100,2,2,,clustered,0.7;-0.3,84,84,70,14,0,84,14,84,84,14,0,edgeCount
190,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
189,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
188,100,100,2,2,,clustered,0.7;-0.3,108,108,80,28,0,108,28,108,108,28,0,edgeCount
187,100,100,2,2,,clustered,0.7;-0.3,107,107,89,18,0,107,18,107,107,18,0,edgeCount
186,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
185,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
184,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
183,100,100,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
