rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
199,100,100,2,2,,clustered,0.6;-0.3,14,14,14,0,0,14,0,14,14,0,0,edgeCount
198,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
197,100,100,2,2,,clustered,0.6;-0.3,94,94,52,42,0,94,42,94,94,42,0,edgeCount
196,100,100,2,2,,clustered,0.6;-0.3,84,84,38,46,0,84,46,84,84,46,0,edgeCount
195,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
194,100,100,2,2,,clustered,0.6;-0.3,101,101,63,38,0,101,38,101,101,38,0,edgeCount
193,100,100,2,2,,clustered,0.6;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
192,100,100,2,2,,clustered,0.6;-0.3,79,79,55,24,0,79,24,79,79,24,0,edgeCount
191,100,100,2,2,,clustered,0.6;-0.3,117,117,47,70,0,117,70,117,117,70,0,edgeCount
190,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
189,100,100,2,2,,clustered,0.6;-0.3,101,101,95,6,0,101,6,101,101,6,0,edgeCount
188,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
187,100,100,2,2,,clustered,0.6;-0.3,63,63,53,10,0,63,10,63,63,10,0,edgeCount
186,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
185,100,100,2,2,,clustered,0.6;-0.3,19,19,19,0,0,19,0,19,19,0,0,edgeCount
184,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
183,100,100,2,2,,clustered,0.6;-0.3,29,29,11,18,0,29,18,29,29,18,0,edgeCount
182,100,100,2,2,,clustered,0.6;-0.3,108,108,66,42,0,108,42,108,108,42,0,edgeCount
181,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
180,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
179,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
178,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
177,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
176,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
175,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
174,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
173,100,100,2,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
