rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,2,0,7,2,5,0,edgeCount
199,25,100,8,8,,clustered,0.3;-0.3,7,2,2,5,0,2,0,2,2,0,0,edgeCount
198,25,100,8,8,,clustered,0.3;-0.3,3,2,2,1,0,4,2,4,4,2,0,edgeCount
197,25,100,8,8,,clustered,0.3;-0.3,8,2,2,6,0,2,0,2,2,0,0,edgeCount
196,25,100,8,8,,clustered,0.3;-0.3,3,3,2,1,0,4,2,5,4,3,0,edgeCount
195,25,100,8,8,,clustered,0.3;-0.3,12,2,2,10,0,2,0,3,2,1,0,edgeCount
194,25,100,8,8,,clustered,0.3;-0.3,3,5,2,1,0,2,0,3,2,1,0,edgeCount
193,25,100,8,8,,clustered,0.3;-0.3,7,3,2,5,0,2,0,2,2,0,0,edgeCount
192,25,100,8,8,,clustered,0.3;-0.3,3,6,2,1,0,2,0,3,2,1,0,edgeCount
191,25,100,8,8,,clustered,0.3;-0.3,3,9,2,1,0,2,0,2,2,0,0,edgeCount
190,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,4,2,4,4,2,0,edgeCount
189,25,100,8,8,,clustered,0.3;-0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
188,25,100,8,8,,clustered,0.3;-0.3,8,6,2,6,0,2,0,6,2,4,0,edgeCount
187,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,2,0,11,2,9,0,edgeCount
186,25,100,8,8,,clustered,0.3;-0.3,3,2,2,1,0,2,0,2,2,0,0,edgeCount
185,25,100,8,8,,clustered,0.3;-0.3,3,5,3,0,0,5,2,3,5,0,0,edgeCount
184,25,100,8,8,,clustered,0.3;-0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
183,25,100,8,8,,clustered,0.3;-0.3,3,5,2,1,0,2,0,3,2,1,0,edgeCount
182,25,100,8,8,,clustered,0.3;-0.3,12,2,2,10,0,2,0,3,2,1,0,edgeCount
181,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,2,0,6,2,4,0,edgeCount
180,25,100,8,8,,clustered,0.3;-0.3,7,3,2,5,0,2,0,3,2,1,0,edgeCount
179,25,100,8,8,,clustered,0.3;-0.3,3,5,2,1,0,2,0,7,2,5,0,edgeCount
178,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,2,0,3,2,1,0,edgeCount
177,25,100,8,8,,clustered,0.3;-0.3,6,2,2,4,0,2,0,3,2,1,0,edgeCount
176,25,100,8,8,,clustered,0.3;-0.3,3,2,2,1,0,2,0,2,2,0,0,edgeCount
175,25,100,8,8,,clustered,0.3;-0.3,7,2,2,5,0,2,0,2,2,0,0,edgeCount
174,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,2,0,10,2,8,0,edgeCount
173,25,100,8,8,,clustered,0.3;-0.3,7,2,2,5,0,2,0,3,2,1,0,edgeCount
172,25,100,8,8,,clustered,0.3;-0.3,6,2,2,4,0,4,2,3,4,1,0,edgeCount
171,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,2,0,3,2,1,0,edgeCount
170,25,100,8,8,,clustered,0.3;-0.3,3,7,3,0,0,7,4,7,7,4,0,edgeCount
169,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,2,0,6,2,4,0,edgeCount
168,25,100,8,8,,clustered,0.3;-0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
167,25,100,8,8,,clustered,0.3;-0.3,3,2,2,1,0,2,0,2,2,0,0,edgeCount
166,25,100,8,8,,clustered,0.3;-0.3,3,6,3,0,0,3,0,3,3,0,0,edgeCount
165,25,100,8,8,,clustered,0.3;-0.3,3,4,2,1,0,4,2,7,4,5,0,edgeCount
164,25,100,8,8,,clustered,0.3;-0.3,3,2,2,1,0,2,0,2,2,0,0,edgeCount
163,25,100,8,8,,clustered,0.3;-0.3,3,2,2,1,0,2,0,6,2,4,0,edgeCount
162,25,100,8,8,,clustered,0.3;-0.3,10,3,2,8,0,4,2,5,4,3,0,edgeCount
161,25,100,8,8,,clustered,0.3;-0.3,3,4,3,0,0,9,6,7,9,4,0,edgeCount
160,25,100,8,8,,clustered,0.3;-0.3,3,6,2,1,0,2,0,7,2,5,0,edgeCount
159,25,100,8,8,,clustered,0.3;-0.3,3,2,2,1,0,2,0,3,2,1,0,edgeCount
158,25,100,8,8,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
