rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
200,25,100,8,8,,clustered,0.5;-0.3,5,18,3,2,0,11,8,11,11,8,0,edgeCount
199,25,100,8,8,,clustered,0.5;-0.3,6,3,3,3,0,7,4,5,7,2,0,edgeCount
198,25,100,8,8,,clustered,0.5;-0.3,7,8,3,4,0,3,0,11,11,8,0,edgeCount
197,25,100,8,8,,clustered,0.5;-0.3,7,2,2,5,0,2,0,10,2,8,0,edgeCount
196,25,100,8,8,,clustered,0.5;-0.3,7,12,3,4,0,5,2,3,5,0,0,edgeCount
195,25,100,8,8,,clustered,0.5;-0.3,12,2,2,10,0,2,0,10,2,8,0,edgeCount
194,25,100,8,8,,clustered,0.5;-0.3,23,5,3,20,0,7,4,7,7,4,0,edgeCount
193,25,100,8,8,,clustered,0.5;-0.3,6,2,2,4,0,6,4,14,6,12,0,edgeCount
192,25,100,8,8,,clustered,0.5;-0.3,3,3,2,1,0,4,2,5,4,3,0,edgeCount
191,25,100,8,8,,clustered,0.5;-0.3,23,2,2,21,0,2,0,6,2,4,0,edgeCount
190,25,100,8,8,,clustered,0.5;-0.3,23,14,2,21,0,2,0,3,2,1,0,edgeCount
189,25,100,8,8,,clustered,0.5;-0.3,15,9,3,12,0,3,0,3,3,0,0,edgeCount
188,25,100,8,8,,clustered,0.5;-0.3,15,7,2,13,0,2,0,2,2,0,0,edgeCount
187,25,100,8,8,,clustered,0.5;-0.3,3,5,3,0,0,5,2,3,5,0,0,edgeCount
186,25,100,8,8,,clustered,0.5;-0.3,3,3,2,1,0,4,2,3,4,1,0,edgeCount
185,25,100,8,8,,clustered,0.5;-0.3,3,4,3,0,0,25,22,9,9,6,0,edgeCount
184,25,100,8,8,,clustered,0.5;-0.3,3,2,2,1,0,2,0,2,2,0,0,edgeCount
183,25,100,8,8,,clustered,0.5;-0.3,16,4,2,14,0,4,2,3,4,1,0,edgeCount
182,25,100,8,8,,clustered,0.5;-0.3,18,2,2,16,0,2,0,4,2,2,0,edgeCount
181,25,100,8,8,,clustered,0.5;-0.3,10,2,2,8,0,4,2,18,4,16,0,edgeCount
180,25,100,8,8,,clustered,0.5;-0.3,5,6,3,2,0,17,14,19,19,16,0,edgeCount
179,25,100,8,8,,clustered,0.5;-0.3,18,6,3,15,0,9,6,13,13,10,0,edgeCount
178,25,100,8,8,,clustered,0.5;-0.3,22,8,4,18,0,22,18,22,22,18,0,edgeCount
177,25,100,8,8,,clustered,0.5;-0.3,12,2,2,10,0,4,2,15,4,13,0,edgeCount
176,25,100,8,8,,clustered,0.5;-0.3,7,4,2,5,0,2,0,2,2,0,0,edgeCount
175,25,100,8,8,,clustered,0.5;-0.3,5,6,2,3,0,2,0,13,2,11,0,edgeCount
174,25,100,8,8,,clustered,0.5;-0.3,2,2,2,0,0,6,4,10,6,8,0,edgeCount
173,25,100,8,8,,clustered,0.5;-0.3,19,14,2,17,0,2,0,10,2,8,0,edgeCount
172,25,100,8,8,,clustered,0.5;-0.3,10,3,2,8,0,2,0,3,2,1,0,edgeCount
171,25,100,8,8,,clustered,0.5;-0.3,3,2,2,1,0,5,3,3,5,1,0,edgeCount
170,25,100,8,8,,clustered,0.5;-0.3,14,10,2,12,0,4,2,14,4,12,0,edgeCount
169,25,100,8,8,,clustered,0.5;-0.3,21,3,2,19,0,2,0,3,2,1,0,edgeCount
168,25,100,8,8,,clustered,0.5;-0.3,8,4,3,5,0,13,10,17,17,14,0,edgeCount
167,25,100,8,8,,clustered,0.5;-0.3,5,4,2,3,0,2,0,2,2,0,0,edgeCount
166,25,100,8,8,,clustered,0.5;-0.3,3,3,3,0,0,15,12,7,7,4,0,edgeCount
165,25,100,8,8,,clustered,0.5;-0.3,21,5,2,19,0,2,0,7,2,5,0,edgeCount
164,25,100,8,8,,clustered,0.5;-0.3,7,2,2,5,0,4,2,11,4,9,0,edgeCount
163,25,100,8,8,,clustered,0.5;-0.3,3,7,2,1,0,6,4,3,6,1,0,edgeCount
162,25,100,8,8,,clustered,0.5;-0.3,27,12,2,25,0,2,0,10,2,8,0,edgeCount
161,25,100,8,8,,clustered,0.5;-0.3,11,29,2,9,0,2,0,10,2,8,0,edgeCount
160,25,100,8,8,,clustered,0.5;-0.3,7,2,2,5,0,2,0,2,2,0,0,edgeCount
159,25,100,8,8,,clustered,0.5;-0.3,3,19,3,0,0,15,12,5,11,2,0,edgeCount
158,25,100,8,8,,clustered,0.5;-0.3,2,2,2,0,0,4,2,4,4,2,0,edgeCount
157,25,100,8,8,,clustered,0.5;-0.3,3,9,2,1,0,2,0,10,2,8,0,edgeCount
156,25,100,8,8,,clustered,0.5;-0.3,13,2,2,11,0,2,0,3,2,1,0,edgeCount
155,25,100,8,8,,clustered,0.5;-0.3,18,6,2,16,0,2,0,6,2,4,0,edgeCount
154,25,100,8,8,,clustered,0.5;-0.3,2,2,2,0,0,4,2,4,4,2,0,edgeCount
153,25,100,8,8,,clustered,0.5;-0.3,3,2,2,1,0,2,0,2,2,0,0,edgeCount
152,25,100,8,8,,clustered,0.5;-0.3,11,2,2,9,0,2,0,15,2,13,0,edgeCount
151,25,100,8,8,,clustered,0.5;-0.3,12,8,2,10,0,2,0,6,2,4,0,edgeCount
150,25,100,8,8,,clustered,0.5;-0.3,18,23,2,16,0,2,0,7,2,5,0,edgeCount
149,25,100,8,8,,clustered,0.5;-0.3,7,6,2,5,0,2,0,3,2,1,0,edgeCount
148,25,100,8,8,,clustered,0.5;-0.3,3,6,2,1,0,2,0,4,2,2,0,edgeCount
147,25,100,8,8,,clustered,0.5;-0.3,3,14,2,1,0,6,4,14,6,12,0,edgeCount
146,25,100,8,8,,clustered,0.5;-0.3,12,22,2,10,0,2,0,10,2,8,0,edgeCount
145,25,100,8,8,,clustered,0.5;-0.3,3,9,2,1,0,2,0,3,2,1,0,edgeCount
144,25,100,8,8,,clustered,0.5;-0.3,13,13,3,10,0,7,4,5,7,2,0,edgeCount
143,25,100,8,8,,clustered,0.5;-0.3,3,8,2,1,0,4,2,5,4,3,0,edgeCount
142,25,100,8,8,,clustered,0.5;-0.3,12,14,2,10,0,2,0,4,2,2,0,edgeCount
141,25,100,8,8,,clustered,0.5;-0.3,19,4,3,16,0,5,2,3,3,0,0,edgeCount
140,25,100,8,8,,clustered,0.5;-0.3,3,3,2,1,0,4,2,5,4,3,0,edgeCount
139,25,100,8,8,,clustered,0.5;-0.3,3,16,2,1,0,2,0,6,2,4,0,edgeCount
138,25,100,8,8,,clustered,0.5;-0.3,21,7,2,19,0,4,2,16,4,14,0,edgeCount
137,25,100,8,8,,clustered,0.5;-0.3,7,5,2,5,0,4,2,15,4,13,0,edgeCount
136,25,100,8,8,,clustered,0.5;-0.3,3,9,3,0,0,5,2,3,5,0,0,edgeCount
135,25,100,8,8,,clustered,0.5;-0.3,10,4,3,7,0,9,6,3,9,0,0,edgeCount
134,25,100,8,8,,clustered,0.5;-0.3,3,4,2,1,0,2,0,5,2,3,0,edgeCount
