rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
426,100,254,0.05,3,2,adversarial,0.68,5,5,5,0,0,22,5,5,0
425,100,218,0.05,4,3,adversarial,0.39,3,3,3,0,8,3,3,3,4
424,100,249,0.05,5,4,adversarial,0.5,3,3,3,0,12,3,3,3,4
423,100,245,0.05,7,6,adversarial,0.72,2,2,2,0,0,2,2,2,0
422,100,255,0.05,5,4,adversarial,0.42,2,2,2,0,16,2,2,2,8
421,100,260,0.05,4,3,adversarial,0.61,3,3,3,0,8,3,3,3,4
420,100,221,0.05,2,1,adversarial,0.35,4,4,4,0,0,4,4,4,0
419,100,277,0.05,5,4,adversarial,0.67,2,2,3,-1,0,5,2,2,0
418,100,241,0.05,3,2,adversarial,0.38,3,10,3,0,18,3,3,3,10
417,100,226,0.05,3,2,adversarial,0.45,4,7,4,0,4,4,4,4,2
416,100,227,0.05,6,5,adversarial,0.61,2,2,4,-2,0,6,2,2,0
415,100,279,0.05,2,1,adversarial,0.42,3,3,3,0,0,3,3,3,0
414,100,250,0.05,5,4,adversarial,0.42,4,6,4,0,0,10,4,4,0
413,100,263,0.05,4,3,adversarial,0.49,2,2,4,-2,8,6,2,2,4
412,100,246,0.05,3,2,adversarial,0.47,5,5,5,0,8,5,5,5,4
411,100,236,0.05,5,4,adversarial,0.33,2,2,3,-1,0,5,2,2,0
410,100,251,0.05,2,1,adversarial,0.72,3,5,3,0,0,3,3,3,0
409,100,235,0.05,3,2,adversarial,0.68,3,7,3,0,20,3,3,3,12
408,100,266,0.05,5,4,adversarial,0.56,3,3,3,0,2,11,3,3,2
407,100,239,0.05,5,4,adversarial,0.52,3,3,4,-1,0,8,3,3,0
406,100,238,0.05,1,0,adversarial,0.88,5,5,5,0,0,5,5,5,0
405,100,237,0.05,3,2,adversarial,0.9,4,12,4,0,0,11,4,4,0
404,100,231,0.05,5,4,adversarial,0.8,2,2,4,-2,0,6,2,2,0
403,100,262,0.05,10,9,adversarial,0.76,2,2,2,0,0,2,2,2,0
402,100,246,0.05,1,0,adversarial,0.37,2,2,2,0,0,2,2,2,0
401,100,250,0.05,3,2,adversarial,0.54,4,4,4,0,6,4,4,4,2
400,100,263,0.05,4,3,adversarial,0.72,2,2,2,0,0,2,2,2,0
399,100,249,0.05,3,2,adversarial,0.84,4,4,4,0,0,4,4,4,0
398,100,264,0.05,3,2,adversarial,0.6,3,3,2,1,0,2,2,2,0
397,100,262,0.05,4,3,adversarial,0.36,3,3,3,0,0,3,3,3,0
396,100,263,0.05,5,4,adversarial,0.86,3,3,5,-2,0,23,3,3,0
395,100,251,0.05,3,2,adversarial,0.87,3,8,4,-1,0,14,3,3,0
394,100,293,0.05,6,5,adversarial,0.31,3,5,3,0,4,3,3,6,2
393,100,242,0.05,3,2,adversarial,0.53,3,4,3,0,0,3,3,3,0
392,100,240,0.05,5,4,adversarial,0.5,2,2,2,0,12,2,2,2,6
391,100,273,0.05,3,2,adversarial,0.33,2,2,2,0,0,2,2,2,0
390,100,260,0.05,1,0,adversarial,0.66,4,6,4,0,10,4,4,6,10
389,100,255,0.05,3,2,adversarial,0.48,4,7,4,0,16,4,4,7,10
388,100,258,0.05,2,1,adversarial,0.64,3,8,3,0,4,3,3,3,2
387,100,244,0.05,2,1,adversarial,0.44,4,4,4,0,0,4,4,4,0
386,100,253,0.05,6,5,adversarial,0.46,3,3,3,0,0,7,3,3,0
385,100,265,0.05,4,3,adversarial,0.61,3,3,3,0,0,3,3,3,0
384,100,243,0.05,4,3,adversarial,0.55,3,3,4,-1,4,8,3,3,2
383,100,231,0.05,2,1,adversarial,0.52,5,5,5,0,4,5,5,5,2
382,100,247,0.05,4,3,adversarial,0.58,3,3,3,0,16,3,3,3,6
381,100,255,0.05,4,3,adversarial,0.53,4,9,4,0,0,16,4,4,0
380,100,252,0.05,4,3,adversarial,0.69,2,2,4,-2,18,10,2,2,8
379,100,244,0.05,3,2,adversarial,0.64,4,4,5,-1,0,11,4,4,0
378,100,241,0.05,6,5,adversarial,0.55,3,3,3,0,4,3,3,3,2
377,100,261,0.05,3,2,adversarial,0.4,2,2,2,0,8,2,2,2,4
376,100,253,0.05,2,1,adversarial,0.62,3,7,4,-1,30,8,3,3,16
375,100,251,0.05,3,2,adversarial,0.83,2,2,4,-2,0,10,2,2,0
374,100,261,0.05,3,2,adversarial,0.79,4,4,4,0,0,4,4,4,0
373,100,254,0.05,4,3,adversarial,0.35,3,7,3,0,0,3,3,3,0
372,100,270,0.05,2,1,adversarial,0.43,3,6,3,0,26,5,2,2,14
371,100,242,0.05,2,1,adversarial,0.4,4,4,4,0,6,4,4,4,4
370,100,229,0.05,3,2,adversarial,0.87,4,4,4,0,0,10,4,4,0
369,100,235,0.05,3,2,adversarial,0.68,2,2,4,-2,16,6,2,2,8
368,100,246,0.05,5,4,adversarial,0.9,3,3,4,-1,6,14,3,3,4
367,100,239,0.05,4,3,adversarial,0.62,2,2,4,-2,0,6,2,2,0
366,100,278,0.05,5,4,adversarial,0.42,3,3,3,0,10,3,3,3,4
365,100,252,0.05,4,3,adversarial,0.35,2,2,2,0,0,2,2,2,0
364,100,283,0.05,4,3,adversarial,0.54,4,7,4,0,4,4,4,4,2
363,100,250,0.05,1,0,adversarial,0.39,4,4,4,0,0,4,4,4,0
362,100,235,0.05,5,4,adversarial,0.8,3,3,5,-2,0,21,3,3,0
361,100,264,0.05,3,2,adversarial,0.89,4,6,4,0,30,4,4,6,10
360,100,282,0.05,5,4,adversarial,0.65,3,3,4,-1,0,18,3,3,0
359,100,241,0.05,4,3,adversarial,0.87,2,2,4,-2,0,18,2,2,0
358,100,234,0.05,1,0,adversarial,0.57,5,8,5,0,6,5,5,8,6
357,100,255,0.05,1,0,adversarial,0.67,3,3,3,0,0,3,3,3,0
356,100,239,0.05,4,3,adversarial,0.84,3,3,4,-1,4,8,3,3,2
355,100,236,0.05,2,1,adversarial,0.7,3,4,4,-1,0,9,3,3,0
354,100,235,0.05,4,3,adversarial,0.54,4,4,4,0,0,4,4,4,0
353,100,248,0.05,2,1,adversarial,0.58,3,3,5,-2,0,9,3,3,0
352,100,246,0.05,2,1,adversarial,0.47,3,3,3,0,12,3,3,3,6
351,100,229,0.05,2,1,adversarial,0.31,4,6,4,0,0,4,4,4,0
350,100,243,0.05,3,2,adversarial,0.72,3,3,3,0,0,3,3,3,0
349,100,283,0.05,2,1,adversarial,0.38,3,3,3,0,0,3,3,3,0
348,100,249,0.05,1,0,adversarial,0.88,4,4,7,-3,8,6,4,4,8
347,100,234,0.05,4,3,adversarial,0.57,4,4,4,0,0,16,4,4,0
346,100,247,0.05,2,1,adversarial,0.81,3,5,5,-2,16,10,3,3,8
345,100,236,0.05,6,5,adversarial,0.79,2,2,3,-1,0,5,2,2,0
344,100,248,0.05,5,4,adversarial,0.56,4,4,4,0,0,4,4,4,0
343,100,238,0.05,4,3,adversarial,0.83,4,4,4,0,0,10,4,4,0
342,100,227,0.05,3,2,adversarial,0.5,4,5,4,0,0,4,4,4,0
341,100,236,0.05,6,5,adversarial,0.78,3,3,3,0,0,11,3,3,0
340,100,270,0.05,3,2,adversarial,0.69,4,4,4,0,0,4,4,4,0
339,100,247,0.05,5,4,adversarial,0.52,3,3,3,0,0,3,3,3,0
338,100,262,0.05,4,3,adversarial,0.71,3,3,4,-1,0,14,3,3,0
337,100,260,0.05,5,4,adversarial,0.88,3,3,4,-1,10,16,3,3,4
336,100,242,0.05,2,1,adversarial,0.81,3,4,3,0,0,9,3,3,0
335,100,256,0.05,1,0,adversarial,0.52,5,5,5,0,8,5,5,5,8
334,100,255,0.05,5,4,adversarial,0.73,4,4,4,0,6,4,4,4,2
333,100,245,0.05,4,3,adversarial,0.3,3,3,3,0,0,3,3,3,0
332,100,247,0.05,2,1,adversarial,0.61,4,4,4,0,0,12,4,4,0
331,100,243,0.05,6,5,adversarial,0.34,2,2,3,-1,6,6,2,2,2
330,100,231,0.05,4,3,adversarial,0.47,2,2,4,-2,0,6,2,2,0
329,100,254,0.05,4,3,adversarial,0.67,3,3,3,0,0,5,2,2,0
328,100,245,0.05,2,1,adversarial,0.54,2,2,4,-2,0,6,2,2,0
327,100,243,0.05,7,6,adversarial,0.72,2,2,2,0,0,2,2,2,0
326,100,272,0.05,2,1,adversarial,0.68,3,3,4,-1,24,10,3,3,12
325,100,244,0.05,8,7,adversarial,0.76,2,2,3,-1,0,12,2,2,0
324,100,238,0.05,2,1,adversarial,0.3,3,3,3,0,0,3,3,3,0
323,100,256,0.05,5,4,adversarial,0.73,2,2,2,0,6,2,2,2,2
322,100,243,0.05,4,3,adversarial,0.86,2,2,2,0,0,2,2,2,0
321,100,255,0.05,6,5,adversarial,0.37,3,3,3,0,0,3,3,3,0
320,100,242,0.05,6,5,adversarial,0.53,4,4,4,0,0,10,4,4,0
319,100,233,0.05,7,6,adversarial,0.85,3,4,4,-1,0,25,3,3,0
318,100,258,0.05,5,4,adversarial,0.41,3,3,2,1,0,2,2,2,0
317,100,271,0.05,5,4,adversarial,0.48,2,2,2,0,8,2,2,2,4
316,100,230,0.05,8,7,adversarial,0.87,3,5,3,0,0,7,3,3,0
315,100,229,0.05,1,0,adversarial,0.63,4,4,4,0,0,4,4,4,0
314,100,273,0.05,3,2,adversarial,0.31,3,6,3,0,0,3,3,3,0
313,100,277,0.05,3,2,adversarial,0.66,3,5,3,0,0,3,3,3,0
312,100,231,0.05,2,1,adversarial,0.54,4,9,4,0,12,4,4,4,6
311,100,229,0.05,1,0,adversarial,0.59,4,5,4,0,8,4,4,5,8
310,100,219,0.05,4,3,adversarial,0.49,3,3,3,0,0,3,3,3,0
309,100,265,0.05,2,1,adversarial,0.44,3,4,2,1,20,2,2,2,10
308,100,237,0.05,4,3,adversarial,0.48,4,9,4,0,0,4,4,4,0
