rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,25,46,0.15,3,,clustered,0.5;-0.3,5,5,3,2,0,3,0,3,3,0,0,edgeCount
999,25,40,0.15,4,,clustered,0.5;-0.3,16,2,2,14,4,2,0,6,2,4,2,edgeCount
998,25,52,0.15,3,,clustered,0.5;-0.3,4,7,4,0,2,10,6,4,12,0,2,edgeCount
997,25,53,0.15,4,,clustered,0.5;-0.3,11,10,4,7,0,17,13,17,17,13,0,edgeCount
996,25,37,0.15,3,,clustered,0.5;-0.3,28,6,6,22,2,-1,-7,21,21,15,2,edgeCount
995,25,37,0.15,1,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
994,25,41,0.15,2,,clustered,0.5;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
993,25,49,0.15,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
992,25,44,0.15,2,,clustered,0.5;-0.3,13,3,3,10,8,3,0,3,3,0,6,edgeCount
991,25,39,0.15,2,,clustered,0.5;-0.3,7,12,5,2,6,11,6,11,11,6,4,edgeCount
990,25,36,0.15,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
989,25,37,0.15,2,,clustered,0.5;-0.3,11,11,5,6,0,11,6,11,11,6,0,edgeCount
988,25,44,0.15,1,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
987,25,41,0.15,2,,clustered,0.5;-0.3,4,16,4,0,2,8,4,8,10,4,2,edgeCount
986,25,46,0.15,2,,clustered,0.5;-0.3,3,3,3,0,0,5,2,5,5,2,0,edgeCount
985,25,46,0.15,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
984,25,42,0.15,2,,clustered,0.5;-0.3,3,9,3,0,0,3,0,3,3,0,0,edgeCount
983,25,45,0.15,2,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
982,25,48,0.15,2,,clustered,0.5;-0.3,6,6,5,1,8,7,2,7,7,2,6,edgeCount
981,25,48,0.15,3,,clustered,0.5;-0.3,11,3,3,8,0,3,0,3,3,0,0,edgeCount
980,25,33,0.15,1,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
979,25,40,0.15,3,,clustered,0.5;-0.3,-1,-1,5,-6,4,-1,-6,19,13,14,4,edgeCount
978,25,46,0.15,3,,clustered,0.5;-0.3,7,15,3,4,8,7,4,7,21,4,6,edgeCount
977,25,39,0.15,1,,clustered,0.5;-0.3,7,7,5,2,6,-1,-6,7,7,2,6,edgeCount
976,25,58,0.15,5,,clustered,0.5;-0.3,7,6,2,5,0,2,0,3,2,1,0,edgeCount
975,25,52,0.15,3,,clustered,0.5;-0.3,3,3,3,0,4,3,0,3,6,0,2,edgeCount
974,25,50,0.15,6,,clustered,0.5;-0.3,15,19,2,13,0,2,0,4,2,2,0,edgeCount
973,25,40,0.15,1,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
972,25,41,0.15,1,,clustered,0.5;-0.3,4,12,4,0,2,4,0,4,12,0,2,edgeCount
971,25,47,0.15,3,,clustered,0.5;-0.3,4,6,4,0,4,12,8,12,5,8,2,edgeCount
970,25,40,0.15,3,,clustered,0.5;-0.3,3,5,3,0,4,7,4,7,7,4,2,edgeCount
969,25,43,0.15,1,,clustered,0.5;-0.3,2,2,2,0,2,2,0,2,2,0,2,edgeCount
968,25,40,0.15,3,,clustered,0.5;-0.3,4,5,4,0,0,12,8,12,12,8,0,edgeCount
967,25,59,0.15,3,,clustered,0.5;-0.3,3,6,2,1,10,2,0,6,2,4,4,edgeCount
966,25,37,0.15,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
965,25,45,0.15,4,,clustered,0.5;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
