rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
946,100,97,0.02,1,,clustered,0.5;-0.3,9,9,9,0,4,9,0,9,9,0,4,edgeCount
945,100,107,0.02,2,,clustered,0.5;-0.3,9,9,9,0,0,23,14,9,9,0,0,edgeCount
944,100,92,0.02,1,,clustered,0.5;-0.3,20,20,8,12,2,8,0,20,20,12,2,edgeCount
943,100,104,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
942,100,98,0.02,1,,clustered,0.5;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
941,100,85,0.02,1,,clustered,0.5;-0.3,7,7,7,0,2,-1,-8,7,7,0,2,edgeCount
940,100,96,0.02,3,,clustered,0.5;-0.3,3,3,3,0,0,7,4,3,3,0,0,edgeCount
939,100,103,0.02,1,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
938,100,77,0.02,1,,clustered,0.5;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
937,100,101,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
936,100,115,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
935,100,81,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
934,100,111,0.02,1,,clustered,0.5;-0.3,17,11,11,6,2,-1,-12,17,11,6,2,edgeCount
933,100,92,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
932,100,103,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
931,100,84,0.02,1,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
930,100,96,0.02,1,,clustered,0.5;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
929,100,92,0.02,1,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
928,100,95,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
927,100,100,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
926,100,104,0.02,2,,clustered,0.5;-0.3,16,2,2,14,4,2,0,2,2,0,4,edgeCount
925,100,93,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
924,100,115,0.02,2,,clustered,0.5;-0.3,20,8,8,12,10,-1,-9,35,19,27,8,edgeCount
923,100,106,0.02,1,,clustered,0.5;-0.3,8,8,4,4,6,-1,-5,8,8,4,6,edgeCount
922,100,99,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
921,100,108,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
920,100,110,0.02,2,,clustered,0.5;-0.3,6,6,4,2,0,6,2,6,6,2,0,edgeCount
