rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
1000,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
999,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
998,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
997,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
996,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
995,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
994,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
993,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
992,100,572,0.119,13,12,random,2,2,2,0,0,4,2,2,0
991,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
990,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
989,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
988,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
987,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
986,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
985,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
984,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
983,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
982,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
981,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
980,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
979,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
978,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
977,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
976,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
975,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
974,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
973,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
972,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
971,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
970,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
969,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
968,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
967,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
966,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
965,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
964,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
963,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
962,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
961,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
960,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
959,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
958,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
957,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
956,100,572,0.119,13,12,random,2,2,2,0,0,2,2,2,0
