rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,50,183,0.15,6,,clustered,0.5;-0.3,8,23,2,6,0,2,0,10,2,8,0,edgeCount
999,50,163,0.15,6,,clustered,0.5;-0.3,10,7,3,7,0,10,7,10,10,7,0,edgeCount
998,50,179,0.15,6,,clustered,0.5;-0.3,8,12,3,5,0,22,19,16,16,13,0,edgeCount
997,50,174,0.15,8,,clustered,0.5;-0.3,2,3,2,0,0,7,5,7,11,5,0,edgeCount
996,50,173,0.15,4,,clustered,0.5;-0.3,29,17,3,26,0,9,6,9,9,6,0,edgeCount
995,50,193,0.15,7,,clustered,0.5;-0.3,24,2,2,22,0,2,0,4,2,2,0,edgeCount
994,50,175,0.15,5,,clustered,0.5;-0.3,4,14,4,0,0,16,12,16,16,12,0,edgeCount
993,50,180,0.15,7,,clustered,0.5;-0.3,6,4,4,2,6,12,8,12,12,8,2,edgeCount
992,50,170,0.15,6,,clustered,0.5;-0.3,4,10,4,0,8,22,18,22,22,18,2,edgeCount
991,50,200,0.15,4,,clustered,0.5;-0.3,5,6,3,2,22,7,4,7,7,4,6,edgeCount
990,50,163,0.15,4,,clustered,0.5;-0.3,9,4,3,6,24,13,10,13,9,10,8,edgeCount
989,50,176,0.15,4,,clustered,0.5;-0.3,6,19,4,2,0,18,14,12,12,8,0,edgeCount
988,50,183,0.15,8,,clustered,0.5;-0.3,12,15,3,9,22,3,0,3,3,0,6,edgeCount
987,50,197,0.15,4,,clustered,0.5;-0.3,4,13,3,1,48,3,0,3,3,0,12,edgeCount
986,50,181,0.15,8,,clustered,0.5;-0.3,7,5,2,5,0,6,4,3,6,1,0,edgeCount
985,50,204,0.15,4,,clustered,0.5;-0.3,4,2,2,2,56,2,0,2,2,0,16,edgeCount
984,50,167,0.15,7,,clustered,0.5;-0.3,4,12,3,1,0,3,0,3,3,0,0,edgeCount
983,50,194,0.15,7,,clustered,0.5;-0.3,3,5,3,0,0,5,2,5,5,2,0,edgeCount
982,50,178,0.15,6,,clustered,0.5;-0.3,6,9,2,4,0,2,0,2,2,0,0,edgeCount
981,50,198,0.15,7,,clustered,0.5;-0.3,4,2,2,2,0,2,0,2,2,0,0,edgeCount
980,50,186,0.15,5,,clustered,0.5;-0.3,12,6,4,8,0,6,2,12,12,8,0,edgeCount
979,50,175,0.15,3,,clustered,0.5;-0.3,3,4,3,0,0,3,0,3,3,0,0,edgeCount
978,50,169,0.15,7,,clustered,0.5;-0.3,4,14,3,1,0,10,7,10,10,7,0,edgeCount
977,50,159,0.15,6,,clustered,0.5;-0.3,10,6,3,7,0,11,8,3,3,0,0,edgeCount
976,50,163,0.15,4,,clustered,0.5;-0.3,12,44,4,8,0,8,4,14,14,10,0,edgeCount
975,50,195,0.15,14,,clustered,0.5;-0.3,3,7,2,1,0,4,2,5,4,3,0,edgeCount
974,50,162,0.15,8,,clustered,0.5;-0.3,8,6,3,5,0,5,2,7,9,4,0,edgeCount
973,50,180,0.15,4,,clustered,0.5;-0.3,3,5,3,0,24,5,2,3,5,0,6,edgeCount
972,50,157,0.15,4,,clustered,0.5;-0.3,31,14,3,28,20,-1,-4,18,6,15,10,edgeCount
971,50,177,0.15,2,,clustered,0.5;-0.3,4,4,3,1,0,10,7,10,4,7,0,edgeCount
970,50,193,0.15,5,,clustered,0.5;-0.3,3,4,3,0,34,5,2,3,5,0,10,edgeCount
969,50,188,0.15,6,,clustered,0.5;-0.3,10,3,3,7,4,7,4,7,7,4,2,edgeCount
968,50,189,0.15,6,,clustered,0.5;-0.3,16,12,4,12,14,14,10,18,30,14,4,edgeCount
967,50,181,0.15,7,,clustered,0.5;-0.3,12,4,2,10,0,2,0,11,2,9,0,edgeCount
966,50,194,0.15,4,,clustered,0.5;-0.3,3,3,3,0,24,3,0,3,3,0,6,edgeCount
965,50,159,0.15,4,,clustered,0.5;-0.3,4,10,4,0,6,16,12,20,14,16,2,edgeCount
964,50,197,0.15,8,,clustered,0.5;-0.3,12,15,4,8,0,22,18,22,22,18,0,edgeCount
963,50,191,0.15,7,,clustered,0.5;-0.3,3,12,3,0,0,5,2,3,5,0,0,edgeCount
962,50,180,0.15,5,,clustered,0.5;-0.3,4,5,3,1,16,11,8,3,7,0,6,edgeCount
961,50,193,0.15,4,,clustered,0.5;-0.3,3,5,3,0,0,7,4,5,7,2,0,edgeCount
960,50,169,0.15,6,,clustered,0.5;-0.3,11,12,2,9,16,2,0,7,2,5,4,edgeCount
959,50,192,0.15,5,,clustered,0.5;-0.3,4,3,2,2,0,2,0,3,2,1,0,edgeCount
958,50,175,0.15,7,,clustered,0.5;-0.3,12,3,3,9,20,5,2,3,5,0,6,edgeCount
957,50,162,0.15,3,,clustered,0.5;-0.3,3,3,2,1,0,4,2,3,4,1,0,edgeCount
956,50,185,0.15,5,,clustered,0.5;-0.3,16,16,3,13,24,3,0,3,3,0,6,edgeCount
955,50,179,0.15,5,,clustered,0.5;-0.3,4,5,4,0,6,8,4,8,11,4,2,edgeCount
954,50,175,0.15,6,,clustered,0.5;-0.3,10,4,3,7,38,3,0,3,3,0,10,edgeCount
953,50,190,0.15,5,,clustered,0.5;-0.3,9,17,3,6,38,3,0,3,3,0,10,edgeCount
952,50,183,0.15,5,,clustered,0.5;-0.3,7,5,3,4,0,3,0,7,7,4,0,edgeCount
951,50,185,0.15,8,,clustered,0.5;-0.3,3,8,2,1,0,2,0,4,2,2,0,edgeCount
950,50,185,0.15,2,,clustered,0.5;-0.3,6,11,3,3,0,3,0,3,3,0,0,edgeCount
949,50,167,0.15,6,,clustered,0.5;-0.3,4,3,2,2,34,2,0,3,2,1,10,edgeCount
948,50,189,0.15,7,,clustered,0.5;-0.3,12,5,3,9,0,14,11,20,20,17,0,edgeCount
947,50,174,0.15,6,,clustered,0.5;-0.3,10,7,3,7,0,16,13,10,10,7,0,edgeCount
946,50,200,0.15,6,,clustered,0.5;-0.3,10,3,2,8,22,4,2,3,4,1,6,edgeCount
945,50,200,0.15,6,,clustered,0.5;-0.3,3,13,3,0,0,13,10,3,3,0,0,edgeCount
944,50,183,0.15,6,,clustered,0.5;-0.3,10,4,3,7,14,7,4,7,7,4,4,edgeCount
943,50,186,0.15,7,,clustered,0.5;-0.3,4,3,3,1,6,7,4,7,7,4,2,edgeCount
942,50,185,0.15,8,,clustered,0.5;-0.3,8,10,2,6,0,2,0,14,2,12,0,edgeCount
941,50,203,0.15,7,,clustered,0.5;-0.3,5,12,2,3,0,4,2,7,4,5,0,edgeCount
940,50,190,0.15,8,,clustered,0.5;-0.3,34,36,2,32,0,2,0,6,2,4,0,edgeCount
939,50,173,0.15,7,,clustered,0.5;-0.3,4,2,2,2,4,2,0,6,2,4,2,edgeCount
938,50,204,0.15,6,,clustered,0.5;-0.3,4,7,2,2,0,2,0,8,2,6,0,edgeCount
937,50,165,0.15,5,,clustered,0.5;-0.3,3,6,3,0,34,5,2,3,5,0,12,edgeCount
936,50,191,0.15,4,,clustered,0.5;-0.3,4,8,3,1,34,12,9,12,12,9,12,edgeCount
935,50,194,0.15,6,,clustered,0.5;-0.3,10,8,2,8,16,2,0,2,2,0,4,edgeCount
934,50,163,0.15,9,,clustered,0.5;-0.3,3,2,2,1,4,2,0,3,2,1,2,edgeCount
933,50,154,0.15,6,,clustered,0.5;-0.3,4,8,4,0,14,18,14,18,18,14,4,edgeCount
932,50,181,0.15,7,,clustered,0.5;-0.3,3,5,2,1,0,6,4,3,6,1,0,edgeCount
931,50,158,0.15,4,,clustered,0.5;-0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
930,50,179,0.15,5,,clustered,0.5;-0.3,4,13,3,1,18,5,2,5,5,2,6,edgeCount
929,50,201,0.15,7,,clustered,0.5;-0.3,4,2,2,2,16,2,0,7,2,5,4,edgeCount
928,50,192,0.15,4,,clustered,0.5;-0.3,3,9,3,0,0,3,0,3,3,0,0,edgeCount
927,50,186,0.15,4,,clustered,0.5;-0.3,15,19,2,13,64,4,2,4,4,2,18,edgeCount
926,50,182,0.15,1,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
925,50,179,0.15,5,,clustered,0.5;-0.3,4,7,3,1,4,3,0,3,3,0,2,edgeCount
924,50,176,0.15,7,,clustered,0.5;-0.3,14,2,2,12,0,6,4,7,6,5,0,edgeCount
923,50,185,0.15,4,,clustered,0.5;-0.3,9,4,3,6,0,5,2,3,5,0,0,edgeCount
922,50,203,0.15,8,,clustered,0.5;-0.3,9,2,2,7,40,2,0,9,2,7,10,edgeCount
921,50,196,0.15,6,,clustered,0.5;-0.3,7,6,3,4,20,3,0,3,3,0,6,edgeCount
920,50,191,0.15,7,,clustered,0.5;-0.3,3,3,3,0,10,7,4,7,3,4,2,edgeCount
919,50,189,0.15,6,,clustered,0.5;-0.3,16,8,3,13,0,7,4,7,7,4,0,edgeCount
918,50,188,0.15,3,,clustered,0.5;-0.3,5,9,4,1,6,8,4,8,14,4,2,edgeCount
917,50,172,0.15,5,,clustered,0.5;-0.3,3,7,3,0,0,9,6,7,9,4,0,edgeCount
