rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,40,108,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
999,40,136,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
998,40,110,0.15,3,2,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
997,40,106,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
996,40,126,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,12,8,-1,-1,-5,0,shortest
995,40,108,0.15,8,7,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
994,40,125,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
993,40,119,0.15,8,7,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
992,40,125,0.15,6,5,clustered,0.6;-0.3,-1,-1,2,-3,0,4,2,-1,-1,-3,0,shortest
991,40,116,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
990,40,119,0.15,8,7,clustered,0.6;-0.3,-1,-1,3,-4,0,11,8,-1,-1,-4,0,shortest
989,40,140,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
988,40,130,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
987,40,119,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
985,40,119,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
984,40,117,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
983,40,125,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
981,40,116,0.15,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
980,40,113,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
979,40,117,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
978,40,107,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,10,6,-1,-1,-5,0,shortest
977,40,110,0.15,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,8,4,-1,-1,-5,0,shortest
