rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
1000,100,262,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
999,100,232,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
998,100,249,0.05,5,4,random,-1,2,2,2,0,0,2,2,2,0
997,100,244,0.05,4,3,random,-1,4,7,4,0,0,4,4,4,0
996,100,248,0.05,6,5,random,-1,5,5,3,2,0,5,5,5,0
995,100,261,0.05,2,1,random,-1,3,6,3,0,0,3,3,3,0
994,100,237,0.05,6,5,random,-1,2,2,2,0,0,2,2,2,0
993,100,250,0.05,3,2,random,-1,3,3,3,0,20,3,3,3,8
992,100,274,0.05,5,4,random,-1,2,2,2,0,4,2,2,2,4
991,100,260,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
990,100,255,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
989,100,269,0.05,3,2,random,-1,3,3,3,0,0,3,3,3,0
988,100,250,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
987,100,248,0.05,2,1,random,-1,4,5,4,0,0,4,4,4,0
986,100,248,0.05,5,4,random,-1,2,2,2,0,12,2,2,2,6
985,100,233,0.05,3,2,random,-1,3,6,3,0,26,3,3,3,12
984,100,219,0.05,3,2,random,-1,3,3,3,0,12,3,3,3,6
983,100,246,0.05,2,1,random,-1,3,5,3,0,0,3,3,3,0
982,100,251,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
981,100,263,0.05,2,1,random,-1,3,5,3,0,12,3,3,3,6
980,100,240,0.05,4,3,random,-1,3,3,3,0,12,3,3,3,6
979,100,259,0.05,4,3,random,-1,4,4,4,0,6,4,4,4,2
978,100,248,0.05,2,1,random,-1,4,4,4,0,0,4,4,4,0
977,100,222,0.05,3,2,random,-1,3,6,3,0,0,3,3,3,0
976,100,248,0.05,3,2,random,-1,2,2,2,0,6,2,2,2,4
975,100,221,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
974,100,287,0.05,4,3,random,-1,3,3,3,0,18,3,3,3,6
973,100,251,0.05,4,3,random,-1,3,3,2,1,22,2,2,2,8
972,100,230,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
971,100,251,0.05,3,2,random,-1,4,4,2,2,16,2,2,2,6
970,100,250,0.05,4,3,random,-1,4,4,4,0,0,4,4,4,0
969,100,246,0.05,1,0,random,-1,4,6,4,0,16,4,4,6,16
968,100,238,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
967,100,253,0.05,5,4,random,-1,2,2,2,0,28,2,2,2,10
966,100,263,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
965,100,247,0.05,3,2,random,-1,3,3,3,0,10,3,3,3,4
964,100,247,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
963,100,252,0.05,4,3,random,-1,4,4,4,0,0,4,4,4,0
962,100,260,0.05,3,2,random,-1,3,7,3,0,0,3,3,3,0
961,100,264,0.05,5,4,random,-1,3,3,3,0,12,3,3,3,6
960,100,241,0.05,2,1,random,-1,4,4,4,0,0,4,4,4,0
959,100,222,0.05,5,4,random,-1,3,3,3,0,4,3,3,3,2
958,100,255,0.05,4,3,random,-1,3,7,3,0,0,3,3,3,0
957,100,243,0.05,6,5,random,-1,4,6,4,0,0,4,4,4,0
956,100,255,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
955,100,250,0.05,1,0,random,-1,2,2,2,0,0,2,2,2,0
954,100,227,0.05,2,1,random,-1,4,4,4,0,0,4,4,4,0
953,100,248,0.05,7,6,random,-1,3,3,3,0,6,3,3,3,4
952,100,264,0.05,5,4,random,-1,4,4,4,0,0,4,4,4,0
951,100,240,0.05,3,2,random,-1,3,3,3,0,8,3,3,3,4
950,100,264,0.05,2,1,random,-1,5,5,5,0,0,5,5,5,0
949,100,259,0.05,6,5,random,-1,3,3,3,0,4,3,3,3,2
948,100,255,0.05,5,4,random,-1,2,2,2,0,8,2,2,2,4
947,100,255,0.05,3,2,random,-1,3,6,3,0,0,3,3,3,0
946,100,263,0.05,4,3,random,-1,3,4,3,0,10,3,3,3,4
945,100,214,0.05,2,1,random,-1,4,4,4,0,0,4,4,4,0
944,100,258,0.05,4,3,random,-1,3,5,3,0,16,3,3,3,8
943,100,256,0.05,6,5,random,-1,3,3,3,0,2,3,3,3,2
942,100,241,0.05,3,2,random,-1,3,6,3,0,14,3,3,3,6
941,100,269,0.05,3,2,random,-1,2,2,2,0,0,2,2,2,0
940,100,246,0.05,3,2,random,-1,4,7,4,0,6,4,4,4,2
939,100,274,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
938,100,229,0.05,3,2,random,-1,2,2,2,0,0,2,2,2,0
937,100,239,0.05,4,3,random,-1,4,7,4,0,0,4,4,4,0
936,100,235,0.05,3,2,random,-1,3,3,3,0,20,3,3,3,10
935,100,245,0.05,5,4,random,-1,4,4,4,0,0,4,4,4,0
934,100,283,0.05,4,3,random,-1,4,4,4,0,10,4,4,4,4
933,100,247,0.05,5,4,random,-1,4,4,3,1,0,4,4,4,0
932,100,276,0.05,2,1,random,-1,3,5,2,1,0,2,2,2,0
931,100,250,0.05,4,3,random,-1,3,12,3,0,0,3,3,3,0
930,100,260,0.05,4,3,random,-1,3,3,3,0,18,3,3,3,6
929,100,260,0.05,2,1,random,-1,4,6,4,0,0,4,4,4,0
928,100,251,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
927,100,236,0.05,5,4,random,-1,2,2,2,0,0,2,2,2,0
926,100,272,0.05,6,5,random,-1,2,2,2,0,0,2,2,2,0
925,100,257,0.05,4,3,random,-1,3,4,2,1,12,2,2,2,4
924,100,242,0.05,4,3,random,-1,2,2,2,0,10,2,2,2,4
923,100,224,0.05,2,1,random,-1,3,3,3,0,0,3,3,3,0
922,100,257,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
921,100,226,0.05,2,1,random,-1,4,7,4,0,12,4,4,4,6
920,100,256,0.05,1,0,random,-1,3,3,3,0,0,3,3,3,0
919,100,260,0.05,2,1,random,-1,4,4,4,0,8,4,4,4,4
918,100,239,0.05,1,0,random,-1,4,5,4,0,6,4,4,5,6
917,100,260,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
916,100,255,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
915,100,275,0.05,2,1,random,-1,3,3,3,0,0,3,3,3,0
914,100,231,0.05,1,0,random,-1,5,5,5,0,8,5,5,5,8
913,100,220,0.05,2,1,random,-1,3,7,3,0,8,3,3,3,4
912,100,274,0.05,3,2,random,-1,4,4,4,0,6,4,6,6,2
