rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
934,100,255,0.05,5,4,clustered,0.5;-0.15,41,55,5,36,4,19,14,19,19,14,2,average
933,100,221,0.05,1,0,clustered,0.5;-0.15,-1,-1,5,-6,8,-1,-6,-1,-1,-6,8,average
932,100,246,0.05,3,2,clustered,0.5;-0.15,3,9,3,0,0,7,4,7,7,4,0,average
931,100,264,0.05,5,4,clustered,0.5;-0.15,11,59,4,7,4,-1,-5,-1,-1,-5,2,average
930,100,262,0.05,4,3,clustered,0.5;-0.15,4,20,4,0,0,10,6,10,10,6,0,average
929,100,229,0.05,4,3,clustered,0.5;-0.15,46,42,5,41,6,-1,-6,16,12,11,2,average
928,100,262,0.05,5,4,clustered,0.5;-0.15,28,8,4,24,22,8,4,8,8,4,8,average
926,100,275,0.05,5,4,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
925,100,254,0.05,2,1,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,average
924,100,225,0.05,4,3,clustered,0.5;-0.15,8,8,4,4,0,8,4,8,8,4,0,average
923,100,228,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,average
922,100,274,0.05,3,2,clustered,0.5;-0.15,-1,-1,6,-7,14,-1,-7,-1,-1,-7,6,average
921,100,241,0.05,3,2,clustered,0.5;-0.15,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,average
919,100,227,0.05,4,3,clustered,0.5;-0.15,33,23,5,28,0,9,4,9,9,4,0,average
917,100,260,0.05,2,1,clustered,0.5;-0.15,6,8,4,2,12,-1,-5,-1,-1,-5,6,average
916,100,252,0.05,6,5,clustered,0.5;-0.15,8,36,4,4,0,14,10,14,14,10,0,average
914,100,244,0.05,5,4,clustered,0.5;-0.15,18,18,2,16,0,-1,-3,8,8,6,0,average
912,100,260,0.05,4,3,clustered,0.5;-0.15,17,9,5,12,20,-1,-6,-1,-1,-6,10,average
911,100,243,0.05,9,8,clustered,0.5;-0.15,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,average
910,100,270,0.05,7,6,clustered,0.5;-0.15,15,3,3,12,0,3,0,3,3,0,0,average
909,100,249,0.05,1,0,clustered,0.5;-0.15,4,8,4,0,2,4,0,4,8,0,2,average
908,100,262,0.05,3,2,clustered,0.5;-0.15,7,23,5,2,0,7,2,13,13,8,0,average
907,100,253,0.05,4,3,clustered,0.5;-0.15,9,19,5,4,4,-1,-6,-1,-1,-6,2,average
906,100,250,0.05,6,5,clustered,0.5;-0.15,7,17,3,4,0,11,8,11,11,8,0,average
905,100,257,0.05,4,3,clustered,0.5;-0.15,5,5,5,0,10,-1,-6,20,20,15,4,average
903,100,244,0.05,6,5,clustered,0.5;-0.15,26,26,6,20,0,-1,-7,-1,-1,-7,0,average
902,100,220,0.05,4,3,clustered,0.5;-0.15,15,15,4,11,0,-1,-5,-1,-1,-5,0,average
899,100,254,0.05,5,4,clustered,0.5;-0.15,-1,-1,4,-5,12,-1,-5,-1,-1,-5,6,average
898,100,253,0.05,3,2,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,average
897,100,254,0.05,3,2,clustered,0.5;-0.15,8,3,3,5,0,3,0,3,3,0,0,average
896,100,236,0.05,3,2,clustered,0.5;-0.15,-1,-1,4,-5,12,-1,-5,-1,-1,-5,4,average
895,100,212,0.05,2,1,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,average
894,100,224,0.05,5,4,clustered,0.5;-0.15,5,19,3,2,0,5,2,5,5,2,0,average
891,100,241,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
886,100,256,0.05,3,2,clustered,0.5;-0.15,-1,-1,6,-7,8,-1,-7,-1,-1,-7,4,average
885,100,273,0.05,5,4,clustered,0.5;-0.15,11,17,3,8,0,11,8,11,11,8,0,average
883,100,249,0.05,4,3,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,average
882,100,250,0.05,8,7,clustered,0.5;-0.15,41,35,4,37,8,-1,-5,-1,-1,-5,4,average
881,100,265,0.05,1,0,clustered,0.5;-0.15,-1,-1,5,-6,8,-1,-6,-1,-1,-6,8,average
880,100,267,0.05,2,1,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
877,100,287,0.05,2,1,clustered,0.5;-0.15,19,19,2,17,26,2,0,2,2,0,14,average
876,100,247,0.05,5,4,clustered,0.5;-0.15,-1,-1,6,-7,12,-1,-7,-1,-1,-7,4,average
875,100,238,0.05,5,4,clustered,0.5;-0.15,-1,-1,5,-6,26,-1,-6,-1,-1,-6,14,average
874,100,254,0.05,5,4,clustered,0.5;-0.15,2,2,2,0,0,2,0,2,2,0,0,average
873,100,254,0.05,2,1,clustered,0.5;-0.15,-1,-1,5,-6,20,-1,-6,-1,-1,-6,10,average
872,100,223,0.05,3,2,clustered,0.5;-0.15,3,3,3,0,4,3,0,3,3,0,2,average
870,100,259,0.05,4,3,clustered,0.5;-0.15,25,29,5,20,0,-1,-6,-1,-1,-6,0,average
869,100,240,0.05,2,1,clustered,0.5;-0.15,-1,-1,4,-5,20,-1,-5,-1,-1,-5,10,average
868,100,251,0.05,2,1,clustered,0.5;-0.15,-1,-1,6,-7,4,-1,-7,-1,-1,-7,2,average
867,100,257,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,16,-1,-7,-1,-1,-7,6,average
866,100,226,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
863,100,258,0.05,4,3,clustered,0.5;-0.15,5,10,4,1,0,4,0,4,4,0,0,average
862,100,246,0.05,5,4,clustered,0.5;-0.15,24,20,5,19,0,-1,-6,-1,-1,-6,0,average
861,100,212,0.05,3,2,clustered,0.5;-0.15,26,12,4,22,0,-1,-5,-1,-1,-5,0,average
859,100,251,0.05,7,6,clustered,0.5;-0.15,-1,-1,4,-5,6,-1,-5,-1,-1,-5,2,average
857,100,261,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,22,-1,-6,-1,-1,-6,8,average
856,100,267,0.05,5,4,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,average
855,100,245,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
853,100,243,0.05,1,0,clustered,0.5;-0.15,4,12,4,0,8,4,0,4,12,0,8,average
851,100,235,0.05,4,3,clustered,0.5;-0.15,20,10,5,15,18,-1,-6,-1,-1,-6,8,average
850,100,252,0.05,5,4,clustered,0.5;-0.15,32,30,4,28,0,-1,-5,-1,-1,-5,0,average
849,100,258,0.05,3,2,clustered,0.5;-0.15,15,3,3,12,0,3,0,3,3,0,0,average
847,100,257,0.05,2,1,clustered,0.5;-0.15,3,3,3,0,4,3,0,3,3,0,2,average
845,100,225,0.05,1,0,clustered,0.5;-0.15,5,5,5,0,0,5,0,5,5,0,0,average
843,100,231,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,12,-1,-6,-1,-1,-6,6,average
842,100,271,0.05,7,6,clustered,0.5;-0.15,2,2,2,0,6,2,0,2,2,0,2,average
841,100,239,0.05,6,5,clustered,0.5;-0.15,8,18,4,4,4,8,4,8,8,4,2,average
840,100,253,0.05,5,4,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,average
839,100,240,0.05,3,2,clustered,0.5;-0.15,28,6,6,22,10,-1,-7,-1,-1,-7,6,average
838,100,261,0.05,4,3,clustered,0.5;-0.15,8,12,4,4,0,12,8,12,12,8,0,average
836,100,245,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,average
835,100,232,0.05,4,3,clustered,0.5;-0.15,21,53,5,16,16,-1,-6,17,17,12,8,average
834,100,236,0.05,2,1,clustered,0.5;-0.15,-1,-1,4,-5,12,-1,-5,-1,-1,-5,6,average
833,100,236,0.05,2,1,clustered,0.5;-0.15,40,16,6,34,12,-1,-7,-1,-1,-7,6,average
832,100,262,0.05,7,6,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,average
