rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
1000,100,233,0.05,2,1,random,4,4,4,0,0,4,4,4,0
999,100,255,0.05,1,0,random,3,3,3,0,0,3,3,3,0
998,100,277,0.05,4,3,random,3,3,3,0,4,3,3,3,2
997,100,251,0.05,4,3,random,3,3,3,0,26,3,3,3,12
996,100,235,0.05,4,3,random,2,2,2,0,0,2,2,2,0
995,100,257,0.05,5,4,random,4,6,4,0,0,4,4,4,0
994,100,246,0.05,6,5,random,3,3,3,0,0,3,3,3,0
993,100,250,0.05,3,2,random,3,11,3,0,10,3,3,3,4
992,100,209,0.05,5,4,random,3,3,3,0,6,3,3,3,4
991,100,263,0.05,2,1,random,4,5,4,0,0,4,4,4,0
990,100,230,0.05,3,2,random,3,3,3,0,0,3,3,3,0
989,100,242,0.05,4,3,random,3,3,3,0,18,3,3,3,8
988,100,261,0.05,2,1,random,3,3,3,0,0,3,3,3,0
987,100,256,0.05,5,4,random,3,3,3,0,10,3,3,3,4
986,100,260,0.05,3,2,random,2,2,2,0,0,2,2,2,0
985,100,246,0.05,3,2,random,2,2,2,0,0,2,2,2,0
984,100,232,0.05,3,2,random,4,7,4,0,0,4,4,4,0
983,100,264,0.05,1,0,random,4,5,4,0,12,4,4,5,12
982,100,254,0.05,6,5,random,3,3,3,0,8,3,3,3,4
981,100,217,0.05,2,1,random,4,4,4,0,0,4,4,4,0
980,100,225,0.05,2,1,random,4,4,4,0,0,4,4,4,0
979,100,284,0.05,4,3,random,3,3,3,0,30,3,3,3,12
978,100,239,0.05,6,5,random,2,2,2,0,14,2,2,2,10
977,100,248,0.05,4,3,random,3,3,3,0,12,3,3,3,4
976,100,262,0.05,2,1,random,3,3,3,0,0,3,3,3,0
975,100,263,0.05,2,1,random,3,3,3,0,16,3,3,3,8
974,100,261,0.05,5,4,random,3,3,3,0,0,3,3,3,0
973,100,233,0.05,8,7,random,2,2,2,0,0,2,2,2,0
972,100,273,0.05,2,1,random,3,3,3,0,0,3,3,3,0
971,100,269,0.05,5,4,random,3,3,3,0,0,3,3,3,0
970,100,277,0.05,6,5,random,3,3,3,0,0,3,3,3,0
969,100,249,0.05,1,0,random,3,6,3,0,4,3,3,6,4
968,100,254,0.05,5,4,random,2,2,2,0,12,2,2,2,4
967,100,250,0.05,4,3,random,3,3,3,0,2,3,3,3,2
966,100,241,0.05,6,5,random,3,3,2,1,2,2,2,2,2
965,100,258,0.05,2,1,random,3,3,3,0,0,3,3,3,0
964,100,278,0.05,4,3,random,4,4,4,0,0,4,4,4,0
963,100,266,0.05,8,7,random,2,2,2,0,0,2,2,2,0
962,100,295,0.05,6,5,random,3,5,3,0,0,7,3,3,0
961,100,234,0.05,5,4,random,3,3,3,0,0,3,3,3,0
960,100,243,0.05,1,0,random,4,4,4,0,8,4,4,4,8
959,100,246,0.05,5,4,random,4,10,4,0,0,4,4,4,0
958,100,241,0.05,4,3,random,3,3,3,0,4,3,3,3,2
957,100,243,0.05,5,4,random,2,2,2,0,0,2,2,2,0
956,100,262,0.05,3,2,random,3,3,3,0,4,3,3,3,2
955,100,237,0.05,4,3,random,2,2,2,0,0,2,2,2,0
954,100,251,0.05,2,1,random,6,6,6,0,4,6,6,6,2
953,100,251,0.05,5,4,random,4,5,4,0,0,4,4,4,0
952,100,220,0.05,4,3,random,3,3,3,0,0,3,3,3,0
951,100,275,0.05,6,5,random,3,3,3,0,32,3,3,3,12
950,100,239,0.05,2,1,random,4,4,4,0,12,4,4,4,8
949,100,257,0.05,5,4,random,3,3,3,0,0,3,3,3,0
948,100,250,0.05,3,2,random,4,9,4,0,0,4,4,4,0
947,100,233,0.05,1,0,random,5,5,5,0,8,5,5,5,8
946,100,219,0.05,4,3,random,3,7,3,0,2,3,3,7,2
945,100,241,0.05,3,2,random,3,3,3,0,6,3,3,3,2
944,100,259,0.05,1,0,random,3,4,3,0,12,3,3,4,12
943,100,242,0.05,5,4,random,3,3,3,0,0,3,3,3,0
942,100,254,0.05,1,0,random,4,4,4,0,0,4,4,4,0
941,100,239,0.05,7,6,random,3,3,3,0,6,3,3,3,2
940,100,270,0.05,4,3,random,4,4,4,0,0,4,4,4,0
