rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
935,100,242,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,8,-1,-6,-1,-1,-6,4,shortest
933,100,239,0.05,3,2,clustered,0.5;-0.15,11,11,5,6,0,-1,-6,-1,-1,-6,0,shortest
931,100,249,0.05,4,3,clustered,0.5;-0.15,3,3,3,0,0,3,0,5,5,2,0,shortest
930,100,259,0.05,4,3,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
929,100,232,0.05,4,3,clustered,0.5;-0.15,32,32,6,26,0,16,10,16,16,10,0,shortest
927,100,256,0.05,5,4,clustered,0.5;-0.15,13,17,4,9,22,-1,-5,-1,-1,-5,8,shortest
926,100,278,0.05,4,3,clustered,0.5;-0.15,4,18,4,0,0,-1,-5,-1,-1,-5,0,shortest
925,100,260,0.05,5,4,clustered,0.5;-0.15,9,31,4,5,6,9,5,9,9,5,2,shortest
924,100,248,0.05,5,4,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,shortest
923,100,235,0.05,3,2,clustered,0.5;-0.15,3,3,3,0,12,3,0,3,3,0,6,shortest
922,100,246,0.05,2,1,clustered,0.5;-0.15,31,39,5,26,6,11,6,23,23,18,4,shortest
916,100,226,0.05,3,2,clustered,0.5;-0.15,4,4,4,0,8,8,4,4,4,0,4,shortest
915,100,231,0.05,5,4,clustered,0.5;-0.15,-1,-1,5,-6,10,-1,-6,-1,-1,-6,6,shortest
914,100,236,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,4,-1,-6,-1,-1,-6,2,shortest
913,100,256,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,14,-1,-7,-1,-1,-7,6,shortest
912,100,210,0.05,3,2,clustered,0.5;-0.15,27,35,6,21,4,-1,-7,11,11,5,4,shortest
911,100,261,0.05,3,2,clustered,0.5;-0.15,3,11,3,0,0,3,0,3,3,0,0,shortest
910,100,236,0.05,3,2,clustered,0.5;-0.15,6,6,4,2,16,6,2,6,6,2,8,shortest
909,100,258,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,22,-1,-6,-1,-1,-6,8,shortest
908,100,235,0.05,1,0,clustered,0.5;-0.15,2,2,2,0,0,2,0,2,2,0,0,shortest
907,100,258,0.05,3,2,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
906,100,239,0.05,3,2,clustered,0.5;-0.15,4,4,4,0,12,12,8,11,11,7,4,shortest
905,100,248,0.05,6,5,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
904,100,252,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
903,100,233,0.05,3,2,clustered,0.5;-0.15,10,10,5,5,0,-1,-6,-1,-1,-6,0,shortest
902,100,268,0.05,6,5,clustered,0.5;-0.15,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,shortest
901,100,250,0.05,1,0,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
900,100,253,0.05,4,3,clustered,0.5;-0.15,7,13,5,2,0,-1,-6,-1,-1,-6,0,shortest
