rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
100,100,254,0.05,7,6,random,3,3,3,0,0,3,3,3,0
99,100,240,0.05,7,6,random,2,2,2,0,0,2,2,2,0
98,100,253,0.05,2,1,random,3,5,3,0,0,3,3,3,0
97,100,267,0.05,3,2,random,4,4,4,0,0,4,4,4,0
96,100,233,0.05,3,2,random,3,3,3,0,4,3,3,3,2
95,100,241,0.05,2,1,random,4,6,4,0,0,4,4,4,0
94,100,263,0.05,6,5,random,3,3,3,0,0,3,3,3,0
93,100,248,0.05,2,1,random,3,6,3,0,0,3,3,3,0
92,100,238,0.05,4,3,random,3,3,2,1,0,2,2,2,0
91,100,245,0.05,3,2,random,3,3,3,0,0,3,3,3,0
90,100,230,0.05,3,2,random,3,3,3,0,0,3,3,3,0
89,100,274,0.05,7,6,random,2,2,2,0,0,2,2,2,0
88,100,265,0.05,4,3,random,3,5,3,0,4,3,3,3,2
87,100,262,0.05,5,4,random,2,2,2,0,6,2,2,2,2
86,100,249,0.05,3,2,random,3,3,3,0,4,3,3,3,4
85,100,263,0.05,1,0,random,3,6,3,0,4,3,3,6,4
84,100,262,0.05,3,2,random,4,9,4,0,0,4,4,4,0
83,100,247,0.05,4,3,random,3,3,3,0,10,3,3,3,4
82,100,237,0.05,3,2,random,4,4,4,0,24,4,4,4,14
81,100,232,0.05,7,6,random,2,2,2,0,0,2,2,2,0
80,100,269,0.05,8,7,random,3,3,3,0,10,3,3,3,4
79,100,237,0.05,4,3,random,3,3,3,0,0,3,3,3,0
78,100,279,0.05,7,6,random,3,6,3,0,0,3,3,3,0
77,100,252,0.05,5,4,random,4,4,4,0,0,4,4,4,0
76,100,204,0.05,3,2,random,3,3,3,0,18,3,3,3,8
75,100,220,0.05,4,3,random,4,4,4,0,0,4,4,4,0
74,100,253,0.05,5,4,random,3,3,3,0,10,3,3,3,6
73,100,236,0.05,3,2,random,4,6,4,0,12,4,4,4,6
72,100,251,0.05,3,2,random,3,14,3,0,12,3,3,3,4
71,100,286,0.05,5,4,random,3,3,3,0,24,3,3,3,8
70,100,259,0.05,3,2,random,4,4,2,2,8,2,2,2,4
69,100,270,0.05,2,1,random,3,7,3,0,8,3,3,6,4
68,100,264,0.05,5,4,random,2,2,2,0,0,2,2,2,0
67,100,232,0.05,1,0,random,5,5,5,0,0,5,5,5,0
66,100,213,0.05,1,0,random,4,6,4,0,12,4,4,6,12
65,100,261,0.05,5,4,random,4,4,4,0,0,4,4,4,0
64,100,238,0.05,2,1,random,5,6,5,0,0,5,5,5,0
63,100,245,0.05,1,0,random,4,5,4,0,6,4,4,5,6
62,100,242,0.05,5,4,random,4,4,4,0,4,4,4,4,2
61,100,251,0.05,3,2,random,4,6,4,0,0,4,4,4,0
60,100,270,0.05,1,0,random,3,5,3,0,4,3,3,5,4
59,100,233,0.05,3,2,random,4,4,4,0,0,4,4,4,0
58,100,268,0.05,3,2,random,4,4,4,0,8,4,4,4,4
57,100,269,0.05,5,4,random,3,3,3,0,26,3,3,3,10
56,100,247,0.05,4,3,random,3,3,3,0,0,3,3,3,0
55,100,244,0.05,7,6,random,2,2,2,0,0,2,2,2,0
54,100,248,0.05,5,4,random,3,3,3,0,2,3,3,3,2
53,100,260,0.05,5,4,random,3,3,3,0,0,3,3,3,0
52,100,250,0.05,2,1,random,4,4,4,0,0,4,4,4,0
51,100,248,0.05,6,5,random,3,3,3,0,2,3,3,3,2
50,100,259,0.05,4,3,random,5,6,4,1,0,6,4,4,0
49,100,245,0.05,6,5,random,3,3,3,0,12,3,3,3,6
48,100,242,0.05,3,2,random,2,2,2,0,0,2,2,2,0
47,100,261,0.05,3,2,random,4,4,4,0,4,4,4,4,2
46,100,255,0.05,4,3,random,4,4,2,2,0,2,2,2,0
45,100,270,0.05,5,4,random,4,4,4,0,0,4,4,4,0
44,100,250,0.05,3,2,random,3,5,3,0,6,3,3,3,2
43,100,260,0.05,1,0,random,4,4,4,0,0,4,4,4,0
42,100,256,0.05,2,1,random,3,6,3,0,14,3,3,3,8
41,100,242,0.05,1,0,random,3,6,3,0,8,3,3,6,8
40,100,244,0.05,4,3,random,4,4,4,0,0,4,4,4,0
39,100,265,0.05,7,6,random,3,3,3,0,6,3,3,3,2
38,100,260,0.05,2,1,random,3,6,3,0,0,3,3,3,0
37,100,250,0.05,3,2,random,4,4,4,0,8,4,4,4,4
36,100,220,0.05,4,3,random,3,3,3,0,0,3,3,3,0
35,100,254,0.05,3,2,random,3,8,3,0,0,3,3,3,0
34,100,275,0.05,5,4,random,3,3,3,0,6,3,3,3,2
33,100,274,0.05,3,2,random,2,2,2,0,16,2,2,2,8
32,100,251,0.05,3,2,random,3,3,3,0,0,3,3,3,0
31,100,245,0.05,2,1,random,4,4,4,0,22,4,4,4,12
30,100,229,0.05,4,3,random,3,3,3,0,0,3,3,3,0
29,100,245,0.05,6,5,random,2,2,2,0,4,2,2,2,2
28,100,244,0.05,3,2,random,2,2,2,0,0,2,2,2,0
27,100,238,0.05,5,4,random,2,2,2,0,0,2,2,2,0
26,100,256,0.05,5,4,random,4,4,4,0,0,4,4,4,0
25,100,226,0.05,5,4,random,3,3,3,0,0,3,3,3,0
24,100,279,0.05,4,3,random,3,4,3,0,0,3,3,3,0
23,100,231,0.05,2,1,random,2,2,2,0,14,2,2,2,8
22,100,245,0.05,7,6,random,3,3,3,0,0,3,3,3,0
21,100,267,0.05,3,2,random,3,3,3,0,0,3,3,3,0
20,100,266,0.05,2,1,random,3,3,3,0,0,3,3,3,0
19,100,248,0.05,7,6,random,3,3,3,0,14,7,3,3,6
18,100,259,0.05,2,1,random,4,4,2,2,0,2,2,2,0
17,100,233,0.05,2,1,random,3,5,3,0,0,3,3,3,0
16,100,242,0.05,4,3,random,3,3,3,0,0,3,3,3,0
15,100,255,0.05,2,1,random,5,6,2,3,0,2,2,2,0
14,100,213,0.05,2,1,random,4,4,4,0,0,4,4,4,0
13,100,257,0.05,2,1,random,4,4,4,0,0,4,4,4,0
12,100,240,0.05,2,1,random,4,4,4,0,0,4,4,4,0
11,100,257,0.05,4,3,random,4,4,4,0,6,4,4,4,2
10,100,241,0.05,3,2,random,3,3,3,0,12,3,3,3,4
