rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,40,117,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
999,40,131,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
998,40,119,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
997,40,117,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
996,40,106,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,17,13,-1,-1,-5,0,shortest
994,40,110,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
993,40,121,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
992,40,130,0.15,5,4,clustered,0.6;-0.3,-1,-1,2,-3,0,4,2,-1,-1,-3,0,shortest
991,40,117,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
990,40,102,0.15,2,1,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
989,40,97,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
988,40,106,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
987,40,126,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,13,10,-1,-1,-4,0,shortest
985,40,104,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,8,4,-1,-1,-5,0,shortest
984,40,121,0.15,8,7,clustered,0.6;-0.3,-1,-1,3,-4,0,15,12,-1,-1,-4,0,shortest
983,40,140,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,11,8,-1,-1,-4,0,shortest
982,40,124,0.15,2,1,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
981,40,124,0.15,2,1,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
980,40,123,0.15,1,0,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
979,40,123,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
978,40,102,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,10,7,-1,-1,-4,0,shortest
977,40,121,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
976,40,128,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,8,4,-1,-1,-5,0,shortest
975,40,106,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
974,40,116,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
973,40,128,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
972,40,123,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
971,40,111,0.15,1,0,clustered,0.6;-0.3,-1,-1,4,-5,0,4,0,-1,-1,-5,0,shortest
970,40,117,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
969,40,110,0.15,2,1,clustered,0.6;-0.3,-1,-1,3,-4,0,8,5,-1,-1,-4,0,shortest
968,40,107,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,12,8,-1,-1,-5,0,shortest
967,40,121,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
966,40,129,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
965,40,126,0.15,6,5,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
964,40,117,0.15,4,3,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
963,40,132,0.15,8,7,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
961,40,111,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,13,9,-1,-1,-5,0,shortest
960,40,105,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
959,40,123,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
958,40,109,0.15,3,2,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
957,40,121,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
956,40,126,0.15,1,0,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
955,40,107,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
954,40,132,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
953,40,138,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
952,40,132,0.15,7,6,clustered,0.6;-0.3,-1,-1,4,-5,0,14,10,-1,-1,-5,0,shortest
950,40,123,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,14,10,-1,-1,-5,0,shortest
949,40,96,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,8,4,-1,-1,-5,0,shortest
948,40,117,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
947,40,125,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
946,40,119,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
945,40,123,0.15,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
944,40,96,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,6,2,-1,-1,-5,0,shortest
943,40,118,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
942,40,105,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,12,9,-1,-1,-4,0,shortest
941,40,112,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,10,7,-1,-1,-4,0,shortest
940,40,126,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,20,16,-1,-1,-5,0,shortest
939,40,97,0.15,4,3,clustered,0.6;-0.3,-1,-1,5,-6,0,15,10,-1,-1,-6,0,shortest
938,40,107,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,15,11,-1,-1,-5,0,shortest
937,40,125,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
936,40,105,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
935,40,106,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,10,7,-1,-1,-4,0,shortest
934,40,129,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
933,40,112,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
932,40,115,0.15,6,5,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
931,40,116,0.15,9,8,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
930,40,122,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,13,10,-1,-1,-4,0,shortest
929,40,133,0.15,2,1,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
928,40,106,0.15,3,2,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
927,40,119,0.15,4,3,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
926,40,114,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
924,40,123,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
923,40,125,0.15,3,2,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
922,40,122,0.15,2,1,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
921,40,114,0.15,1,0,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
920,40,126,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
919,40,131,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
918,40,125,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
917,40,116,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
916,40,108,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
915,40,106,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
913,40,122,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
912,40,109,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
911,40,128,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
910,40,114,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
909,40,107,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,20,16,-1,-1,-5,0,shortest
908,40,126,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
907,40,115,0.15,7,6,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
905,40,111,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
904,40,100,0.15,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,8,4,-1,-1,-5,0,shortest
903,40,125,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
901,40,120,0.15,5,4,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
900,40,118,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
899,40,104,0.15,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
898,40,125,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
897,40,138,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
896,40,120,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
895,40,104,0.15,6,5,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
894,40,123,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
893,40,118,0.15,3,2,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
891,40,112,0.15,2,1,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
890,40,130,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,14,10,-1,-1,-5,0,shortest
889,40,125,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
888,40,116,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
887,40,107,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
886,40,122,0.15,7,6,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
885,40,111,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
884,40,122,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,6,2,-1,-1,-5,0,shortest
883,40,98,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
882,40,109,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
881,40,126,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,11,8,-1,-1,-4,0,shortest
880,40,126,0.15,7,6,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
879,40,127,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
878,40,138,0.15,3,2,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
877,40,113,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
876,40,110,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,16,13,-1,-1,-4,0,shortest
875,40,101,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,6,2,-1,-1,-5,0,shortest
874,40,105,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
873,40,118,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
870,40,96,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,11,8,-1,-1,-4,0,shortest
869,40,98,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
868,40,122,0.15,6,5,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
867,40,127,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
866,40,115,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
865,40,110,0.15,6,5,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
864,40,105,0.15,4,3,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
863,40,111,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
862,40,128,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
861,40,115,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
860,40,110,0.15,5,4,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
859,40,106,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
858,40,124,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
857,40,116,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,14,10,-1,-1,-5,0,shortest
856,40,119,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
854,40,110,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
853,40,112,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,14,11,-1,-1,-4,0,shortest
852,40,105,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,11,8,-1,-1,-4,0,shortest
851,40,123,0.15,3,2,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
850,40,122,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
