rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
1000,100,244,0.05,6,5,random,2,2,2,0,8,2,2,2,4
999,100,261,0.05,3,2,random,4,7,4,0,16,4,4,4,6
998,100,268,0.05,5,4,random,4,6,4,0,0,4,4,4,0
997,100,235,0.05,5,4,random,3,12,3,0,0,3,3,3,0
996,100,263,0.05,2,1,random,3,6,3,0,0,3,3,3,0
995,100,222,0.05,4,3,random,3,3,3,0,0,3,3,3,0
994,100,250,0.05,5,4,random,4,4,4,0,0,10,4,4,0
993,100,259,0.05,2,1,random,4,4,4,0,0,4,4,4,0
992,100,255,0.05,7,6,random,2,2,2,0,0,2,2,2,0
991,100,245,0.05,3,2,random,3,3,3,0,4,3,3,3,2
990,100,246,0.05,1,0,random,3,6,3,0,6,3,3,6,6
989,100,246,0.05,3,2,random,4,4,4,0,12,4,4,6,6
988,100,238,0.05,8,7,random,2,2,2,0,0,2,2,2,0
987,100,236,0.05,4,3,random,4,4,4,0,0,4,4,4,0
986,100,242,0.05,5,4,random,3,3,3,0,2,3,3,3,2
985,100,253,0.05,2,1,random,3,3,3,0,0,3,3,3,0
984,100,266,0.05,4,3,random,3,3,3,0,0,3,3,3,0
983,100,236,0.05,4,3,random,3,3,3,0,0,3,3,3,0
