rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,25,47,0.15,3,,clustered,0.4;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
999,25,46,0.15,3,,clustered,0.4;-0.3,3,3,3,0,2,3,0,3,5,0,2,edgeCount
998,25,52,0.15,6,,clustered,0.4;-0.3,3,2,2,1,0,2,0,3,2,1,0,edgeCount
997,25,46,0.15,1,,clustered,0.4;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
996,25,54,0.15,4,,clustered,0.4;-0.3,9,7,3,6,8,7,4,9,9,6,4,edgeCount
995,25,44,0.15,1,,clustered,0.4;-0.3,4,4,4,0,6,4,0,4,4,0,6,edgeCount
994,25,37,0.15,2,,clustered,0.4;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
993,25,51,0.15,5,,clustered,0.4;-0.3,2,2,2,0,2,4,2,4,4,2,2,edgeCount
992,25,41,0.15,2,,clustered,0.4;-0.3,3,2,2,1,0,2,0,3,2,1,0,edgeCount
991,25,54,0.15,2,,clustered,0.4;-0.3,2,2,2,0,16,2,0,2,2,0,8,edgeCount
990,25,55,0.15,3,,clustered,0.4;-0.3,4,4,4,0,8,6,2,6,7,2,4,edgeCount
989,25,56,0.15,4,,clustered,0.4;-0.3,2,7,2,0,0,7,5,4,6,2,0,edgeCount
988,25,40,0.15,2,,clustered,0.4;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
987,25,44,0.15,4,,clustered,0.4;-0.3,11,6,3,8,4,9,6,9,15,6,2,edgeCount
986,25,45,0.15,1,,clustered,0.4;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
985,25,63,0.15,3,,clustered,0.4;-0.3,4,8,3,1,0,3,0,3,3,0,0,edgeCount
984,25,38,0.15,2,,clustered,0.4;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
983,25,38,0.15,2,,clustered,0.4;-0.3,2,2,2,0,4,2,0,2,2,0,2,edgeCount
982,25,45,0.15,1,,clustered,0.4;-0.3,4,5,4,0,2,4,0,4,5,0,2,edgeCount
981,25,43,0.15,5,,clustered,0.4;-0.3,3,2,2,1,8,2,0,3,2,1,6,edgeCount
980,25,38,0.15,4,,clustered,0.4;-0.3,6,11,2,4,0,2,0,2,2,0,0,edgeCount
979,25,58,0.15,5,,clustered,0.4;-0.3,3,3,3,0,10,7,4,3,3,0,6,edgeCount
978,25,45,0.15,2,,clustered,0.4;-0.3,3,3,2,1,0,2,0,3,2,1,0,edgeCount
977,25,46,0.15,1,,clustered,0.4;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
976,25,43,0.15,2,,clustered,0.4;-0.3,4,7,4,0,0,4,0,4,4,0,0,edgeCount
975,25,44,0.15,2,,clustered,0.4;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
