rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
1000,100,220,0.05,5,4,random,3,3,2,1,0,3,3,3,0
999,100,239,0.05,6,5,random,2,2,2,0,8,2,2,2,4
998,100,257,0.05,6,5,random,4,7,4,0,0,4,4,4,0
997,100,243,0.05,1,0,random,4,6,4,0,8,4,4,6,8
996,100,241,0.05,2,1,random,4,7,4,0,0,4,4,4,0
995,100,222,0.05,3,2,random,4,4,4,0,6,4,4,4,2
994,100,251,0.05,1,0,random,4,4,4,0,0,4,4,4,0
993,100,267,0.05,7,6,random,3,3,3,0,0,3,3,3,0
992,100,261,0.05,4,3,random,4,4,4,0,0,4,4,4,0
991,100,233,0.05,2,1,random,4,5,4,0,0,4,4,4,0
990,100,275,0.05,5,4,random,4,4,4,0,12,4,4,4,4
989,100,267,0.05,3,2,random,3,6,3,0,14,3,3,3,6
988,100,257,0.05,4,3,random,3,5,3,0,0,3,3,3,0
987,100,219,0.05,1,0,random,5,5,5,0,6,5,5,5,6
986,100,240,0.05,2,1,random,3,5,2,1,26,2,2,2,14
985,100,260,0.05,3,2,random,3,3,3,0,0,3,3,3,0
984,100,247,0.05,3,2,random,4,4,4,0,0,4,4,4,0
983,100,246,0.05,2,1,random,4,6,4,0,0,4,4,4,0
982,100,265,0.05,4,3,random,6,6,4,2,0,6,6,6,0
981,100,244,0.05,2,1,random,4,6,4,0,0,4,4,4,0
980,100,235,0.05,5,4,random,3,4,3,0,0,3,3,3,0
979,100,242,0.05,3,2,random,4,7,4,0,0,4,4,4,0
978,100,274,0.05,6,5,random,2,2,2,0,12,2,2,2,4
977,100,221,0.05,2,1,random,3,3,3,0,0,3,3,3,0
976,100,253,0.05,3,2,random,2,2,2,0,12,2,2,2,6
975,100,235,0.05,3,2,random,4,4,4,0,0,4,4,4,0
974,100,230,0.05,2,1,random,4,5,4,0,0,4,4,4,0
973,100,242,0.05,5,4,random,4,4,4,0,0,4,4,4,0
972,100,257,0.05,6,5,random,3,3,3,0,0,3,3,3,0
971,100,272,0.05,4,3,random,3,3,3,0,12,3,3,3,4
970,100,252,0.05,4,3,random,4,4,4,0,0,4,4,4,0
969,100,264,0.05,4,3,random,3,3,3,0,6,3,3,3,2
968,100,227,0.05,1,0,random,4,4,4,0,0,4,4,4,0
967,100,266,0.05,1,0,random,4,6,4,0,10,4,4,6,10
966,100,236,0.05,7,6,random,2,2,2,0,0,2,2,2,0
965,100,244,0.05,4,3,random,3,3,3,0,10,3,3,3,4
964,100,237,0.05,4,3,random,4,4,4,0,10,4,4,4,4
963,100,249,0.05,2,1,random,5,6,5,0,4,5,5,5,2
962,100,237,0.05,2,1,random,3,3,3,0,0,3,3,3,0
