rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,40,123,0.15,6,5,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
999,40,102,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
997,40,130,0.15,10,9,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
996,40,143,0.15,9,8,clustered,0.6;-0.3,-1,-1,4,-5,0,22,18,-1,-1,-5,0,shortest
995,40,119,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,12,9,-1,-1,-4,0,shortest
994,40,97,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
993,40,116,0.15,9,8,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
992,40,124,0.15,5,4,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
991,40,104,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
990,40,110,0.15,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
989,40,114,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
987,40,116,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,14,10,-1,-1,-5,0,shortest
986,40,120,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
985,40,134,0.15,9,8,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
984,40,114,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
983,40,133,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
982,40,113,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
981,40,105,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
980,40,111,0.15,9,8,clustered,0.6;-0.3,-1,-1,6,-7,0,26,20,-1,-1,-7,0,shortest
979,40,100,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
978,40,109,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
977,40,120,0.15,6,5,clustered,0.6;-0.3,-1,-1,4,-5,0,8,4,-1,-1,-5,0,shortest
975,40,115,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,23,20,-1,-1,-4,0,shortest
974,40,128,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
973,40,114,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
972,40,103,0.15,1,0,clustered,0.6;-0.3,-1,-1,5,-6,0,5,0,-1,-1,-6,0,shortest
971,40,123,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,14,10,-1,-1,-5,0,shortest
970,40,117,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,14,11,-1,-1,-4,0,shortest
968,40,105,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
967,40,119,0.15,7,6,clustered,0.6;-0.3,-1,-1,4,-5,0,24,20,-1,-1,-5,0,shortest
966,40,121,0.15,6,5,clustered,0.6;-0.3,-1,-1,4,-5,0,14,10,-1,-1,-5,0,shortest
965,40,114,0.15,1,0,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
964,40,100,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
963,40,118,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
962,40,114,0.15,1,0,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
961,40,104,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
960,40,107,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
959,40,139,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
958,40,132,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
957,40,118,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,11,8,-1,-1,-4,0,shortest
956,40,130,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
955,40,113,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
954,40,115,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
953,40,121,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
952,40,121,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
951,40,120,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,4,0,-1,-1,-5,0,shortest
950,40,112,0.15,3,2,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
949,40,114,0.15,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
948,40,109,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
947,40,117,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
946,40,110,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,10,6,-1,-1,-5,0,shortest
944,40,128,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
943,40,106,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
942,40,106,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
941,40,113,0.15,2,1,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
940,40,111,0.15,10,9,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
939,40,109,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
938,40,112,0.15,3,2,clustered,0.6;-0.3,-1,-1,3,-4,0,7,4,-1,-1,-4,0,shortest
937,40,110,0.15,2,1,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
936,40,137,0.15,8,7,clustered,0.6;-0.3,-1,-1,3,-4,0,22,19,-1,-1,-4,0,shortest
935,40,122,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
934,40,120,0.15,3,2,clustered,0.6;-0.3,-1,-1,4,-5,0,10,6,-1,-1,-5,0,shortest
933,40,115,0.15,7,6,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
932,40,117,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
931,40,122,0.15,4,3,clustered,0.6;-0.3,-1,-1,4,-5,0,10,6,-1,-1,-5,0,shortest
930,40,115,0.15,4,3,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
929,40,108,0.15,5,4,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,shortest
928,40,127,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,9,6,-1,-1,-4,0,shortest
927,40,110,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,3,0,-1,-1,-4,0,shortest
926,40,114,0.15,5,4,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
925,40,99,0.15,4,3,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
924,40,113,0.15,6,5,clustered,0.6;-0.3,-1,-1,3,-4,0,5,2,-1,-1,-4,0,shortest
923,40,106,0.15,2,1,clustered,0.6;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
921,40,134,0.15,6,5,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
920,40,118,0.15,8,7,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
919,40,107,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
918,40,127,0.15,7,6,clustered,0.6;-0.3,-1,-1,2,-3,0,2,0,-1,-1,-3,0,shortest
917,40,132,0.15,5,4,clustered,0.6;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
