rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
500,100,253,0.05,2,1,random,-1,3,3,3,0,0,3,3,3,0
499,100,274,0.05,3,2,random,-1,3,9,3,0,22,3,3,3,8
498,100,248,0.05,2,1,random,-1,3,4,3,0,20,3,3,3,10
497,100,242,0.05,2,1,random,-1,4,4,4,0,12,4,4,4,6
496,100,262,0.05,2,1,random,-1,2,2,2,0,0,2,2,2,0
495,100,265,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
494,100,225,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
493,100,272,0.05,5,4,random,-1,2,2,2,0,0,2,2,2,0
492,100,245,0.05,5,4,random,-1,3,3,3,0,0,4,3,3,0
491,100,247,0.05,6,5,random,-1,3,6,3,0,20,3,3,3,8
490,100,249,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
489,100,235,0.05,3,2,random,-1,3,3,3,0,14,3,3,3,8
488,100,220,0.05,3,2,random,-1,2,2,2,0,14,2,2,2,8
487,100,250,0.05,5,4,random,-1,4,4,4,0,0,11,4,4,0
486,100,251,0.05,3,2,random,-1,4,4,4,0,0,4,4,4,0
485,100,249,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
484,100,234,0.05,4,3,random,-1,3,6,3,0,12,3,3,3,6
483,100,268,0.05,8,7,random,-1,2,2,2,0,0,2,2,2,0
482,100,261,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
481,100,248,0.05,3,2,random,-1,4,4,4,0,0,5,5,5,0
480,100,231,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
479,100,230,0.05,5,4,random,-1,3,3,3,0,10,3,3,3,6
478,100,213,0.05,2,1,random,-1,5,5,5,0,0,5,5,5,0
477,100,247,0.05,3,2,random,-1,3,3,3,0,4,3,3,3,2
476,100,249,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
475,100,238,0.05,4,3,random,-1,2,2,2,0,4,2,2,2,2
474,100,260,0.05,4,3,random,-1,4,4,4,0,0,4,4,4,0
473,100,243,0.05,6,5,random,-1,2,2,2,0,0,2,2,2,0
472,100,247,0.05,2,1,random,-1,3,6,3,0,8,3,3,3,4
471,100,241,0.05,2,1,random,-1,3,3,3,0,0,3,3,3,0
470,100,272,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
469,100,242,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
468,100,270,0.05,6,5,random,-1,2,2,2,0,8,2,2,2,4
467,100,229,0.05,3,2,random,-1,4,5,4,0,10,4,4,4,4
466,100,264,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
465,100,251,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
464,100,243,0.05,1,0,random,-1,5,5,5,0,4,5,5,5,4
463,100,236,0.05,3,2,random,-1,3,3,3,0,4,3,3,3,2
462,100,231,0.05,2,1,random,-1,4,7,4,0,6,4,4,4,4
461,100,260,0.05,2,1,random,-1,4,4,4,0,0,4,4,4,0
460,100,234,0.05,2,1,random,-1,3,3,3,0,16,3,3,3,8
459,100,253,0.05,8,7,random,-1,2,2,2,0,0,2,2,2,0
458,100,239,0.05,3,2,random,-1,3,3,3,0,0,3,3,3,0
457,100,265,0.05,4,3,random,-1,4,4,4,0,0,4,4,4,0
456,100,229,0.05,2,1,random,-1,3,3,3,0,8,3,3,3,4
455,100,259,0.05,2,1,random,-1,4,7,4,0,0,4,4,4,0
454,100,231,0.05,2,1,random,-1,4,6,2,2,0,2,2,2,0
453,100,233,0.05,3,2,random,-1,3,3,3,0,22,3,3,3,14
452,100,231,0.05,2,1,random,-1,4,4,4,0,6,4,4,4,4
451,100,248,0.05,5,4,random,-1,4,4,4,0,0,4,4,4,0
450,100,264,0.05,4,3,random,-1,2,2,2,0,24,2,2,2,8
449,100,270,0.05,7,6,random,-1,3,3,3,0,0,3,3,3,0
448,100,230,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
447,100,260,0.05,3,2,random,-1,4,7,4,0,10,4,4,4,4
446,100,229,0.05,3,2,random,-1,4,6,4,0,10,4,4,6,4
445,100,253,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
444,100,259,0.05,6,5,random,-1,2,2,2,0,0,2,2,2,0
443,100,262,0.05,3,2,random,-1,3,5,2,1,0,2,2,2,0
442,100,242,0.05,3,2,random,-1,4,10,2,2,14,2,2,2,6
441,100,244,0.05,5,4,random,-1,3,3,3,0,10,3,3,3,4
440,100,246,0.05,3,2,random,-1,3,3,3,0,0,3,3,3,0
439,100,250,0.05,2,1,random,-1,3,6,3,0,0,3,3,3,0
438,100,260,0.05,7,6,random,-1,2,2,2,0,6,2,2,2,2
437,100,254,0.05,2,1,random,-1,4,5,4,0,0,4,4,4,0
436,100,240,0.05,2,1,random,-1,4,7,4,0,0,4,4,4,0
435,100,245,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
434,100,270,0.05,5,4,random,-1,2,2,2,0,0,2,2,2,0
433,100,236,0.05,1,0,random,-1,4,4,4,0,0,4,4,4,0
432,100,237,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
431,100,239,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
430,100,245,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
429,100,264,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
428,100,254,0.05,3,2,random,-1,3,7,3,0,8,3,3,3,4
427,100,248,0.05,7,6,random,-1,3,3,3,0,8,3,3,3,4
426,100,239,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
425,100,244,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
424,100,233,0.05,4,3,random,-1,3,3,3,0,14,3,3,3,6
423,100,257,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
422,100,261,0.05,4,3,random,-1,3,3,3,0,24,3,3,3,10
421,100,257,0.05,4,3,random,-1,3,3,3,0,8,3,3,3,4
420,100,230,0.05,2,1,random,-1,4,5,2,2,20,2,2,2,12
419,100,237,0.05,3,2,random,-1,3,3,3,0,0,3,3,3,0
418,100,251,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
417,100,249,0.05,1,0,random,-1,4,4,4,0,0,4,4,4,0
416,100,256,0.05,3,2,random,-1,3,3,3,0,0,3,3,3,0
415,100,251,0.05,3,2,random,-1,2,2,2,0,8,2,2,2,4
414,100,274,0.05,3,2,random,-1,4,4,4,0,0,4,4,4,0
413,100,235,0.05,5,4,random,-1,2,2,2,0,0,2,2,2,0
412,100,261,0.05,2,1,random,-1,4,6,4,0,8,4,4,4,4
411,100,215,0.05,1,0,random,-1,5,5,5,0,0,5,5,5,0
410,100,253,0.05,3,2,random,-1,4,4,4,0,0,4,4,4,0
409,100,264,0.05,2,1,random,-1,5,5,5,0,0,5,5,5,0
408,100,270,0.05,3,2,random,-1,4,4,4,0,6,4,4,4,2
407,100,257,0.05,4,3,random,-1,3,3,3,0,44,3,3,3,16
406,100,209,0.05,2,1,random,-1,3,3,3,0,0,3,3,3,0
405,100,274,0.05,8,7,random,-1,3,5,3,0,6,3,3,3,4
404,100,263,0.05,2,1,random,-1,4,5,4,0,20,4,4,4,10
403,100,232,0.05,2,1,random,-1,4,6,4,0,0,4,4,4,0
402,100,248,0.05,4,3,random,-1,4,4,4,0,0,4,4,4,0
401,100,226,0.05,5,4,random,-1,3,3,3,0,4,3,3,3,2
400,100,263,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
399,100,218,0.05,3,2,random,-1,3,3,3,0,8,3,3,3,4
398,100,243,0.05,5,4,random,-1,2,2,2,0,6,2,2,2,2
397,100,252,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
396,100,260,0.05,4,3,random,-1,4,4,4,0,0,4,4,4,0
395,100,262,0.05,3,2,random,-1,3,5,3,0,0,3,3,3,0
394,100,265,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
393,100,264,0.05,5,4,random,-1,4,6,4,0,6,4,4,4,2
392,100,261,0.05,4,3,random,-1,4,5,4,0,6,4,4,4,2
391,100,260,0.05,4,3,random,-1,3,3,3,0,6,3,3,3,2
390,100,241,0.05,5,4,random,-1,2,2,2,0,18,2,2,2,8
389,100,256,0.05,5,4,random,-1,3,3,3,0,14,3,3,3,6
388,100,243,0.05,1,0,random,-1,3,3,3,0,0,3,3,3,0
387,100,234,0.05,3,2,random,-1,4,4,4,0,0,4,4,4,0
386,100,233,0.05,1,0,random,-1,5,5,5,0,0,5,5,5,0
385,100,260,0.05,4,3,random,-1,2,2,2,0,14,2,2,2,6
384,100,248,0.05,1,0,random,-1,4,6,4,0,8,4,4,6,8
383,100,231,0.05,6,5,random,-1,3,3,3,0,0,3,3,3,0
382,100,261,0.05,3,2,random,-1,4,4,4,0,0,4,4,4,0
381,100,255,0.05,5,4,random,-1,3,3,3,0,4,3,3,3,2
380,100,261,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
379,100,261,0.05,7,6,random,-1,3,3,3,0,0,3,3,3,0
378,100,233,0.05,4,3,random,-1,4,4,4,0,0,4,4,4,0
377,100,254,0.05,7,6,random,-1,2,2,2,0,0,2,2,2,0
376,100,248,0.05,3,2,random,-1,3,3,3,0,0,3,3,3,0
375,100,244,0.05,2,1,random,-1,3,3,3,0,28,3,3,3,16
374,100,248,0.05,3,2,random,-1,3,3,3,0,0,3,3,3,0
373,100,223,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
372,100,275,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
371,100,238,0.05,7,6,random,-1,3,3,3,0,0,3,3,3,0
370,100,256,0.05,2,1,random,-1,4,6,4,0,10,4,4,4,6
369,100,231,0.05,7,6,random,-1,2,2,2,0,0,2,2,2,0
368,100,245,0.05,4,3,random,-1,2,2,2,0,0,2,2,2,0
367,100,257,0.05,2,1,random,-1,5,5,5,0,4,5,5,5,2
366,100,259,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
365,100,239,0.05,3,2,random,-1,3,3,3,0,4,3,3,3,2
364,100,255,0.05,3,2,random,-1,4,6,4,0,0,4,4,4,0
363,100,278,0.05,3,2,random,-1,2,2,2,0,0,2,2,2,0
362,100,251,0.05,5,4,random,-1,2,2,2,0,0,2,2,2,0
361,100,257,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
360,100,262,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
359,100,240,0.05,4,3,random,-1,3,7,3,0,0,3,3,3,0
358,100,280,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
357,100,247,0.05,2,1,random,-1,3,3,3,0,20,3,3,3,10
356,100,261,0.05,5,4,random,-1,2,2,2,0,40,2,2,2,14
355,100,249,0.05,6,5,random,-1,6,6,3,3,6,6,6,6,2
354,100,222,0.05,1,0,random,-1,5,8,5,0,10,5,5,8,10
353,100,253,0.05,2,1,random,-1,4,5,4,0,12,4,4,5,6
352,100,230,0.05,3,2,random,-1,4,4,4,0,0,4,4,4,0
351,100,263,0.05,2,1,random,-1,4,6,4,0,16,4,4,6,8
350,100,245,0.05,3,2,random,-1,3,3,3,0,10,3,3,3,6
349,100,236,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
348,100,254,0.05,3,2,random,-1,3,3,3,0,14,3,3,3,6
347,100,252,0.05,5,4,random,-1,3,3,3,0,4,3,3,3,4
346,100,232,0.05,1,0,random,-1,5,5,5,0,0,5,5,5,0
345,100,237,0.05,3,2,random,-1,4,4,4,0,0,4,4,4,0
344,100,243,0.05,3,2,random,-1,3,3,3,0,2,3,3,3,2
343,100,245,0.05,2,1,random,-1,3,3,3,0,0,3,3,3,0
342,100,265,0.05,3,2,random,-1,4,4,4,0,12,4,4,4,4
341,100,235,0.05,5,4,random,-1,4,5,4,0,0,4,4,4,0
340,100,232,0.05,2,1,random,-1,5,5,5,0,0,5,5,5,0
339,100,231,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
338,100,255,0.05,9,8,random,-1,3,3,2,1,0,3,3,3,0
337,100,277,0.05,4,3,random,-1,2,2,2,0,18,2,2,2,8
336,100,237,0.05,2,1,random,-1,4,4,4,0,0,4,4,4,0
335,100,238,0.05,2,1,random,-1,3,8,3,0,0,3,3,3,0
334,100,251,0.05,2,1,random,-1,4,4,4,0,8,4,4,4,4
333,100,257,0.05,3,2,random,-1,3,7,3,0,22,3,3,3,10
332,100,264,0.05,4,3,random,-1,3,12,3,0,0,3,3,3,0
331,100,231,0.05,3,2,random,-1,3,6,3,0,0,3,3,3,0
330,100,248,0.05,2,1,random,-1,5,6,5,0,12,5,5,5,6
329,100,279,0.05,4,3,random,-1,3,10,3,0,0,3,3,3,0
328,100,224,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
327,100,254,0.05,6,5,random,-1,2,2,2,0,0,2,2,2,0
326,100,268,0.05,3,2,random,-1,4,4,4,0,32,4,4,4,12
325,100,238,0.05,4,3,random,-1,3,5,3,0,16,3,3,3,8
324,100,234,0.05,4,3,random,-1,3,3,3,0,0,3,3,3,0
323,100,241,0.05,4,3,random,-1,4,4,4,0,4,4,4,4,2
322,100,263,0.05,1,0,random,-1,4,4,4,0,0,4,4,4,0
321,100,247,0.05,2,1,random,-1,3,3,3,0,8,3,3,3,4
320,100,259,0.05,2,1,random,-1,3,3,3,0,0,3,3,3,0
319,100,269,0.05,5,4,random,-1,3,3,3,0,0,3,3,3,0
318,100,239,0.05,3,2,random,-1,3,3,3,0,12,3,3,3,6
317,100,251,0.05,1,0,random,-1,4,4,4,0,0,4,4,4,0
