rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,25,50,0.15,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
999,25,43,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
998,25,38,0.15,1,,clustered,0.7;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
997,25,43,0.15,3,,clustered,0.7;-0.3,13,5,5,8,0,-1,-6,-1,-1,-6,0,edgeCount
996,25,39,0.15,4,,clustered,0.7;-0.3,2,2,2,0,0,2,0,6,2,4,0,edgeCount
995,25,46,0.15,3,,clustered,0.7;-0.3,-1,-1,6,-7,4,-1,-7,-1,-1,-7,2,edgeCount
994,25,47,0.15,4,,clustered,0.7;-0.3,-1,-1,5,-6,8,-1,-6,-1,-1,-6,4,edgeCount
993,25,39,0.15,1,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
992,25,38,0.15,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
991,25,55,0.15,3,,clustered,0.7;-0.3,9,4,3,6,4,3,0,3,3,0,2,edgeCount
990,25,60,0.15,2,,clustered,0.7;-0.3,4,4,2,2,0,2,0,2,2,0,0,edgeCount
989,25,52,0.15,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
988,25,54,0.15,4,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
987,25,54,0.15,4,,clustered,0.7;-0.3,19,15,4,15,0,-1,-5,-1,-1,-5,0,edgeCount
986,25,46,0.15,2,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
985,25,48,0.15,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
984,25,43,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,6,edgeCount
983,25,63,0.15,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
982,25,45,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
981,25,54,0.15,4,,clustered,0.7;-0.3,4,6,4,0,0,6,2,6,6,2,0,edgeCount
980,25,52,0.15,4,,clustered,0.7;-0.3,16,16,4,12,0,-1,-5,-1,-1,-5,0,edgeCount
979,25,57,0.15,3,,clustered,0.7;-0.3,9,13,3,6,12,3,0,7,19,4,6,edgeCount
978,25,50,0.15,2,,clustered,0.7;-0.3,3,5,3,0,0,7,4,7,7,4,0,edgeCount
977,25,51,0.15,2,,clustered,0.7;-0.3,4,18,4,0,4,4,0,4,4,0,2,edgeCount
976,25,44,0.15,4,,clustered,0.7;-0.3,8,2,2,6,8,4,2,4,4,2,4,edgeCount
975,25,54,0.15,1,,clustered,0.7;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
974,25,51,0.15,2,,clustered,0.7;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
973,25,52,0.15,4,,clustered,0.7;-0.3,3,7,3,0,16,5,2,5,5,2,8,edgeCount
972,25,43,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
971,25,48,0.15,1,,clustered,0.7;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
970,25,44,0.15,2,,clustered,0.7;-0.3,7,5,5,2,0,9,4,9,9,4,0,edgeCount
969,25,49,0.15,5,,clustered,0.7;-0.3,13,5,3,10,4,3,0,3,5,0,2,edgeCount
968,25,53,0.15,3,,clustered,0.7;-0.3,3,19,3,0,8,9,6,9,13,6,4,edgeCount
967,25,43,0.15,2,,clustered,0.7;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
966,25,40,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
965,25,52,0.15,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
964,25,43,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
963,25,41,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
962,25,43,0.15,1,,clustered,0.7;-0.3,-1,-1,6,-7,2,-1,-7,-1,-1,-7,2,edgeCount
961,25,42,0.15,4,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
960,25,46,0.15,5,,clustered,0.7;-0.3,4,2,2,2,6,2,0,8,2,6,4,edgeCount
959,25,60,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
958,25,46,0.15,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
957,25,44,0.15,3,,clustered,0.7;-0.3,-1,-1,5,-6,4,-1,-6,-1,-1,-6,2,edgeCount
956,25,38,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
955,25,48,0.15,2,,clustered,0.7;-0.3,8,12,4,4,6,-1,-5,-1,-1,-5,6,edgeCount
954,25,42,0.15,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
953,25,43,0.15,2,,clustered,0.7;-0.3,14,14,6,8,10,-1,-7,17,17,11,8,edgeCount
