rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,-1,-1,14,-15,2,-1,-15,-1,-1,-15,2,edgeCount
998,110,148,graphml/Interoute.graphml,3,2,clustered,0.6;-0.3,54,54,11,43,2,54,43,28,62,17,2,edgeCount
997,110,148,graphml/Interoute.graphml,3,2,clustered,0.6;-0.3,38,24,10,28,0,36,26,36,36,26,0,edgeCount
996,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,6,6,6,0,2,6,0,6,14,0,2,edgeCount
995,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,33,33,13,20,0,33,20,33,33,20,0,edgeCount
994,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,12,12,10,2,0,12,2,12,12,2,0,edgeCount
993,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,7,53,7,0,2,19,12,19,7,12,2,edgeCount
992,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,31,69,10,21,0,31,21,31,31,21,0,edgeCount
991,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,40,40,7,33,4,26,19,40,40,33,4,edgeCount
990,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
989,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,6,6,4,2,0,6,2,6,6,2,0,edgeCount
988,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,9,59,9,0,0,25,16,25,25,16,0,edgeCount
987,110,148,graphml/Interoute.graphml,3,2,clustered,0.6;-0.3,18,18,8,10,2,18,10,18,24,10,2,edgeCount
985,110,148,graphml/Interoute.graphml,2,1,clustered,0.6;-0.3,26,26,9,17,0,-1,-10,26,26,17,0,edgeCount
