rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
999,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
998,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,21,21,20,1,0,21,1,21,21,1,0,edgeCount
997,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,15,-16,0,-1,-16,-1,-1,-16,0,edgeCount
996,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,20,20,20,0,0,20,0,20,20,0,0,edgeCount
995,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
994,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
993,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
992,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
991,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
990,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
989,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
988,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,16,54,16,0,2,16,0,16,54,0,2,edgeCount
987,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
986,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,21,15,13,8,2,-1,-14,21,15,8,2,edgeCount
985,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
984,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,16,62,16,0,2,16,0,16,62,0,2,edgeCount
983,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
982,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,16,66,11,5,2,34,23,34,34,23,2,edgeCount
981,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
980,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
979,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
978,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,26,24,24,2,2,-1,-25,26,24,2,2,edgeCount
977,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
976,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,56,22,22,34,2,-1,-23,-1,-1,-23,2,edgeCount
975,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
974,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,13,47,12,1,0,35,23,35,35,23,0,edgeCount
973,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
972,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
971,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,26,-27,0,-1,-27,-1,-1,-27,0,edgeCount
970,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,67,67,18,49,0,67,49,67,67,49,0,edgeCount
969,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,34,34,17,17,2,-1,-18,34,34,17,2,edgeCount
968,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,37,37,13,24,0,37,24,37,37,24,0,edgeCount
967,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
966,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
965,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
964,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,20,-21,2,-1,-21,-1,-1,-21,2,edgeCount
963,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
962,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
961,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,25,47,21,4,4,-1,-22,25,47,4,4,edgeCount
960,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,64,64,27,37,2,64,37,64,64,37,2,edgeCount
959,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
958,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
957,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
956,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,39,35,13,26,4,-1,-14,-1,-1,-14,4,edgeCount
955,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
954,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,68,68,21,47,0,68,47,68,68,47,0,edgeCount
953,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
952,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
951,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
950,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
949,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,48,48,15,33,0,40,25,40,40,25,0,edgeCount
948,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,73,73,18,55,0,25,7,73,73,55,0,edgeCount
947,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,3,3,3,0,2,3,0,3,3,0,2,edgeCount
946,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,29,-30,0,-1,-30,-1,-1,-30,0,edgeCount
945,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
944,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
943,197,243,graphml/Cogentco.graphml,3,,clustered,0.7;-0.3,18,22,9,9,0,18,9,18,22,9,0,edgeCount
942,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
941,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
940,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
939,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
938,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
937,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
936,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
935,197,243,graphml/Cogentco.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
934,197,243,graphml/Cogentco.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
