rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
956,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
955,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
954,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,18,-19,0,-1,-19,-1,-1,-19,0,edgeCount
953,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
952,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
951,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
950,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
949,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,33,17,13,20,4,-1,-14,33,17,20,4,edgeCount
948,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
947,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
946,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
945,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
944,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
943,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
942,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,18,24,18,0,2,18,0,18,24,0,2,edgeCount
941,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
940,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,20,-21,0,-1,-21,-1,-1,-21,0,edgeCount
939,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
938,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,11,29,11,0,2,11,0,11,29,0,2,edgeCount
937,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
936,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,13,13,9,4,0,13,4,13,13,4,0,edgeCount
935,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
934,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
933,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,16,64,13,3,6,26,13,26,60,13,6,edgeCount
932,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
931,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
930,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
929,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
928,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
927,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,12,-13,6,-1,-13,-1,-1,-13,6,edgeCount
926,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
925,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
924,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
923,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
922,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
921,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
920,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
919,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,30,38,8,22,2,8,0,8,8,0,2,edgeCount
918,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
917,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
916,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
915,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
914,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
913,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
912,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
911,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
910,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
909,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
908,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
907,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
906,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
905,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
904,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
903,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
902,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
901,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
900,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
899,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
898,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
897,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
896,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
895,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
894,149,193,graphml/GtsCe.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,10,edgeCount
893,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
892,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
891,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
890,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
889,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,31,35,11,20,2,-1,-12,11,11,0,2,edgeCount
888,149,193,graphml/GtsCe.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
887,149,193,graphml/GtsCe.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
