rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,50,181,0.15,6,24,random,-1,3,5,2,1,26,4,2,3,4,1,8,edgeCount
999,50,189,0.15,8,34,random,-1,3,4,2,1,12,2,0,3,2,1,4,edgeCount
998,50,194,0.15,6,24,random,-1,4,5,2,2,0,2,0,2,2,0,0,edgeCount
997,50,194,0.15,7,29,random,-1,4,4,2,2,26,2,0,2,2,0,6,edgeCount
996,50,188,0.15,5,19,random,-1,5,4,2,3,0,2,0,2,2,0,0,edgeCount
995,50,178,0.15,4,14,random,-1,6,2,2,4,0,2,0,2,2,0,0,edgeCount
994,50,188,0.15,3,10,random,-1,2,2,2,0,36,2,0,2,2,0,12,edgeCount
993,50,176,0.15,5,19,random,-1,4,4,2,2,0,2,0,4,2,2,0,edgeCount
992,50,213,0.15,8,34,random,-1,3,2,2,1,0,2,0,3,2,1,0,edgeCount
991,50,208,0.15,8,34,random,-1,4,3,2,2,16,4,2,3,4,1,4,edgeCount
990,50,178,0.15,6,24,random,-1,6,5,2,4,6,2,0,3,2,1,2,edgeCount
989,50,190,0.15,4,14,random,-1,3,3,3,0,0,5,2,3,5,0,0,edgeCount
988,50,189,0.15,4,14,random,-1,3,3,3,0,28,3,0,3,3,0,8,edgeCount
987,50,189,0.15,4,14,random,-1,3,4,3,0,0,5,2,5,5,2,0,edgeCount
986,50,179,0.15,3,10,random,-1,3,9,3,0,18,3,0,3,5,0,6,edgeCount
985,50,199,0.15,4,14,random,-1,3,5,3,0,32,3,0,3,3,0,8,edgeCount
984,50,196,0.15,9,38,random,-1,3,3,2,1,0,2,0,3,2,1,0,edgeCount
983,50,189,0.15,5,19,random,-1,4,10,2,2,46,2,0,2,2,0,12,edgeCount
982,50,179,0.15,3,10,random,-1,2,2,2,0,0,2,0,2,2,0,0,edgeCount
981,50,180,0.15,8,34,random,-1,3,3,2,1,0,3,1,4,4,2,0,edgeCount
980,50,208,0.15,8,34,random,-1,3,2,2,1,0,2,0,2,2,0,0,edgeCount
979,50,185,0.15,6,24,random,-1,3,5,2,1,0,2,0,2,2,0,0,edgeCount
978,50,199,0.15,6,24,random,-1,3,4,3,0,0,3,0,3,3,0,0,edgeCount
977,50,191,0.15,7,29,random,-1,4,5,2,2,0,2,0,3,2,1,0,edgeCount
976,50,190,0.15,7,29,random,-1,4,4,2,2,0,2,0,4,2,2,0,edgeCount
975,50,185,0.15,7,29,random,-1,7,6,2,5,0,2,0,6,2,4,0,edgeCount
974,50,186,0.15,5,19,random,-1,4,3,3,1,14,3,0,3,3,0,4,edgeCount
973,50,190,0.15,6,24,random,-1,6,3,3,3,24,3,0,3,3,0,6,edgeCount
