rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
1000,50,186,0.15,5,48,random,-1,4,8,3,1,0,5,2,7,7,4,0,edgeCount
999,50,210,0.15,6,60,random,-1,9,7,3,6,0,3,0,3,3,0,0,edgeCount
998,50,160,0.15,6,60,random,-1,3,3,3,0,10,5,2,3,5,0,4,edgeCount
997,50,210,0.15,4,36,random,-1,3,5,2,1,24,2,0,3,2,1,6,edgeCount
996,50,163,0.15,3,24,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
995,50,188,0.15,5,48,random,-1,10,7,2,8,0,2,0,3,2,1,0,edgeCount
994,50,175,0.15,4,36,random,-1,3,3,3,0,22,4,1,4,3,1,6,edgeCount
993,50,178,0.15,6,60,random,-1,8,7,4,4,20,-1,-5,14,8,10,6,edgeCount
992,50,192,0.15,8,84,random,-1,7,3,3,4,0,3,0,3,3,0,0,edgeCount
991,50,191,0.15,6,60,random,-1,8,2,2,6,0,2,0,4,2,2,0,edgeCount
990,50,184,0.15,4,36,random,-1,3,7,3,0,0,3,0,3,3,0,0,edgeCount
989,50,166,0.15,7,72,random,-1,13,3,3,10,0,5,2,3,5,0,0,edgeCount
988,50,197,0.15,8,84,random,-1,3,3,3,0,8,3,0,3,3,0,2,edgeCount
987,50,180,0.15,5,48,random,-1,4,6,3,1,26,5,2,5,5,2,8,edgeCount
986,50,174,0.15,5,48,random,-1,4,8,3,1,38,3,0,3,3,0,10,edgeCount
985,50,208,0.15,4,36,random,-1,3,5,2,1,40,2,0,3,2,1,10,edgeCount
984,50,182,0.15,8,84,random,-1,12,10,2,10,0,2,0,4,2,2,0,edgeCount
983,50,192,0.15,6,60,random,-1,4,2,2,2,0,2,0,9,2,7,0,edgeCount
982,50,187,0.15,7,72,random,-1,27,5,3,24,0,-1,-4,-1,-1,-4,0,edgeCount
981,50,191,0.15,5,48,random,-1,4,2,2,2,0,2,0,5,2,3,0,edgeCount
980,50,201,0.15,6,60,random,-1,3,2,2,1,74,2,0,2,2,0,22,edgeCount
979,50,183,0.15,4,36,random,-1,3,3,2,1,30,7,5,3,3,1,8,edgeCount
978,50,164,0.15,4,36,random,-1,4,5,4,0,0,10,6,10,6,6,0,edgeCount
977,50,192,0.15,5,48,random,-1,10,11,3,7,0,3,0,3,3,0,0,edgeCount
976,50,172,0.15,5,48,random,-1,9,3,3,6,0,3,0,3,3,0,0,edgeCount
975,50,175,0.15,4,36,random,-1,3,3,2,1,36,2,0,5,2,3,10,edgeCount
974,50,188,0.15,4,36,random,-1,7,4,3,4,0,3,0,3,3,0,0,edgeCount
973,50,184,0.15,4,36,random,-1,3,9,2,1,0,9,7,2,4,0,0,edgeCount
972,50,172,0.15,3,24,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
971,50,190,0.15,3,24,random,-1,3,5,3,0,18,3,0,3,3,0,6,edgeCount
970,50,183,0.15,8,84,random,-1,18,12,3,15,0,-1,-4,-1,-1,-4,0,edgeCount
969,50,191,0.15,6,60,random,-1,5,4,3,2,6,3,0,3,3,0,2,edgeCount
968,50,203,0.15,4,36,random,-1,4,5,3,1,36,5,2,5,5,2,10,edgeCount
967,50,177,0.15,5,48,random,-1,4,5,2,2,12,2,0,3,2,1,4,edgeCount
966,50,194,0.15,11,120,random,-1,14,2,2,12,0,2,0,4,2,2,0,edgeCount
965,50,173,0.15,9,96,random,-1,5,2,2,3,0,2,0,2,2,0,0,edgeCount
964,50,190,0.15,3,24,random,-1,4,5,4,0,24,8,4,8,9,4,8,edgeCount
963,50,181,0.15,4,36,random,-1,3,3,2,1,0,2,0,2,2,0,0,edgeCount
962,50,167,0.15,5,48,random,-1,7,4,3,4,0,5,2,5,5,2,0,edgeCount
961,50,194,0.15,5,48,random,-1,4,5,2,2,0,2,0,3,2,1,0,edgeCount
960,50,168,0.15,3,24,random,-1,3,3,3,0,28,3,0,3,3,0,10,edgeCount
959,50,197,0.15,6,60,random,-1,3,3,2,1,0,2,0,3,2,1,0,edgeCount
958,50,179,0.15,5,48,random,-1,4,4,3,1,0,6,3,6,6,3,0,edgeCount
957,50,187,0.15,3,24,random,-1,3,3,3,0,0,3,0,3,3,0,0,edgeCount
956,50,195,0.15,6,60,random,-1,9,3,3,6,14,7,4,7,7,4,4,edgeCount
955,50,177,0.15,7,72,random,-1,5,5,2,3,0,2,0,5,2,3,0,edgeCount
